No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第3クォーター	文学部	国語学特殊講義（a）	池田　來未	月1	3L001
2	2026	第3クォーター	文学部	国語学概論（a）	池田　來未	月1	3L002
3	2026	第3クォーター	文学部	西洋史特殊講義（a）	小山　啓子	月1	3L024
4	2026	第3クォーター	文学部	西洋近世近代史（a）	小山　啓子	月1	3L025
5	2026	第3クォーター	文学部	西洋史（a）	小山　啓子	月1	3L026
6	2026	後期	文学部	国語学特殊講義	池田　來未	月1	3L301
7	2026	後期	文学部	国語学概論	池田　來未	月1	3L302
8	2026	後期	文学部	西洋史特殊講義	小山　啓子	月1	3L336
9	2026	後期	文学部	西洋近世近代史	小山　啓子	月1	3L337
10	2026	後期	文学部	西洋史	小山　啓子	月1	3L338
11	2026	後期	文学部	イギリス文学特殊講義	芦津　かおり	月1	3L513
12	2026	第3クォーター	文学部	イギリス文学特殊講義（a）	芦津　かおり	月1	3L514
13	2026	第4クォーター	文学部	国語学特殊講義（b）	池田　來未	月1	4L001
14	2026	第4クォーター	文学部	国語学概論（b）	池田　來未	月1	4L002
15	2026	第4クォーター	文学部	西洋史特殊講義（b）	小山　啓子	月1	4L024
16	2026	第4クォーター	文学部	西洋近世近代史（b）	小山　啓子	月1	4L025
17	2026	第4クォーター	文学部	西洋史（b）	小山　啓子	月1	4L026
18	2026	第4クォーター	文学部	イギリス文学特殊講義（b）	芦津　かおり	月1	4L514
19	2026	第3クォーター	文学部	哲学特殊講義（a）	Jimmy J.Aames	月2	3L004
20	2026	第3クォーター	文学部	アメリカ文学演習（a）	山本 秀行	月2	3L005
21	2026	第3クォーター	文学部	西洋史演習（a）	藤澤　潤	月2	3L006
22	2026	第3クォーター	文学部	博物館資料保存論（a）	菊地　真	月2	3L007
23	2026	第3クォーター	文学部	西洋史演習（a）	小山　啓子	月2	3L028
24	2026	後期	文学部	哲学特殊講義	Jimmy J.Aames	月2	3L305
