No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	海洋政策科学部	初年次セミナー	笹　健児	金1	1Z002
2	2026	第1クォーター	海洋政策科学部	ライティング英語C(ルックス)	ルックス マシュー	金1	1Z016
3	2026	第1クォーター	海洋政策科学部	ライティング英語C(ショルト)	ルックス マシュー	金1	1Z017
4	2026	第1クォーター	海洋政策科学部	ライティング英語C(パイカーチャック)	ルックス マシュー	金1	1Z018
5	2026	第1クォーター	海洋政策科学部	ライティング英語C(ラシュトン)	ルックス マシュー	金1	1Z019
6	2026	第1クォーター	海洋政策科学部	ライティング英語C(ハリソン)	ルックス マシュー	金1	1Z020
7	2026	第1クォーター	海洋政策科学部	ライティング英語C(ルーデンクロー)	ルックス マシュー	金1	1Z021
8	2026	第1クォーター	海洋政策科学部	アルゴリズム-1（海洋応用科学領域）	沖本　天太	金1	1Z120
9	2026	前期	海洋政策科学部	海のBDL（廣野　康平）	廣野 康平	金1	1ZZ11
10	2026	第2クォーター	海洋政策科学部	海洋政策科学通論	石黒 一彦	金1	2Z002
11	2026	第2クォーター	海洋政策科学部	ライティング英語D(ルックス)	ルックス マシュー	金1	2Z016
12	2026	第2クォーター	海洋政策科学部	ライティング英語D(ショルト)	ルックス マシュー	金1	2Z017
13	2026	第2クォーター	海洋政策科学部	ライティング英語D(パイカーチャック)	ルックス マシュー	金1	2Z018
14	2026	第2クォーター	海洋政策科学部	ライティング英語D(ラシュトン)	ルックス マシュー	金1	2Z019
15	2026	第2クォーター	海洋政策科学部	ライティング英語D(ハリソン)	ルックス マシュー	金1	2Z021
16	2026	第2クォーター	海洋政策科学部	ライティング英語D(ルーデンクロー)	ルックス マシュー	金1	2Z022
17	2026	第2クォーター	海洋政策科学部	アルゴリズム-2（海洋応用科学領域）	平山 勝敏	金1	2Z117
18	2026	第3クォーター	海洋政策科学部	現代海洋政策概論-1	杉村　佳寿	金1	3Z021
19	2026	第3クォーター	海洋政策科学部	燃焼工学-1（海洋応用科学領域）	三輪 誠	金1	3Z116
20	2026	第3クォーター	海洋政策科学部	燃焼工学-1 （機関学領域）	三輪 誠	金1	3Z120
21	2026	第3クォーター	海洋政策科学部	航海航法-6	廣野 康平	金1	3Z128
22	2026	第3クォーター	海洋政策科学部	ライティング英語A(パイカーチャック)	ルックス マシュー	金1	3Z131
23	2026	第3クォーター	海洋政策科学部	ライティング英語A(ラシュトン)	ルックス マシュー	金1	3Z132
24	2026	第3クォーター	海洋政策科学部	ライティング英語A(●)	ルックス マシュー	金1	3Z133
25	2026	第3クォーター	海洋政策科学部	ライティング英語A(ルーデンクロー)	ルックス マシュー	金1	3Z134
26	2026	第3クォーター	海洋政策科学部	ライティング英語A(ルックス)	ルックス マシュー	金1	3Z135
27	2026	第3クォーター	海洋政策科学部	ライティング英語A(ショルト)	ルックス マシュー	金1	3Z136
28	2026	第3クォーター	海洋政策科学部	現代海洋政策概論-1(2025以降入学生)	杉村　佳寿	金1	3Z148
29	2026	第4クォーター	海洋政策科学部	現代海洋政策概論-2	杉村　佳寿	金1	4Z021
30	2026	第4クォーター	海洋政策科学部	燃焼工学-2 （海洋応用科学領域）	柴原　誠	金1	4Z110
31	2026	第4クォーター	海洋政策科学部	ライティング英語B(パイカーチャック)	ルックス マシュー	金1	4Z135
32	2026	第4クォーター	海洋政策科学部	ライティング英語B(ラシュトン)	ルックス マシュー	金1	4Z136
33	2026	第4クォーター	海洋政策科学部	ライティング英語B(●)	ルックス マシュー	金1	4Z137
34	2026	第4クォーター	海洋政策科学部	ライティング英語B(ルーデンクロー)	ルックス マシュー	金1	4Z138
35	2026	第4クォーター	海洋政策科学部	ライティング英語B(ルックス)	ルックス マシュー	金1	4Z139
36	2026	第4クォーター	海洋政策科学部	ライティング英語B(ショルト)	ルックス マシュー	金1	4Z140
37	2026	第4クォーター	海洋政策科学部	現代海洋政策概論-2	杉村　佳寿	金1	4Z145
38	2026	第1クォーター	海洋政策科学部	応用数学2-1(応用・機関)	石井 克幸	金2	1Z027
39	2026	第1クォーター	海洋政策科学部	応用数学2-1(基礎・ガバナンス・航海)	影山 康夫	金2	1Z028
40	2026	第1クォーター	海洋政策科学部	海運政策論-1(海洋ガバナンス領域)	竹林 幹雄	金2	1Z098
41	2026	第1クォーター	海洋政策科学部	海洋環境学2-1	堀江　好文	金2	1Z106
42	2026	前期	海洋政策科学部	エネルギープラント管理演習-1	三輪 誠	金2	1Z136
43	2026	第1クォーター	海洋政策科学部	管理実務-1	渕 真輝	金2	1Z147
44	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（パイカーチャック）	ルックス マシュー	金2	1Z159
45	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（ラシュトン）	ルックス マシュー	金2	1Z160
46	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（ハリソン）	ルックス マシュー	金2	1Z161
47	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（ルーデンクロー）	ルックス マシュー	金2	1Z162
48	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（ルックス）	ルックス マシュー	金2	1Z163
49	2026	第1クォーター	海洋政策科学部	コミュニケーション英語A（ショルト）	ルックス マシュー	金2	1Z164
50	2026	第2クォーター	海洋政策科学部	応用数学2-2(応用・機関)	石井 克幸	金2	2Z027
51	2026	第2クォーター	海洋政策科学部	応用数学2-2(基礎・ガバナンス・航海)	影山 康夫	金2	2Z028
52	2026	第2クォーター	海洋政策科学部	海運政策論-2	竹林 幹雄	金2	2Z095
53	2026	第2クォーター	海洋政策科学部	海洋環境学2-2	堀江　好文	金2	2Z104
54	2026	第2クォーター	海洋政策科学部	管理実務-2	渕 真輝	金2	2Z139
55	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B（パイカーチャック）	ルックス マシュー	金2	2Z151
56	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B（ラシュトン）	ルックス マシュー	金2	2Z152
57	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B（ハリソン）	ルックス マシュー	金2	2Z153
58	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B(ルーデンクロー)	ルックス マシュー	金2	2Z154
59	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B（ルックス）	ルックス マシュー	金2	2Z155
60	2026	第2クォーター	海洋政策科学部	コミュニケーション英語B（ショルト）	ルックス マシュー	金2	2Z156
61	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C（ルックス）	ルックス マシュー	金2	3Z002
62	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C(ショルト)	ルックス マシュー	金2	3Z003
63	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C(パイカーチャック)	ルックス マシュー	金2	3Z004
64	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C(ラシュトン)	ルックス マシュー	金2	3Z005
65	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C(●)	ルックス マシュー	金2	3Z006
66	2026	第3クォーター	海洋政策科学部	コミュニケーション英語C(ルーデンクロー)	ルックス マシュー	金2	3Z007
67	2026	第3クォーター	海洋政策科学部	応用数学4-1	石井 克幸	金2	3Z026
68	2026	第3クォーター	海洋政策科学部	航海航法-3	廣野 康平	金2	3Z048
69	2026	第3クォーター	海洋政策科学部	構造強度数値解析論-1	藤本 岳洋	金2	3Z107
70	2026	第3クォーター	海洋政策科学部	流体地球科学2-1	山地　一代	金2	3Z140
71	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(ルックス)	ルックス マシュー	金2	4Z002
72	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(ショルト)	ルックス マシュー	金2	4Z003
73	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(パイカーチャック)	ルックス マシュー	金2	4Z004
74	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(ラシュトン)	ルックス マシュー	金2	4Z005
75	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(●)	ルックス マシュー	金2	4Z006
76	2026	第4クォーター	海洋政策科学部	コミュニケーション英語D(ルーデンクロー)	ルックス マシュー	金2	4Z007
77	2026	第4クォーター	海洋政策科学部	応用数学4-2	石井 克幸	金2	4Z026
78	2026	第4クォーター	海洋政策科学部	構造強度数値解析論-2	藤本 岳洋	金2	4Z108
79	2026	第4クォーター	海洋政策科学部	流体地球科学2-2	山地　一代	金2	4Z142
80	2026	第1クォーター	海洋政策科学部	海のアクティブ・ラーニング	藤本 岳洋	金3,4	1Z003
81	2026	第1クォーター	海洋政策科学部	海洋エネルギー科学1-1	大澤 輝夫	金3	1Z107
82	2026	第1クォーター	海洋政策科学部	数理計画法-1（海洋応用科学領域）	平山 勝敏	金3	1Z121
83	2026	第1クォーター	海洋政策科学部	運用学演習-1	渕 真輝	金3,4	1Z148
84	2026	前期	海洋政策科学部	海洋生存技術演習	尾崎　高司	金3,4	1Z153
85	2026	第1クォーター	海洋政策科学部	運用学演習-3	渕 真輝	金3,4	1Z157
86	2026	第2クォーター	海洋政策科学部	海事実務概論-1	廣野 康平	金3	2Z003
87	2026	第2クォーター	海洋政策科学部	海洋エネルギー科学1-2	佐俣 博章	金3	2Z105
88	2026	第2クォーター	海洋政策科学部	数理計画法-2（海洋応用科学領域）	平山 勝敏	金3	2Z118
89	2026	第2クォーター	海洋政策科学部	運用学演習-2	渕 真輝	金3,4	2Z140
90	2026	第2クォーター	海洋政策科学部	運用学演習-4	小西　宗	金3,4	2Z149
91	2026	第3クォーター	海洋政策科学部	海事実務概論-2	廣野 康平	金3	3Z001
92	2026	第3クォーター	海洋政策科学部	航海学演習-3	小西　宗	金3,4	3Z049
93	2026	第3クォーター	海洋政策科学部	ロボット工学-1	元井 直樹	金3	3Z113
94	2026	第3クォーター	海洋政策科学部	機械製図演習-1(S・2025以降入学生)	段 智久	金3	3Z149
95	2026	第3クォーター	海洋政策科学部	機械製図演習-1(T・2025以降入学生)	段 智久	金3	3Z150
96	2026	第3クォーター	海洋政策科学部	機械製図演習-1(E・2025以降入学生)	段 智久	金3	3Z151
97	2026	第4クォーター	海洋政策科学部	海のサイエンス	GOMEZ CHRISTOPHER	金3	4Z001
98	2026	第4クォーター	海洋政策科学部	ロボット工学-2	元井 直樹	金3	4Z099
99	2026	第4クォーター	海洋政策科学部	機械製図演習-2(S・2025以降入学生)	段 智久	金3	4Z146
100	2026	第4クォーター	海洋政策科学部	機械製図演習-2(T・2025以降入学生)	段 智久	金3	4Z147
101	2026	第4クォーター	海洋政策科学部	機械製図演習-2(E・2025以降入学生)	段 智久	金3	4Z148
102	2026	第1クォーター	海洋政策科学部	応用プログラミング-1(T・2024以降入学生)	堀口 知也	金4	1Z167
103	2026	第1クォーター	海洋政策科学部	応用プログラミング-1(E・2024以降入学生)	堀口 知也	金4	1Z168
104	2026	第2クォーター	海洋政策科学部	海のガバナンス	石黒 一彦	金4	2Z001
105	2026	第2クォーター	海洋政策科学部	応用プログラミング-2(T・2024以降入学生)	長松 隆	金4	2Z160
106	2026	第2クォーター	海洋政策科学部	応用プログラミング-2(E・2024以降入学生)	長松 隆	金4	2Z161
107	2026	第3クォーター	海洋政策科学部	国際社会論（海洋ガバナンス領域）	山下　毅	金4	3Z112
108	2026	第3クォーター	海洋政策科学部	国際社会論（抽選登録用）	山下　毅	金4	3Z129
109	2026	第3クォーター	海洋政策科学部	力学-1(学籍番号奇数・2026以降入学生)	岩本 雄二	金4	3Z152
110	2026	第3クォーター	海洋政策科学部	力学-1(学籍番号偶数・2026以降入学生)	池野　なつ美	金4	3Z153
111	2026	第4クォーター	海洋政策科学部	国際政治経済論（抽選登録用）	竹林 幹雄	金4	4Z130
112	2026	第4クォーター	海洋政策科学部	国際政治経済論（海洋ガバナンス領域）	竹林 幹雄	金4	4Z131
113	2026	第4クォーター	海洋政策科学部	力学-2(学籍番号奇数・2026以降入学生)	岩本 雄二	金4	4Z149
114	2026	第4クォーター	海洋政策科学部	力学-2(学籍番号偶数・2026以降入学生)	池野　なつ美	金4	4Z150
115	2026	第3クォーター	海洋政策科学部	経営学基礎論2-1（海洋ガバナンス領域）	各教員	金5	3Z139
116	2026	第4クォーター	海洋政策科学部	経営学基礎論2-2	各教員	金5	4Z041
