No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	後期	経済学部　昼間主コース	中級ミクロ経済学(副：中級ミクロ経済学Ⅰ、中級ミクロ経済学Ⅱ)	阪本　浩章	月1,金2	3E301
2	2026	第3クォーター	経済学部　昼間主コース	中級ミクロ経済学Ⅰ(主：中級ミクロ経済学)	清水　崇	月1,金2	3E302
3	2026	第4クォーター	経済学部　昼間主コース	中級ミクロ経済学Ⅱ(主：中級ミクロ経済学)	阪本　浩章	月1,金2	4E300
4	2026	前期	経済学部　昼間主コース	中級マクロ経済学(副：中級マクロ経済学Ⅰ、中級マクロ経済学Ⅱ)	胡 云芳	月2,金2	1E300
5	2026	第1クォーター	経済学部　昼間主コース	中級マクロ経済学Ⅰ(主：中級マクロ経済学)	小林　照義	月2,金2	1E301
6	2026	第2クォーター	経済学部　昼間主コース	中級マクロ経済学Ⅱ(主：中級マクロ経済学)	胡 云芳	月2,金2	2E300
7	2026	前期	経済学部　昼間主コース	上級ミクロ経済学I(主：ミクロ経済学１)	糟谷　祐介	火1,金2	1E400
8	2026	前期	経済学部　昼間主コース	金融論	西山　慎一	金1	1E302
9	2026	前期	経済学部　昼間主コース	基礎演習	小澤　駿弥	金1	1E320
10	2026	前期	経済学部　昼間主コース	基礎演習	糟谷　祐介	金1	1E321
11	2026	前期	経済学部　昼間主コース	基礎演習	片山　由将	金1	1E322
12	2026	前期	経済学部　昼間主コース	基礎演習	瀧川　拓史	金1	1E323
13	2026	前期	経済学部　昼間主コース	基礎演習	畳谷　整克	金1	1E324
14	2026	前期	経済学部　昼間主コース	基礎演習	古田　学	金1	1E325
15	2026	前期	経済学部　昼間主コース	基礎演習	柳本　和春	金1	1E326
16	2026	前期	経済学部　昼間主コース	基礎演習	LUONG Anh Dung	金1	1E327
17	2026	後期	経済学部　昼間主コース	経済史	綿貫　友子	金1	3E300
18	2026	後期	経済学部　昼間主コース	上級国際貿易論(主：国際貿易論)	小澤　駿弥	金1	3E351
19	2026	前期	経済学部　昼間主コース	Intermediate Microeconomics(副：Intermediate Microeconomics（高度教養科目）、KIMAP Intermediate Microeconomics、KIMAP Intermediate Microeconomics、KIMAP Intermediate Microeconomics)	WOLF, David Michael	金2	1E343
20	2026	前期	経済学部　昼間主コース	Intermediate Microeconomics（高度教養科目）(主：Intermediate Microeconomics)	WOLF, David Michael	金2	1E344
21	2026	後期	経済学部　昼間主コース	環境政策(副：環境政策（編入生）)	柘植　隆宏	金2	3E343
22	2026	後期	経済学部　昼間主コース	環境政策（編入生）(主：環境政策)	柘植　隆宏	金2	3E344
23	2026	後期	経済学部　昼間主コース	上級ラテンアメリカ経済論(主：ラテンアメリカ経済論)	村上　善道	金2	3E350
24	2026	前期	経済学部　昼間主コース	ミクロデータ分析Ⅰ(副：ミクロデータ分析Ⅰ（編入生）)	LUONG Anh Dung	金3	1E306
25	2026	前期	経済学部　昼間主コース	ミクロデータ分析Ⅰ（編入生）(主：ミクロデータ分析Ⅰ)	LUONG Anh Dung	金3	1E307
26	2026	前期	経済学部　昼間主コース	法経連携基礎演習	髙橋　樹生	金3	1E311
27	2026	前期	経済学部　昼間主コース	統計学	茂木　快治	金3	1E317
28	2026	前期	経済学部　昼間主コース	地域創生論(副：地域創生論（編入生）)	藤岡　秀英	金3	1E361
29	2026	前期	経済学部　昼間主コース	地域創生論（編入生）(主：地域創生論)	藤岡　秀英	金3	1E362
30	2026	後期	経済学部　昼間主コース	ミクロデータ分析Ⅱ(副：ミクロデータ分析Ⅱ（編入生）)	LUONG Anh Dung	金3	3E305
31	2026	後期	経済学部　昼間主コース	ミクロデータ分析Ⅱ（編入生）(主：ミクロデータ分析Ⅱ)	LUONG Anh Dung	金3	3E306
32	2026	後期	経済学部　昼間主コース	日本語論文実践演習	片山　三男	金3	3E311
33	2026	後期	経済学部　昼間主コース	IFEEK特別演習Ⅱ	大坪　陽一	金3	3E319
34	2026	後期	経済学部　昼間主コース	Intermediate Macroeconomics(副：Intermediate Macroeconomics（高度教養科目）、KIMAP Intermediate Macroeconomics、KIMAP Intermediate Macroeconomics、KIMAP Intermediate Macroeconomics)	日野　将志	金3	3E337
35	2026	後期	経済学部　昼間主コース	Intermediate Macroeconomics（高度教養科目）(主：Intermediate Macroeconomics)	日野　将志	金3	3E338
36	2026	第1クォーター	経済学部　昼間主コース	経済学のフロンティア	松林　洋一	金4	1E319
37	2026	前期	経済学部　昼間主コース	国際マクロ経済学(副：国際マクロ経済学（編入生）、国際マクロ経済学（高度教養科目）)	胡 云芳	金4	1E363
38	2026	前期	経済学部　昼間主コース	国際マクロ経済学（編入生）(主：国際マクロ経済学)	胡 云芳	金4	1E364
39	2026	前期	経済学部　昼間主コース	国際マクロ経済学（高度教養科目）(主：国際マクロ経済学)	胡 云芳	金4	1E365
40	2026	後期	経済学部　昼間主コース	公共経済学	畳谷　整克	金4	3E314
41	2026	後期	経済学部　昼間主コース	上級労働経済学(主：労働経済学)	勇上 和史	金4	3E353
