No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	国際人間科学部	環境生命科学Ａ	源 利文	木2,金2	1H604
2	2026	第1クォーター	国際人間科学部	初年次セミナー	昆野　伸幸	金2	1H001
3	2026	第1クォーター	国際人間科学部	初年次セミナー	板倉　史明	金2	1H002
4	2026	第1クォーター	国際人間科学部	初年次セミナー	伊藤 友美	金2	1H003
5	2026	第1クォーター	国際人間科学部	初年次セミナー	ADEBAHR David	金2	1H004
6	2026	第1クォーター	国際人間科学部	初年次セミナー	塚原 東吾	金2	1H005
7	2026	第1クォーター	国際人間科学部	初年次セミナー	石田　雄樹	金2	1H006
8	2026	第1クォーター	国際人間科学部	初年次セミナー	北田　亮	金2	1H007
9	2026	第1クォーター	国際人間科学部	初年次セミナー	深川　宏樹	金2	1H008
10	2026	第1クォーター	国際人間科学部	初年次セミナー	合原　織部	金2	1H009
11	2026	第1クォーター	国際人間科学部	初年次セミナー	畠中　茉莉子	金2	1H010
12	2026	第1クォーター	国際人間科学部	初年次セミナー	相澤 直樹	金2	1H012
13	2026	第1クォーター	国際人間科学部	初年次セミナー	木村 哲也	金2	1H013
14	2026	第1クォーター	国際人間科学部	初年次セミナー	原田　和弘	金2	1H014
15	2026	第1クォーター	国際人間科学部	初年次セミナー	清水　大地	金2	1H015
16	2026	第1クォーター	国際人間科学部	初年次セミナー	山本　健太	金2	1H016
17	2026	第1クォーター	国際人間科学部	初年次セミナー	黒澤　耕介	金2	1H017
18	2026	第1クォーター	国際人間科学部	初年次セミナー	小谷野　由紀	金2	1H018
19	2026	第1クォーター	国際人間科学部	初年次セミナー	周　怡	金2	1H019
20	2026	第1クォーター	国際人間科学部	初年次セミナー	原　将也	金2	1H020
21	2026	第1クォーター	国際人間科学部	初年次セミナー	村山　留美子	金2	1H021
22	2026	第1クォーター	国際人間科学部	初年次セミナー	横内　陳正	金2	1H022
23	2026	第1クォーター	国際人間科学部	初年次セミナー	木下 孝司	金2	1H023
24	2026	第1クォーター	国際人間科学部	フィールドワーク方法論	林　創	金2	1H036
25	2026	前期	国際人間科学部	中等特別支援教育論	高畑　英樹	金2	1H207
26	2026	前期	国際人間科学部	保健体育科教育論Ｃ	前田 正登	金2	1H218
27	2026	前期	国際人間科学部	公害・環境史(主：環境共生史)	松山　沙織	金2	1H617
28	2026	前期	国際人間科学部	環境共生史(副：公害・環境史)	松山　沙織	金2	1H618
29	2026	第1クォーター	国際人間科学部	中等特別支援教育論１	高畑　英樹	金2	1HC07
