No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	法学部　昼間主コース	政治文化論(副：政治文化論)	品田 裕	月1,金2	1J009
2	2026	前期	法学部　昼間主コース	知的財産法(副：知的財産法（高度教養科目）、知的財産法、アーキビストと法特殊講義)	阿部　光利	月1	1J135
3	2026	前期	法学部　昼間主コース	知的財産法（高度教養科目）(主：知的財産法)	阿部　光利	月1	1J141
4	2026	前期	法学部　昼間主コース	英米法B（高度教養科目）(主：英米法B)	板持　研吾	月1	1J148
5	2026	前期	法学部　昼間主コース	英米法B(副：英米法B（高度教養科目）、英米法B)	板持　研吾	月1	1J153
6	2026	前期	法学部　昼間主コース	政治文化論(主：政治文化論)	品田 裕	月1,金2	1JA09
7	2026	前期	法学部　昼間主コース	知的財産法(主：知的財産法)	阿部　光利	月1	1JA35
8	2026	前期	法学部　昼間主コース	英米法B(主：英米法B)	板持　研吾	月1	1JA53
9	2026	後期	法学部　昼間主コース	商法Ⅱ	木村　健登	月1,火1	3J015
10	2026	後期	法学部　昼間主コース	日本法史(副：日本法史)	兒玉　圭司	月1,火1	3J021
11	2026	後期	法学部　昼間主コース	行政学(副：行政学（高度教養科目）、行政学)	砂原 庸介	月1,水1	3J137
12	2026	後期	法学部　昼間主コース	行政学（高度教養科目）(主：行政学)	砂原 庸介	月1,水1	3J138
13	2026	後期	法学部　昼間主コース	日本法史(主：日本法史)	兒玉　圭司	月1,火1	3JA21
14	2026	後期	法学部　昼間主コース	行政学(主：行政学)	砂原 庸介	月1,水1	3JA25
15	2026	第1クォーター	法学部　昼間主コース	実定法入門(副：実定法入門)	嶋矢　貴之	月2,水1	1J005
16	2026	第1クォーター	法学部　昼間主コース	実定法入門(主：実定法入門)	嶋矢　貴之	月2,水1	1J006
17	2026	前期	法学部　昼間主コース	日本政治外交史(副：日本政治外交史)	簑原　俊洋	月2,木3	1J027
18	2026	前期	法学部　昼間主コース	社会分析基礎（政治）	藤村 直史	月2	1J035
19	2026	前期	法学部　昼間主コース	プログラム講義Advanced Legal English 1(主：Advanced Legal English 1)	Keith Carpenter	月2	1J163
20	2026	前期	法学部　昼間主コース	日本政治外交史(主：日本政治外交史)	簑原　俊洋	月2,木3	1JA27
21	2026	第2クォーター	法学部　昼間主コース	憲法（統治）	堀口　悟郎	月2,水1,木4	2J006
22	2026	後期	法学部　昼間主コース	刑事訴訟法	樋口　拓麿	月2,木3	3J005
23	2026	後期	法学部　昼間主コース	プログラム講義計量テキスト分析応用(主：方法論特殊講義Ⅴ（計量テキスト分析応用）)	吉田　隆紘	月2	3J107
24	2026	第1クォーター	法学部　昼間主コース	憲法（人権）	堀口　悟郎	月3,水2,木4	1J013
25	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	兒玉　圭司	月3	2J021
26	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	高橋 裕	月3	2J022
27	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	竹内　真理	月3	2J023
28	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	平野　実晴	月3	2J024
29	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	行澤 一人	月3	2J025
30	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	簑原　俊洋	月3	2J026
31	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	中村　知里	月3	2J027
32	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	池田　千鶴	月3	2J028
33	2026	第2クォーター	法学部　昼間主コース	初年次セミナーⅡ	安井 宏樹	月3	2J029
34	2026	後期	法学部　昼間主コース	環境法(副：環境法（高度教養科目）、環境法)	興津 征雄	月3	3J004
