No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	医学部医学科	現代医療と生命倫理	柱本 照	火3	1M912
2	2026	前期	医学部医学科	細胞生物学１	青井　貴之	金1,2	1M914
3	2026	前期	医学部医学科	細胞生物学２	青井　貴之	金1,2	1M920
4	2026	後期	医学部医学科	生化学	匂坂　敏朗	金1,2	3M911
5	2026	前期	医学部医学科	医学序説	勝二　郁夫	金3	1M913
6	2026	前期	医学部医学科	初期体験臨床実習	矢野　育子	集中	1M911
7	2026	前期	医学部医学科	初年次セミナー	青井　貴之	集中	1M915
8	2026	通年	医学部医学科	新医学研究コース	篠原　正和	集中	1M916
9	2026	前期	医学部医学科	地域医療学1（1年次）	岡山　雅信	集中	1M917
10	2026	前期	医学部医学科	地域医療学3（3年次）	岡山　雅信	集中	1M918
11	2026	前期	医学部医学科	英語アドバンスド・コース（1）	カーバス	集中	1M921
12	2026	前期	医学部医学科	医学英語1	川越　栄子	集中	1M922
13	2026	前期	医学部医学科	解剖学	仁田 亮	集中	1M923
14	2026	前期	医学部医学科	組織学	上坂　敏弘	集中	1M924
15	2026	前期	医学部医学科	発生学	上坂　敏弘	集中	1M926
16	2026	前期	医学部医学科	イメージング	神田　知紀	集中	1M927
17	2026	前期	医学部医学科	早期臨床実習１	岡山　雅信	集中	1M928
18	2026	前期	医学部医学科	行動科学	岡山　雅信	集中	1M929
19	2026	前期	医学部医学科	地域医療システム学	岡山　雅信	集中	1M930
20	2026	前期	医学部医学科	英語アドバンスド・コース（3）	カーバス	集中	1M931
21	2026	前期	医学部医学科	臨床研究システム論	真田　昌爾	集中	1M932
22	2026	前期	医学部医学科	公衆衛生学	篠原　正和	集中	1M935
23	2026	前期	医学部医学科	法医学	片田　竜一	集中	1M936
24	2026	前期	医学部医学科	臨床医学総論(内科学･外科学）	医学部教員	集中	1M937
25	2026	前期	医学部医学科	診断学総論	小林　成美	集中	1M938
26	2026	通年	医学部医学科	医学研究（１）	篠原　正和	集中	1M939
27	2026	前期	医学部医学科	臨床医学講義３	小林　成美	集中	1M941
28	2026	通年	医学部医学科	医学研究（２）	篠原　正和	集中	1M942
29	2026	通年	医学部医学科	医学研究（３）	篠原　正和	集中	1M951
30	2026	通年	医学部医学科	医学研究（４）	篠原　正和	集中	1M962
31	2026	後期	医学部医学科	コミュニケーション学	小林　成美	集中	3M912
32	2026	後期	医学部医学科	基礎配属実習１	篠原　正和	集中	3M915
33	2026	後期	医学部医学科	基礎配属実習２	篠原　正和	集中	3M916
34	2026	後期	医学部医学科	地域医療学2（2年次）	岡山　雅信	集中	3M917
35	2026	後期	医学部医学科	英語アドバンスド・コース（2）	カーバス	集中	3M921
36	2026	後期	医学部医学科	医学英語2	川越　栄子	集中	3M923
37	2026	後期	医学部医学科	生理学	岡部　泰賢	集中	3M924
38	2026	後期	医学部医学科	生物統計学	今井　匠	集中	3M926
39	2026	後期	医学部医学科	微生物学・免疫学	森　康子	集中	3M927
40	2026	前期	医学部医学科	病理学	堀江　真史	集中	3M928
41	2026	後期	医学部医学科	臨床遺伝学・腫瘍学	大谷　淳二	集中	3M929
42	2026	後期	医学部医学科	英語アドバンスド・コース（4）	カーバス	集中	3M932
43	2026	後期	医学部医学科	薬理学および臨床薬理学	古屋敷 智之	集中	3M934
44	2026	後期	医学部医学科	臨床医学講義１	小林　成美	集中	3M935
45	2026	後期	医学部医学科	臨床医学講義２	小林　成美	集中	3M936
46	2026	後期	医学部医学科	早期臨床実習２	岡山　雅信	集中	3M937
47	2026	後期	医学部医学科	症候別チュートリアル	永野　達也	集中	3M941
48	2026	後期	医学部医学科	IPW	大路　剛	集中	3M942
49	2026	後期	医学部医学科	地域社会医学実習	岡山　雅信	集中	3M943
50	2026	後期	医学部医学科	臨床医学基本実習	坂口　一彦	集中	3M944
51	2026	後期	医学部医学科	臨床実習１	小林　成美	集中	3M946
52	2026	後期	医学部医学科	臨床実習２	大竹　寛雅	集中	3M987
53	2026	後期	医学部医学科	臨床実習３	淺原　俊一郎	集中	3M988
54	2026	後期	医学部医学科	臨床総括講義	小林　成美	集中	3M989
