No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	医学部医療創成工学科	医用生物学概論	大谷　亨	火1	1MB03
2	2026	第1クォーター	医学部医療創成工学科	創造的思考２：システム思考	祇園　景子	火2	1MB10
3	2026	第3クォーター	医学部医療創成工学科	創造的思考１：未来洞察	山口　智子	火2	3MB02
4	2026	第3クォーター	医学部医療創成工学科	機械力学(主：機械力学Ⅰ)	神野　伊策	火2,金1	3MB08
5	2026	後期	医学部医療創成工学科	信号処理Ⅱ(主：信号処理2)	滝口 哲也	火2	3MB09
6	2026	第4クォーター	医学部医療創成工学科	問題探索思考（批判的思考）	祇園　景子	火2	4MB02
7	2026	第4クォーター	医学部医療創成工学科	流体力学(主：流体力学Ⅰ)	今井　陽介	火2,木3	4MB06
8	2026	第3クォーター	医学部医療創成工学科	応用数学Ⅰ	宮本　孝志	火3	3MB01
9	2026	第4クォーター	医学部医療創成工学科	応用数学Ⅱ	宮本　孝志	火3	4MB01
10	2026	第2クォーター	医学部医療創成工学科	公衆衛生学	浅井　孝夫	火4,木3	2MB03
11	2026	後期	医学部医療創成工学科	生体機能代行技術学Ⅲ	大谷　亨	火4,5	3MB10
12	2026	前期	医学部医療創成工学科	医用工学総論	加藤　博史	火5,木1	1MB08
13	2026	第1クォーター	医学部医療創成工学科	解剖学	松尾　和哉	火5,木5	1MB09
14	2026	第2クォーター	医学部医療創成工学科	高分子化学２	西野　孝	月3,水2	2MB07
15	2026	第4クォーター	医学部医療創成工学科	医療機器用プログラミング実習	中楯　龍	水1,2	4MB07
16	2026	第3クォーター	医学部医療創成工学科	医療機器プログラム概論	中楯　龍	水2	3MB11
17	2026	第3クォーター	医学部医療創成工学科	生理学	LE THI HUE	水3,金3	3MB12
18	2026	第2クォーター	医学部医療創成工学科	応用数学Ⅳ	宮本　孝志	水4	2MB05
19	2026	第4クォーター	医学部医療創成工学科	制御工学(主：制御工学Ⅰ)	横小路 泰義	水4,金1	4MB08
20	2026	第1クォーター	医学部医療創成工学科	応用数学Ⅲ	宮本　孝志	水5	1MB11
21	2026	第4クォーター	医学部医療創成工学科	化学実験安全指導	大谷　亨	水5	4MB09
22	2026	第1クォーター	医学部医療創成工学科	臨床医学総論Ⅰ	和田　則仁	月1,木2	1MB06
23	2026	第3クォーター	医学部医療創成工学科	高分子化学３	西野　孝	月1,木3	3MB15
24	2026	第3クォーター	医学部医療創成工学科	製造プロセス工学(主：製造プロセス工学Ⅰ)	鈴木　教和	月2,木2	3MB06
25	2026	前期	医学部医療創成工学科	生体機能代行技術学Ⅱ	加藤　博史	木4,5,金4,5	1MB07
26	2026	第3クォーター	医学部医療創成工学科	チーム医療と関連法規Ⅰ	浅井　孝夫	木4	3MB03
27	2026	第4クォーター	医学部医療創成工学科	チーム医療と関連法規Ⅱ	浅井　孝夫	木4	4MB03
28	2026	第4クォーター	医学部医療創成工学科	病理学	森田　圭紀	木4	4MB10
29	2026	第2クォーター	医学部医療創成工学科	生化学	松尾　和哉	月5,金5	2MB04
30	2026	第1クォーター	医学部医療創成工学科	初年次セミナー（学習法ガイダンス）	大谷　亨	金2	1MB04
31	2026	第3クォーター	医学部医療創成工学科	ロボット工学Ⅰ	中楯　龍	金2	3MB13
32	2026	第4クォーター	医学部医療創成工学科	ロボット工学Ⅱ	中楯　龍	金2	4MB11
33	2026	第2クォーター	医学部医療創成工学科	医療機器モデリング実験	中楯　龍	金3,4	2MB06
34	2026	第1クォーター	医学部医療創成工学科	基礎数学Ⅰ	尾形 尚子	金4	1MB01
35	2026	第2クォーター	医学部医療創成工学科	基礎数学Ⅱ	尾形 尚子	金4	2MB01
36	2026	第3クォーター	医学部医療創成工学科	医療機器学概論	山口　智子	金4	3MB04
37	2026	第4クォーター	医学部医療創成工学科	免疫学	鷹尾　俊達	金4	4MB12
38	2026	後期	医学部医療創成工学科	生体機能代行技術学Ⅰ	加藤　博史	金5	3MB05
39	2026	第1クォーター	医学部医療創成工学科	医用機器学概論	山口　智子	月2	1MB02
40	2026	第2クォーター	医学部医療創成工学科	創造的思考３：デザイン思考	祇園　景子	月2	2MB02
41	2026	第4クォーター	医学部医療創成工学科	問題解決アプローチ　演習	祇園　景子	月2,3	4MB04
42	2026	第3クォーター	医学部医療創成工学科	生体物性工学	大谷　亨	月3,4	3MB14
43	2026	前期	医学部医療創成工学科	信号処理Ⅰ(主：信号処理1)	的場 修	月4	1MB12
44	2026	第4クォーター	医学部医療創成工学科	問題解決フィールドワーク　実習	祇園　景子	月4,5	4MB05
45	2026	第3クォーター	医学部医療創成工学科	画像診断解析学	浅井　孝夫	月5	3MB07
46	2026	前期	医学部医療創成工学科	臨床実習Ⅰ	和田　則仁	集中	1MB05
