No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	通年	医学部保健学科看護学専攻	看護研究方法論	松井　三明	金3,集中	1M197
2	2026	前期	医学部保健学科看護学専攻	看護実践展開実習Ⅱ(成人)	福田 敦子	集中	1M017
3	2026	通年	医学部保健学科看護学専攻	統合看護実習	副島　尭史	集中	1M025
4	2026	通年	医学部保健学科看護学専攻	看護実践展開実習Ⅱ(在宅)	中山 貴美子	集中	1M083
5	2026	通年	医学部保健学科看護学専攻	地域・在宅看護実習Ⅱ	中山 貴美子	集中	1M151
6	2026	前期	医学部保健学科看護学専攻	看護実践基盤実習(援助関係)	中西 泰弘	集中	1M152
7	2026	前期	医学部保健学科看護学専攻	初期体験実習(副：初期体験実習、初期体験実習、初期体験実習)	松井　三明	集中	1M301
8	2026	前期	医学部保健学科看護学専攻	保健医療英語(副：保健医療英語、保健医療英語、保健医療英語)	亀岡 正典	集中	1M326
9	2026	通年	医学部保健学科看護学専攻	グローバルヘルスフィールド演習(副：グローバルヘルスフィールド演習、グローバルヘルスフィールド演習、グローバルヘルスフィールド演習)	グライナー 智恵子	集中	1M330
10	2026	後期	医学部保健学科看護学専攻	ＩＰＷ統合演習(副：ＩＰＷ統合演習、ＩＰＷ統合演習、ＩＰＷ統合演習)	石田　達郎	集中	3M020
11	2026	後期	医学部保健学科看護学専攻	リカレント教育論	土谷テオリン　ちひろ	集中	3M036
12	2026	後期	医学部保健学科看護学専攻	解剖学演習	田中　貴士	集中	3M112
13	2026	後期	医学部保健学科看護学専攻	看護実践基盤実習(生活援助)	福重　春菜	集中	3M113
14	2026	後期	医学部保健学科看護学専攻	看護実践展開実習Ⅰ(成人)	福田 敦子	集中	3M130
15	2026	後期	医学部保健学科看護学専攻	看護実践展開実習Ⅰ(老年)	グライナー 智恵子	集中	3M131
16	2026	後期	医学部保健学科看護学専攻	看護実践展開実習Ⅰ(母性)	藤田　和佳子	集中	3M132
