No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	後期	工学部電気電子工学科	データエンジニアリング（22-）	中村 匡秀	月1	3T157
2	2026	第1クォーター	工学部電気電子工学科	数理物理工学A（-19）	小野　倫也	月2	1N155
3	2026	前期	工学部電気電子工学科	統計物理工学	小野　倫也	月2	1T186
4	2026	第2クォーター	工学部電気電子工学科	数理物理工学B（-19）	小野　倫也	月2	2N155
5	2026	第3クォーター	工学部電気電子工学科	応用通信工学A（-19）	葛野　弘樹	月2	3N152
6	2026	後期	工学部電気電子工学科	応用通信工学	葛野　弘樹	月2	3T181
7	2026	第4クォーター	工学部電気電子工学科	応用通信工学B（-19）	葛野　弘樹	月2	4N152
8	2026	第1クォーター	工学部電気電子工学科	ディジタル情報回路A（-19）	和泉 慎太郎	月3	1N156
9	2026	第1クォーター	工学部電気電子工学科	電気化学２（電気）(主：電気化学２)	宮崎　晃平	月3,水3	1T154
10	2026	第2クォーター	工学部電気電子工学科	ディジタル情報回路B（-19）	和泉 慎太郎	月3	2N156
11	2026	第3クォーター	工学部電気電子工学科	電気電子工学実験ⅢA（-19）	相馬　聡文	月3,4,木3,4	3N164
12	2026	後期	工学部電気電子工学科	電気電子工学実験Ⅲ	相馬　聡文	月3,4,木3,4	3T182
13	2026	第4クォーター	工学部電気電子工学科	電気電子工学実験ⅢB（-19）	相馬　聡文	月3,4,木3,4	4N157
14	2026	第3クォーター	工学部電気電子工学科	情報伝送ⅡA（-19）	葛野　弘樹	火1	3N161
15	2026	後期	工学部電気電子工学科	電磁気学Ⅱ	藤井 稔	火1	3T154
16	2026	後期	工学部電気電子工学科	情報伝送Ⅱ	葛野　弘樹	火1	3T183
17	2026	第4クォーター	工学部電気電子工学科	情報伝送ⅡB（-19）	葛野　弘樹	火1	4N161
18	2026	第1クォーター	工学部電気電子工学科	情報伝送ⅠA（-19）	白石 善明	火2	1N157
19	2026	前期	工学部電気電子工学科	データ構造とアルゴリズムⅠ	渡邉　拓貴	火2	1T165
20	2026	前期	工学部電気電子工学科	情報伝送Ⅰ	白石 善明	火2	1T187
21	2026	第2クォーター	工学部電気電子工学科	情報伝送ⅠB（-19）	白石 善明	火2	2N157
22	2026	第3クォーター	工学部電気電子工学科	半導体電子工学ⅡA（-19）	小野　倫也	火2	3N159
23	2026	第3クォーター	工学部電気電子工学科	制御工学Ⅰ	大森　敏明	火2,金3	3T165
24	2026	後期	工学部電気電子工学科	半導体デバイス工学	小野　倫也	火2	3T185
25	2026	第4クォーター	工学部電気電子工学科	半導体電子工学ⅡB（-19）	小野　倫也	火2	4N159
26	2026	第1クォーター	工学部電気電子工学科	電気電子工学実験ⅡA(a)（-19）	杉本　泰	火3,4,5	1N158
27	2026	前期	工学部電気電子工学科	量子物理工学	相馬　聡文	火3	1T158
28	2026	前期	工学部電気電子工学科	電気電子工学実験Ⅱ（a）	杉本　泰	火3,4,5	1T188
29	2026	第2クォーター	工学部電気電子工学科	電気電子工学実験ⅡB(a)（-19）	杉本　泰	火3,4,5	2N158
30	2026	第3クォーター	工学部電気電子工学科	電子回路A(-19)	和泉 慎太郎	火3	3N154
31	2026	後期	工学部電気電子工学科	電子回路	和泉 慎太郎	火3	3T153
32	2026	第4クォーター	工学部電気電子工学科	電子回路B(-19)	未定	火3	4N154
33	2026	第4クォーター	工学部電気電子工学科	電気化学1（電気）(主：電気化学１)	南本　大穂	火3,金1	4T174
34	2026	第3クォーター	工学部電気電子工学科	電気回路論ⅡA(-19)	北村 雅季	火4	3N153
35	2026	第3クォーター	工学部電気電子工学科	計算機工学ⅠA(-19)	塚本　昌彦	火4	3N155
36	2026	後期	工学部電気電子工学科	計算機工学Ⅰ	塚本　昌彦	火4	3T162
37	2026	後期	工学部電気電子工学科	電気回路論Ⅱ	北村 雅季	火4	3T178
38	2026	第4クォーター	工学部電気電子工学科	電気回路論ⅡB(-19)	北村 雅季	火4	4N153
39	2026	第4クォーター	工学部電気電子工学科	計算機工学ⅠB(-19)	塚本　昌彦	火4	4N155
40	2026	前期	工学部電気電子工学科	電力工学	竹野 裕正	水1	1T189
41	2026	前期	工学部電気電子工学科	電気電子材料学	藤井 稔	水2	1T183
42	2026	後期	工学部電気電子工学科	電気機器Ⅱ	小澤 誠一	水2	3T166
43	2026	第1クォーター	工学部電気電子工学科	電気電子工学実験ⅡA(b)（-19）	杉本　泰	水3,4,5	1N159
44	2026	前期	工学部電気電子工学科	論理数学	塚本　昌彦	水3	1T157
45	2026	前期	工学部電気電子工学科	電気電子工学実験Ⅱ（b）	杉本　泰	水3,4,5	1T190
46	2026	第2クォーター	工学部電気電子工学科	電気電子工学実験ⅡB(b)（-19）	杉本　泰	水3,4,5	2N159
47	2026	第3クォーター	工学部電気電子工学科	電気電子工学実験Ⅰ及び安全指導A(-19)	朝日　重雄	水3,4	3N156
48	2026	第3クォーター	工学部電気電子工学科	光電磁波論A（-19）	杉本　泰	水3	3N158
49	2026	後期	工学部電気電子工学科	電気電子工学実験Ⅰ及び安全指導	朝日　重雄	水3,4	3T172
50	2026	後期	工学部電気電子工学科	光電磁波論	杉本　泰	水3	3T184
51	2026	第4クォーター	工学部電気電子工学科	電気電子工学実験Ⅰ及び安全指導B(-19)	朝日　重雄	水3,4	4N156
52	2026	第4クォーター	工学部電気電子工学科	光電磁波論B（-19）	杉本　泰	水3	4N158
53	2026	前期	工学部電気電子工学科	常微分方程式論演習	服部　吉晃	水4	1T151
54	2026	前期	工学部電気電子工学科	複素関数論演習	服部　吉晃	水4	1T193
55	2026	第3クォーター	工学部電気電子工学科	高電圧放電工学A（-19）	竹野 裕正	水4	3N162
56	2026	後期	工学部電気電子工学科	高電圧放電工学	竹野 裕正	水4	3T186
57	2026	第4クォーター	工学部電気電子工学科	高電圧放電工学B（-19）	竹野 裕正	水4	4N162
58	2026	前期	工学部電気電子工学科	電磁気学Ⅰ	朝日　重雄	木1	1T155
59	2026	第3クォーター	工学部電気電子工学科	半導体電子工学ⅠA（-19）	喜多　隆	木1	3N157
60	2026	後期	工学部電気電子工学科	半導体電子工学（20-）	喜多　隆	木1	3T156
61	2026	第4クォーター	工学部電気電子工学科	半導体電子工学ⅠB（-19）	喜多　隆	木1	4N165
62	2026	第1クォーター	工学部電気電子工学科	プログラミング演習ⅡA(-19)	大西　鮎美	木2	1N153
63	2026	前期	工学部電気電子工学科	情報理論	白石 善明	木2	1T184
64	2026	前期	工学部電気電子工学科	プログラミング演習Ⅱ	大西　鮎美	木2	1T191
65	2026	第2クォーター	工学部電気電子工学科	プログラミング演習ⅡB(-19)	大西　鮎美	木2	2N153
66	2026	第3クォーター	工学部電気電子工学科	電気計測A	北村 雅季	木2	3T155
67	2026	第4クォーター	工学部電気電子工学科	電気計測Ｂ	北村 雅季	木2	4T153
68	2026	前期	工学部電気電子工学科	電気電子工学導入ゼミナール（25-）	大西　鮎美	木4	1T152
69	2026	第3クォーター	工学部電気電子工学科	電気電子工学研究概論	葛野　弘樹	木5	3T175
70	2026	第4クォーター	工学部電気電子工学科	制御工学Ⅱ	大森　敏明	火2,金3	4T163
71	2026	前期	工学部電気電子工学科	電気機器Ⅰ	小澤 誠一	金1	1T159
72	2026	第1クォーター	工学部電気電子工学科	固体物性工学A	服部　吉晃	金2	1T153
73	2026	前期	工学部電気電子工学科	計算機工学Ⅱ	寺田　努	金2	1T164
74	2026	第2クォーター	工学部電気電子工学科	固体物性工学B	服部　吉晃	金2	2T153
75	2026	第3クォーター	工学部電気電子工学科	データ構造とアルゴリズムⅡA（-19）	山口　一章	金2	3N163
76	2026	後期	工学部電気電子工学科	データ構造とアルゴリズムⅡ	山口　一章	金2	3T188
77	2026	第4クォーター	工学部電気電子工学科	データ構造とアルゴリズムⅡB（-19）	山口　一章	金2	4N163
78	2026	第1クォーター	工学部電気電子工学科	電気回路論ⅠA(-19)	黒木 修隆	金3	1N151
79	2026	前期	工学部電気電子工学科	電磁気学演習	朝日　重雄	金3	1T156
80	2026	前期	工学部電気電子工学科	電気回路論Ⅰ	黒木 修隆	金3	1T179
81	2026	第2クォーター	工学部電気電子工学科	電気回路論ⅠB(-19)	黒木 修隆	金3	2N151
82	2026	第1クォーター	工学部電気電子工学科	電気回路論演習A(-19)	黒木 修隆	金4	1N152
83	2026	前期	工学部電気電子工学科	電気回路論演習(20-)(a)	黒木 修隆	金4	1T180
84	2026	前期	工学部電気電子工学科	電気回路論演習(20-)(b)	黒木 修隆	金4	1T181
85	2026	第2クォーター	工学部電気電子工学科	電気回路論演習B(-19)	黒木 修隆	金4	2N152
86	2026	第3クォーター	工学部電気電子工学科	プログラミング演習ⅠA(-19)	葛野　弘樹	金4	3N151
87	2026	第3クォーター	工学部電気電子工学科	集積回路工学A（-19）	中島　雅逸	金4,5	3N160
88	2026	後期	工学部電気電子工学科	プログラミング演習Ⅰ	葛野　弘樹	金4	3T176
89	2026	後期	工学部電気電子工学科	集積回路工学	中島　雅逸	金4,5	3T189
90	2026	第4クォーター	工学部電気電子工学科	プログラミング演習ⅠB(-19)	葛野　弘樹	金4	4N151
91	2026	第4クォーター	工学部電気電子工学科	集積回路工学B（-19）	中島　雅逸	金4,5	4N160
92	2026	前期	工学部電気電子工学科	情報理論（集中）	白石 善明	集中	1N160
93	2026	前期	工学部電気電子工学科	論理数学（集中）	塚本　昌彦	集中	1N161
94	2026	前期	工学部電気電子工学科	電気電子工学実験Ⅳ	葛野　弘樹	集中	1T173
95	2026	通年	工学部電気電子工学科	卒業研究	葛野　弘樹	集中	1T178
96	2026	前期	工学部電気電子工学科	クリエイティブゼミナール	服部　吉晃	集中	1T195
97	2026	後期	工学部電気電子工学科	卒業研究（半期：後期）	電気電子工学各教員	集中	3T151
98	2026	後期	工学部電気電子工学科	卒業研究（半期）	葛野　弘樹	集中	3T190
