No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	工学部機械工学科	設計工学Ⅰ	西田　勇	月1,金1	1T215
2	2026	第2クォーター	工学部機械工学科	機構学	中楯　龍	月1,水3	2T219
3	2026	第2クォーター	工学部機械工学科	流体機械	片岡 武	月1,金2	2T222
4	2026	第3クォーター	工学部機械工学科	エネルギー変換工学	村川　英樹	月1,金2	3T207
5	2026	第1クォーター	工学部機械工学科	流体工学	林 公祐	月2,水3	1T206
6	2026	第2クォーター	工学部機械工学科	物理学概論I	田中 克志	月2,水2	2T203
7	2026	第2クォーター	工学部機械工学科	計測工学	菅野　公二	月2,木4	2T206
8	2026	第3クォーター	工学部機械工学科	塑性力学	長谷部　忠司	月2,金3	3T205
9	2026	第3クォーター	工学部機械工学科	製造プロセス工学Ⅰ(副：製造プロセス工学)	鈴木　教和	月2,木2	3T208
10	2026	第4クォーター	工学部機械工学科	材料力学Ⅰ	塩澤　大輝	月2,金2	4T204
11	2026	第1クォーター	工学部機械工学科	機械材料学	向井 敏司	月4,金2	1T211
12	2026	第1クォーター	工学部機械工学科	熱力学I	浅野 等	火1,木4	1T205
13	2026	第1クォーター	工学部機械工学科	流体力学Ⅱ	林 公祐	火1,水2	1T208
14	2026	第2クォーター	工学部機械工学科	制御工学Ⅱ	田崎　勇一	火1,木3	2T210
15	2026	第2クォーター	工学部機械工学科	熱力学Ⅱ	村川　英樹	火1,金1	2T220
16	2026	第3クォーター	工学部機械工学科	機械創造設計プロジェクトⅠ	横小路 泰義	火1,2	3T211
17	2026	第4クォーター	工学部機械工学科	生産システム工学	鈴木　教和	火1,木2	4T209
18	2026	第1クォーター	工学部機械工学科	機械力学Ⅱ	菅野　公二	火2,木1	1T214
19	2026	第2クォーター	工学部機械工学科	物理学概論Ⅱ	田川　雅人	火2,木1	2T207
20	2026	第2クォーター	工学部機械工学科	電気工学概論	肥田 博隆	火2,木1	2T221
21	2026	第3クォーター	工学部機械工学科	機械力学Ⅰ(副：機械力学)	菅野　公二	火2,金1	3T206
22	2026	第4クォーター	工学部機械工学科	流体力学Ⅰ(副：流体力学)	今井　陽介	火2,木3	4T203
23	2026	第1クォーター	工学部機械工学科	機械基礎数学I	肥田 博隆	火3,木3	1T203
24	2026	第2クォーター	工学部機械工学科	機械基礎数学II	今井　陽介	火3,木4	2T201
25	2026	第2クォーター	工学部機械工学科	プログラミング演習Ⅱ(b)	林 公祐	火3,4	2T213
26	2026	第2クォーター	工学部機械工学科	機械設計製作演習Ⅰ(a)	西田　勇	火3,4	2T214
27	2026	第3クォーター	工学部機械工学科	プログラミング演習Ⅲ(b)	田崎　勇一	火3,4	3T212
28	2026	第3クォーター	工学部機械工学科	機械工学実験(a)	片岡 武	火3,4	3T213
29	2026	第4クォーター	工学部機械工学科	プログラミング演習Ⅲ(a)	田崎　勇一	火3,4	4T211
30	2026	第4クォーター	工学部機械工学科	機械工学実験(b)	片岡 武	火3,4	4T212
31	2026	第1クォーター	工学部機械工学科	材料力学II	塩澤　大輝	火4,金2	1T210
32	2026	第1クォーター	工学部機械工学科	弾性力学	長谷部　忠司	火4,木3	1T212
33	2026	第2クォーター	工学部機械工学科	製造プロセス工学II	磯野　吉正	水1,2	2T211
34	2026	第3クォーター	工学部機械工学科	機械設計製作演習Ⅱ(a)	肥田 博隆	水1,2,3,4	3T209
35	2026	第4クォーター	工学部機械工学科	機械創造設計プロジェクトⅡ	西田　勇	水1,2	4T210
36	2026	第2クォーター	工学部機械工学科	プログラミング演習Ⅱ(a)	林 公祐	水3,4	2T212
37	2026	第2クォーター	工学部機械工学科	機械設計製作演習Ⅰ(b)	肥田 博隆	水3,4	2T215
38	2026	第4クォーター	工学部機械工学科	材料科学	田中 克志	水3,木1	4T206
39	2026	第1クォーター	工学部機械工学科	機械工学基礎	池尾　直子	水4	1T202
40	2026	第1クォーター	工学部機械工学科	熱移動論	浅野 等	水4,木2	1T209
41	2026	第2クォーター	工学部機械工学科	基礎力学I	塩澤　大輝	水4,金2	2T202
42	2026	第4クォーター	工学部機械工学科	制御工学Ⅰ(副：制御工学)	横小路 泰義	水4,金1	4T207
