No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	工学部	複素関数論（建築・応化）	若生　将史	月2	1T027
2	2026	後期	工学部	フーリエ解析（建築・市民・応化）	八木　厚志	月2	3T019
3	2026	前期	工学部	偏微分方程式（機械）	満渕　俊樹	月3	1T007
4	2026	前期	工学部	偏微分方程式（電気）	満渕　俊樹	月4	1T006
5	2026	後期	工学部	フーリエ解析（電気）	太田　快人	月4	3T020
6	2026	第2クォーター	工学部	教養としての市民工学	瀬谷　創	月5	2T006
7	2026	第2クォーター	工学部	機械工学と人間社会	今井　陽介	月5	2T007
8	2026	第2クォーター	工学部	物質化学概論(副：応用化学概論（-24）)	岡野　健太郎	月5	2T008
9	2026	第2クォーター	工学部	高度情報知能工学概論Ａ	情報知能工学科全教官	月5	2T009
10	2026	第2クォーター	工学部	高度教養セミナー工学部（応用化学）	応用化学科教員	月5	2T025
11	2026	第2クォーター	工学部	高度教養セミナー工学部（応用化学）	応用化学科教員	月5	2T026
12	2026	前期	工学部	複素関数論（市民・機械）	太田　快人	火3	1T028
13	2026	前期	工学部	常微分方程式論（電気）	國谷　紀良	火4	1T001
14	2026	第4クォーター	工学部	高度教養セミナー工学部（市民工学）	橋本　国太郎	火4	4T009
15	2026	第4クォーター	工学部	高度教養セミナー工学部（市民工学）	橋本　国太郎	火4	4T015
16	2026	第2クォーター	工学部	高度教養セミナー工学部（建築学）	安田　徹也	火5	2T047
17	2026	第2クォーター	工学部	高度教養セミナー工学部（建築学）	安田　徹也	火5	2T048
18	2026	第3クォーター	工学部	建築構造の展開	藤永　隆	火5	3T007
19	2026	第4クォーター	工学部	建築環境工学概論	鈴木　広隆	火5	4T007
20	2026	第4クォーター	工学部	高度教養セミナー工学部（電気電子工学）	大西　鮎美	火5	4T010
21	2026	第4クォーター	工学部	高度教養セミナー工学部（情報知能工学）	情報知能各教員	火5	4T013
22	2026	第4クォーター	工学部	高度教養セミナー工学部（情報知能工学）	情報知能各教員	火5	4T019
23	2026	第2クォーター	工学部	高度教養セミナー工学部（市民工学先端研究）	鍬田　泰子	水1	2T011
24	2026	第2クォーター	工学部	高度教養セミナー工学部（市民工学先端研究）	鍬田　泰子	水1	2T012
25	2026	第3クォーター	工学部	グラフィクスリテラシー1	鈴木　広隆	水3	3T017
26	2026	第4クォーター	工学部	グラフィクスリテラシー2	鈴木　広隆	水3	4T017
27	2026	第1クォーター	工学部	高度教養セミナー工学部（建築学先端研究）	安田　徹也	水5	1T010
28	2026	第1クォーター	工学部	高度教養セミナー工学部（建築学先端研究）	安田　徹也	水5	1T015
29	2026	第2クォーター	工学部	知的財産入門	佐原　隆一	水5	2T042
30	2026	前期	工学部	常微分方程式論（機械）	増淵 泉	木3	1T003
31	2026	前期	工学部	複素関数論（電気）	太田　快人	木3	1T029
32	2026	後期	工学部	フーリエ解析（機械）	増淵 泉	木4	3T021
33	2026	第3クォーター	工学部	電子物理工学概論	葛野　弘樹	木5	3T008
34	2026	第3クォーター	工学部	電子情報工学概論	葛野　弘樹	木5	3T009
35	2026	第3クォーター	工学部	化学工学概論	荻野　千秋	木5	3T010
36	2026	前期	工学部	離散数学(電気)	佐野 英樹	金2	1T025
37	2026	前期	工学部	高度教養セミナー工学部（電気電子工学先端研究）	葛野　弘樹	集中	1T011
38	2026	第1クォーター	工学部	高度教養セミナー工学部（応用化学先端研究）	応用化学科教員	集中	1T013
39	2026	前期	工学部	高度教養セミナー工学部（情報知能工学先端研究）	情報知能工学科全教官	集中	1T014
40	2026	前期	工学部	高度教養セミナー工学部（電気電子工学先端研究）	葛野　弘樹	集中	1T016
41	2026	第1クォーター	工学部	高度教養セミナー工学部（応用化学先端研究）	応用化学科教員	集中	1T018
42	2026	前期	工学部	高度教養セミナー工学部（情報知能工学先端研究）	情報知能工学科全教官	集中	1T019
43	2026	通年	工学部	工学グローバル実習	熊野　栄	集中	1T030
44	2026	前期	工学部	学際工学英語特別講義Ⅵ	上﨑　麻衣子	集中	1T036
45	2026	前期	工学部	学際工学英語特別講義Ⅵ（他学部生用）	上﨑　麻衣子	集中	1T050
46	2026	第2クォーター	工学部	金融情報システムPBL	伊藤　真理	集中	2T015
