No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	工学部応用化学科	物理化学A	舟橋　正浩	月1,木3	1T253
2	2026	第1クォーター	工学部応用化学科	生物機能化学１（21-）	田中　勉	月1,水2	1T262
3	2026	第2クォーター	工学部応用化学科	環境分析化学	宮崎　晃平	月1,水3	2T262
4	2026	第4クォーター	工学部応用化学科	生物化学工学Ｃ	田中　勉	月1,木1	4T284
5	2026	第1クォーター	工学部応用化学科	粉体工学	菰田 悦之	月2	1T260
6	2026	第2クォーター	工学部応用化学科	分離工学３（21-）	神尾 英治	月2,木4	2T263
7	2026	第3クォーター	工学部応用化学科	化学工学量論	山地 秀樹	月2	3T267
8	2026	第4クォーター	工学部応用化学科	基礎有機化学	岡野　健太郎	月2,水3	4T260
9	2026	第1クォーター	工学部応用化学科	電気化学２(副：電気化学２（電気）)	宮崎　晃平	月3,水3	1T252
10	2026	第1クォーター	工学部応用化学科	有機化学１	岡野　健太郎	月3,水3	1T258
11	2026	第2クォーター	工学部応用化学科	有機化学４	山口　渉	月3,水2	2T259
12	2026	第2クォーター	工学部応用化学科	高分子化学２	松本　拓也	月3,水2	2T274
13	2026	第3クォーター	工学部応用化学科	高分子化学３	松本　拓也	月3,水3	3T281
14	2026	第4クォーター	工学部応用化学科	分析化学２	牧　秀志	月3,水3	4T276
15	2026	第1クォーター	工学部応用化学科	無機化学１	南本　大穂	月4,木1	1T255
16	2026	第1クォーター	工学部応用化学科	特別講義Ｄ（学部）	石井 純	月4	1T272
17	2026	第2クォーター	工学部応用化学科	分析化学１	牧　秀志	月4,水3	2T278
18	2026	第3クォーター	工学部応用化学科	有機化学２	山口　渉	月4,金1	3T280
19	2026	第4クォーター	工学部応用化学科	有機化学３	鈴木　望	月4,木4	4T280
20	2026	第2クォーター	工学部応用化学科	応用化学概論（-24）(主：物質化学概論)	水畑 穣	月5	1N258
21	2026	第1クォーター	工学部応用化学科	高分子化学１	南 秀人	火1,金2	1T259
22	2026	第2クォーター	工学部応用化学科	生物機能化学２（21-）	田中　勉	火1,木1	2T254
