No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第4クォーター	工学部市民工学科	都市環境工学	瀬谷　創	月1	4T113
2	2026	前期	工学部市民工学科	土質力学Ⅰ	竹山　智英	月2	1T110
3	2026	第1クォーター	工学部市民工学科	交通工学	瀬谷　創	月2,金3	1T120
4	2026	第2クォーター	工学部市民工学科	数学演習	瀨木　俊輔	月2,金4	2T101
5	2026	後期	工学部市民工学科	地震安全工学	鍬田　泰子	月2	3T108
6	2026	第4クォーター	工学部市民工学科	市民工学のための経済学	小池 淳司	月2,金1	4T111
7	2026	第1クォーター	工学部市民工学科	土質力学Ⅲ	橘　伸也	月3,木4	1T111
8	2026	前期	工学部市民工学科	水理学I（26-）	大石 哲	月3,水4	1T121
9	2026	第2クォーター	工学部市民工学科	連続体力学	橘　伸也	月3,4	2T105
10	2026	後期	工学部市民工学科	土質力学Ⅱ	橘　伸也	月3,木1	3T115
11	2026	第3クォーター	工学部市民工学科	地下水工学	齋藤 雅彦	月3	3T119
12	2026	第4クォーター	工学部市民工学科	土木ＣＡＤ製図	橋本　国太郎	月3,4	4T101
13	2026	第4クォーター	工学部市民工学科	海岸工学	内山 雄介	月3	4T109
14	2026	第2クォーター	工学部市民工学科	都市地域計画	織田澤 利守	月4,水3	2T111
15	2026	第3クォーター	工学部市民工学科	市民工学のための確率・統計学	瀬谷　創	月4,火4	3T104
16	2026	第4クォーター	工学部市民工学科	応用水理学	内山 雄介	月4	4T116
17	2026	第3クォーター	工学部市民工学科	上水道工学	中山　恵介	火1	3T114
18	2026	第4クォーター	工学部市民工学科	下水道工学	中山　恵介	火1	4T114
19	2026	第1クォーター	工学部市民工学科	地圏環境工学	竹山　智英	火2	1T114
20	2026	第2クォーター	工学部市民工学科	水圏環境工学	中山　恵介	火2	2T110
21	2026	第2クォーター	工学部市民工学科	数値計算Ⅱ	大石 哲	火2,水2	2T116
22	2026	後期	工学部市民工学科	水理学II（26-）	中山　恵介	火2	3T120
23	2026	第4クォーター	工学部市民工学科	都市安全工学	高山　裕介	火2,木2	4T110
24	2026	第1クォーター	工学部市民工学科	実験及び安全指導Ⅰ	椿　涼太	火3,4	1T106
25	2026	第2クォーター	工学部市民工学科	構造動力学	長尾　毅	火3,木2	2T106
26	2026	第3クォーター	工学部市民工学科	材料工学	三木　朋広	火3,金2	3T110
27	2026	後期	工学部市民工学科	橋梁工学	橋本　国太郎	火3	3T117
28	2026	第2クォーター	工学部市民工学科	創造思考ゼミナール-a	瀨木　俊輔	火4	2T107
29	2026	第4クォーター	工学部市民工学科	構造力学Ⅰ	長尾　毅	火4,金2	4T104
30	2026	前期	工学部市民工学科	構造力学Ⅱ	橋本　国太郎	水1,3	1T107
31	2026	第1クォーター	工学部市民工学科	コンクリート構造学	三木　朋広	水1,木3	1T108
32	2026	第3クォーター	工学部市民工学科	地盤基礎工学	竹山　智英	水1,2	3T106
33	2026	第1クォーター	工学部市民工学科	水文学	大石 哲	水2	1T112
34	2026	前期	工学部市民工学科	数値計算Ⅰ	瀬谷　創	水2	1T115
35	2026	第2クォーター	工学部市民工学科	費用便益分析	織田澤 利守	水2,金2	2T108
36	2026	第1クォーター	工学部市民工学科	土木設計学	長尾　毅	水3,4	1T117
37	2026	第2クォーター	工学部市民工学科	実験及び安全指導Ⅱ	椿　涼太	水3,4	2T103
38	2026	第3クォーター	工学部市民工学科	応用測量学	瀬谷　創	水3	3T102
39	2026	第3クォーター	工学部市民工学科	創造思考ゼミナール-b	瀨木　俊輔	水3	3T107
40	2026	後期	工学部市民工学科	構造力学Ⅲ	三木　朋広	水3,4	3T109
41	2026	第4クォーター	工学部市民工学科	数理計画II	瀨木　俊輔	水4,木2	4T112
42	2026	第3クォーター	工学部市民工学科	数理計画Ｉ	瀨木　俊輔	木1,2	3T112
43	2026	第1クォーター	工学部市民工学科	河川流域工学	椿　涼太	木2	1T116
44	2026	第2クォーター	工学部市民工学科	国際関係論	橘　伸也	木4	2T102
45	2026	第1クォーター	工学部市民工学科	市民工学概論（25-）	大石 哲	金1,2	1T105
46	2026	後期	工学部市民工学科	関西の現代土木史（26-）	鍬田　泰子	金1,2	3T121
47	2026	第2クォーター	工学部市民工学科	地球環境論	内山 雄介	金2	2T109
48	2026	第4クォーター	工学部市民工学科	合意形成論	小池 淳司	金2	4T102
49	2026	第2クォーター	工学部市民工学科	プロジェクトマネジメント	内山 雄介	金3	2T112
50	2026	第2クォーター	工学部市民工学科	公共施設工学	内山 雄介	金4	2T104
51	2026	第4クォーター	工学部市民工学科	シヴィックデザイン	白柳　洋俊	金4,5	4T115
52	2026	前期	工学部市民工学科	測量学	瀬谷　創	集中	1T103
53	2026	前期	工学部市民工学科	測量学実習	齋藤 雅彦	集中	1T104
54	2026	第1クォーター	工学部市民工学科	市民工学のための技術者倫理	高山　裕介	集中	1T119
55	2026	通年	工学部市民工学科	卒業研究	椿　涼太	集中	1T125
56	2026	第2クォーター	工学部市民工学科	創造思考ゼミナールⅠ-a（-21）	瀬谷　創	集中	2N101
57	2026	第2クォーター	工学部市民工学科	測量学実習Ⅰ（-21）	齋藤 雅彦	集中	2N102
58	2026	第3クォーター	工学部市民工学科	創造思考ゼミナールⅠ-b（-21）	瀬谷　創	集中	3N101
59	2026	第3クォーター	工学部市民工学科	測量学実習Ⅱ（-21）	齋藤 雅彦	集中	3N102
60	2026	通年	工学部市民工学科	卒業研究（後期開始）	椿　涼太	集中	3T125
61	2026	後期	工学部市民工学科	卒業研究（半期（後））	椿　涼太	集中	3T126
