No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	工学部建築学科	建築生産学A	水島　靖典	月1	1T066
2	2026	第2クォーター	工学部建築学科	建築生産学B	水島　靖典	月1	2T066
3	2026	第3クォーター	工学部建築学科	都市熱環境計画	竹林 英樹	月1	3T086
4	2026	第1クォーター	工学部建築学科	構法システム1	山辺 友一郎	月2	1T085
5	2026	第2クォーター	工学部建築学科	建築計画Ｉ	槻橋 修	月2	2T064
6	2026	第2クォーター	工学部建築学科	振動学２	向井 洋一	月2	2T079
7	2026	第4クォーター	工学部建築学科	建築材料学A	難波 尚	月2	4T081
8	2026	第1クォーター	工学部建築学科	設計演習１	堀内　啓佑	月3,4,金3,4	1T058
9	2026	第1クォーター	工学部建築学科	構造設計Ⅱ	藤永　隆	月3,4,5	1T060
10	2026	第1クォーター	工学部建築学科	建築コンクリート構造学Ⅰ－１	孫　玉平	月3	1T071
11	2026	第2クォーター	工学部建築学科	設計演習２	安田　徹也	月3,4,金3,4	2T057
12	2026	第2クォーター	工学部建築学科	建築コンクリート構造学Ⅰ－２	孫　玉平	月3	2T071
13	2026	第3クォーター	工学部建築学科	設計演習7	建築計画系教員	月3,4,木3,4,金3,4	3T054
14	2026	第3クォーター	工学部建築学科	構造設計ⅠA	山辺 友一郎	月3,4,金3,4,5	3T072
15	2026	第3クォーター	工学部建築学科	建築環境工学IIA(20-)	阪上　公博	月3	3T076
16	2026	第4クォーター	工学部建築学科	設計演習8	建築計画系教員	月3,4,木3,4,金3,4	4T054
17	2026	第4クォーター	工学部建築学科	構造設計ⅠB	建築構造系教員	月3,4,金3,4,5	4T073
18	2026	第4クォーター	工学部建築学科	建築環境工学IIB(20-)	阪上　公博	月3	4T076
19	2026	第3クォーター	工学部建築学科	熱環境計画A	福井　一真	月4	3T061
20	2026	第4クォーター	工学部建築学科	熱環境計画Ｂ	福井　一真	月4	4T061
1	2026	第1クォーター	工学部建築学科	近代建築史	中江 研	火1	1T090
2	2026	第3クォーター	工学部建築学科	西洋建築史A	中江 研	火1	3T055
3	2026	第3クォーター	工学部建築学科	探究型建築演習A	末包 伸吾	火1,2	3T087
4	2026	第4クォーター	工学部建築学科	西洋建築史Ｂ	中江 研	火1	4T055
5	2026	第4クォーター	工学部建築学科	探究型建築演習B	末包 伸吾	火1,2	4T085
6	2026	第1クォーター	工学部建築学科	建築計画IV	近藤 民代	火2	1T064
7	2026	第2クォーター	工学部建築学科	居住環境論	近藤 民代	火2	2T077
8	2026	第3クォーター	工学部建築学科	振動学１	向井 洋一	火2	3T051
9	2026	第4クォーター	工学部建築学科	建築耐震構造	向井 洋一	火2	4T066
10	2026	第1クォーター	工学部建築学科	建築材料学Ｂ	孫　玉平	火3	1T053
11	2026	第1クォーター	工学部建築学科	設計演習5	槻橋 修	火3,4,木3,4,金3,4	1T057
12	2026	第2クォーター	工学部建築学科	設計演習6	中江　哲	火3,4,木3,4,金3,4	2T056
13	2026	第3クォーター	工学部建築学科	防災構造工学A	藤永　隆	火3	3T068
14	2026	第4クォーター	工学部建築学科	設計基礎B１	鈴木　広隆	火3	4T051
15	2026	第4クォーター	工学部建築学科	防災構造工学Ｂ	藤永　隆	火3	4T069
16	2026	第3クォーター	工学部建築学科	建築構法	未定	火4	3T088
17	2026	第4クォーター	工学部建築学科	建築素材論Ｂ	合田　靖	火4	4T074
1	2026	第1クォーター	工学部建築学科	日本建築史A	安田　徹也	水1	1T080
2	2026	第2クォーター	工学部建築学科	日本建築史Ｂ	安田　徹也	水1	2T082
3	2026	第3クォーター	工学部建築学科	音環境計画A	佐藤 逸人	水1	3T057
4	2026	第4クォーター	工学部建築学科	音環境計画Ｂ	佐藤 逸人	水1	4T057
5	2026	第1クォーター	工学部建築学科	建築環境工学IA（20-）	高田　暁	水2	1T076
6	2026	第1クォーター	工学部建築学科	都市計画III	栗山 尚子	水2	1T095
7	2026	第2クォーター	工学部建築学科	建築環境工学IB（20-）	高田　暁	水2	2T076
8	2026	第3クォーター	工学部建築学科	建築・都市・環境法制A	中川　龍一	水2	3T082
9	2026	第4クォーター	工学部建築学科	建築・都市・環境法制B	中川　龍一	水2	4T082
10	2026	第1クォーター	工学部建築学科	構造演習Ⅱ－１	向井 洋一	水3	1T069
11	2026	第1クォーター	工学部建築学科	建築設備A	竹林 英樹	水3	1T086
12	2026	第2クォーター	工学部建築学科	構造演習Ⅱ－２	向井 洋一	水3	2T063
13	2026	第2クォーター	工学部建築学科	建築設備B	竹林 英樹	水3	2T067
14	2026	第3クォーター	工学部建築学科	設計演習３	建築学科教員	水3,4,金3,4	3T056
15	2026	第3クォーター	工学部建築学科	構造・材料実験	袁　士宇	水3,4	3T089
16	2026	第4クォーター	工学部建築学科	設計基礎C２	建築学科教員	水3,4,金3,4	4T052
17	2026	第4クォーター	工学部建築学科	設計演習４	建築学科教員	水3,4,金3,4	4T059
18	2026	第4クォーター	工学部建築学科	構造計画学	山辺 友一郎	水3	4T086
19	2026	第1クォーター	工学部建築学科	構造演習Ⅰ-１	竹内 崇	水4	1T073
20	2026	第2クォーター	工学部建築学科	構造演習Ⅰ-２	竹内 崇	水4	2T072
21	2026	第3クォーター	工学部建築学科	建築素材論A	合田　靖	水4	3T073
5	2026	第1クォーター	工学部建築学科	建築鋼構造学Ⅰ－１	浅田　勇人	木1	1T070
6	2026	第2クォーター	工学部建築学科	建築鋼構造学Ⅰ－２	浅田　勇人	木1	2T070
7	2026	第3クォーター	工学部建築学科	建築コンクリート構造学Ⅱ	孫　玉平	木1	3T071
8	2026	第4クォーター	工学部建築学科	建築鋼構造学II	浅田　勇人	木1	4T070
9	2026	第1クォーター	工学部建築学科	建築意匠	末包 伸吾	木2	1T061
10	2026	第2クォーター	工学部建築学科	現代建築論	末包 伸吾	木2	2T080
11	2026	第3クォーター	工学部建築学科	まちづくり論（23-）	根津　昌彦	木2	3T058
12	2026	第3クォーター	工学部建築学科	都市計画I	栗山 尚子	木2	3T083
13	2026	第4クォーター	工学部建築学科	都市計画II	大津山　堅介	木2	4T083
12	2026	第1クォーター	工学部建築学科	構造力学Ⅱ-１	竹内 崇	金1	1T059
13	2026	第1クォーター	工学部建築学科	建築デザイン入門	栗山 尚子	金1	1T063
14	2026	第2クォーター	工学部建築学科	設計基礎C1	鈴木　広隆	金1	2T051
15	2026	第2クォーター	工学部建築学科	建築設計論	槻橋 修	金1	2T055
16	2026	第2クォーター	工学部建築学科	構造力学Ⅱ-２	竹内 崇	金1	2T062
17	2026	第3クォーター	工学部建築学科	建築計画II	大津山　堅介	金1	3T064
18	2026	第3クォーター	工学部建築学科	建築環境工学演習	建築環境系教員	金1,2	3T090
19	2026	第4クォーター	工学部建築学科	建築計画III	浅井 保	金1	4T064
20	2026	第1クォーター	工学部建築学科	初年次セミナー（建築学）	佐藤 逸人	金2	1T051
21	2026	第1クォーター	工学部建築学科	設計基礎B2	水島　靖典	金2	1T056
22	2026	第1クォーター	工学部建築学科	光環境計画A	鈴木　広隆	金2	1T091
23	2026	第2クォーター	工学部建築学科	光環境計画B	鈴木　広隆	金2	2T078
24	2026	第3クォーター	工学部建築学科	環境デザインA（23-）	八木　弘毅	金2	3T060
25	2026	第3クォーター	工学部建築学科	構造力学III	水島　靖典	金2	3T067
26	2026	第3クォーター	工学部建築学科	構造力学I-1	難波 尚	金2	3T081
27	2026	第4クォーター	工学部建築学科	塑性解析（23-）	竹内 崇	金2	4T058
28	2026	第4クォーター	工学部建築学科	環境デザインB（23-）	吉野　和泰	金2	4T060
29	2026	第4クォーター	工学部建築学科	構造力学I-2	難波 尚	金2	4T080
30	2026	第4クォーター	工学部建築学科	建築設備システム	中川　浩明	金2	4T087
31	2026	第1クォーター	工学部建築学科	設計基礎A１（イ）	槻橋 修	金3	1T054
32	2026	第2クォーター	工学部建築学科	構法システム2	山辺 友一郎	金3	2T074
33	2026	第3クォーター	工学部建築学科	設計基礎A２	浅井 保	金3,4	3T052
34	2026	第1クォーター	工学部建築学科	設計基礎A１（ロ）	槻橋 修	金4	1T055
1	2026	通年	工学部建築学科	卒業研究	建築学科教員	集中	1T084
2	2026	前期	工学部建築学科	卒業研究（半期）	安田　徹也	集中	1T087
3	2026	前期	工学部建築学科	構造力学Ⅲ-２	向井 洋一	集中	1T096
4	2026	第2クォーター	工学部建築学科	設計基礎B３	藤井　章弘	集中	2T054
5	2026	後期	工学部建築学科	卒業研究（半期）	建築学科教員	集中	3T091
