No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	通年	医学部保健学科検査技術科学専攻	臨床血液学(副：臨床血液学)	伊藤　光宏	月1,2	1M002
2	2026	前期	医学部保健学科検査技術科学専攻	移植管理学(副：移植管理学、移植管理学)	三浦 靖史	月1,2	1M050
3	2026	通年	医学部保健学科検査技術科学専攻	臨床血液学(主：臨床血液学)	伊藤　光宏	月1,2	1M114
4	2026	前期	医学部保健学科検査技術科学専攻	移植管理学(主：移植管理学)	三浦 靖史	月1,2	1M186
5	2026	後期	医学部保健学科検査技術科学専攻	国際保健 (主：国際保健)	中澤 港	月1	3M002
6	2026	後期	医学部保健学科検査技術科学専攻	検査情報解析学	亀岡 正典	月1,2,3,4,5	3M042
7	2026	後期	医学部保健学科検査技術科学専攻	検査情報解析学演習	亀岡 正典	月1,2,3,4,5	3M043
8	2026	後期	医学部保健学科検査技術科学専攻	国際保健(主：国際保健)	中澤 港	月1	3M321
9	2026	前期	医学部保健学科検査技術科学専攻	統計学(主：統計学)	駒井　浩一郎	月2	1M041
10	2026	前期	医学部保健学科検査技術科学専攻	ウイルス検査学	亀岡 正典	月2	1M136
11	2026	前期	医学部保健学科検査技術科学専攻	臨床血液学実習Ⅰ	伊藤　光宏	月3,4	1M049
12	2026	前期	医学部保健学科検査技術科学専攻	公衆衛生学	中澤 港	月3	1M069
13	2026	前期	医学部保健学科検査技術科学専攻	国際感染症論	亀岡 正典	月3,4	1M088
14	2026	後期	医学部保健学科検査技術科学専攻	臨床生理学実習I	安田 尚史	月3,4,5	3M096
15	2026	後期	医学部保健学科検査技術科学専攻	ウイルス検査学実習	亀岡 正典	月3,4,5,木3,4,5,金3,4,5	3M097
16	2026	前期	医学部保健学科検査技術科学専攻	環境・食品・産業衛生学	中澤 港	月4	1M106
17	2026	前期	医学部保健学科検査技術科学専攻	臨床生理学	安田 尚史	月5	1M127
