No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	国際人間科学部	環境形成科学演習１A	佐藤　真行	月5	1H668
2	2026	後期	国際人間科学部	環境形成科学演習２A	佐藤　真行	月5	3H668
3	2026	後期	国際人間科学部	環境形成科学演習２B	前川　直哉	木4	3H674
4	2026	前期	国際人間科学部	環境形成科学演習１A	大野 朋子	月5	1H666
5	2026	後期	国際人間科学部	環境形成科学演習２A	大野 朋子	月5	3H666
6	2026	前期	国際人間科学部	環境形成科学演習１A	田畑　智博	月5	1H671
7	2026	後期	国際人間科学部	環境形成科学演習２A	田畑　智博	月5	3H671
8	2026	前期	国際人間科学部	環境形成科学演習１B	澤 宗則	火4	1H675
9	2026	後期	国際人間科学部	環境形成科学演習２B	澤 宗則	火4	3H675
10	2026	前期	国際人間科学部	環境形成科学演習１C	原　将也	水4	1H680
11	2026	後期	国際人間科学部	環境形成科学演習２C	原　将也	水4	3H680
12	2026	前期	国際人間科学部	環境形成科学演習１A	湯浅　正洋	月5	1H672
13	2026	後期	国際人間科学部	環境形成科学演習２A	湯浅　正洋	月5	3H672
14	2026	前期	国際人間科学部	環境形成科学演習１A	福田 博也	月5	1H670
15	2026	後期	国際人間科学部	環境形成科学演習２A	福田 博也	月5	3H670
16	2026	前期	国際人間科学部	環境形成科学演習１C	橋本 直人	火5	1H688
17	2026	後期	国際人間科学部	環境形成科学演習２C	橋本 直人	水4	3H688
18	2026	前期	国際人間科学部	環境形成科学演習１A	井上 真理	月5	1H667
19	2026	後期	国際人間科学部	環境形成科学演習２A	井上 真理	月5	3H667
20	2026	前期	国際人間科学部	環境形成科学演習１A	内山　愉太	月5	1H673
21	2026	後期	国際人間科学部	環境形成科学演習２A	内山　愉太	月5	3H673
22	2026	前期	国際人間科学部	環境形成科学演習１A	村山　留美子	月5	1H669
23	2026	後期	国際人間科学部	環境形成科学演習２A	村山　留美子	月5	3H669
24	2026	前期	国際人間科学部	環境形成科学演習１A	横内　陳正	月5	1H683
25	2026	前期	国際人間科学部	環境形成科学演習１C	井口　克郎	水4	1H678
26	2026	後期	国際人間科学部	環境形成科学演習２C	井口　克郎	水4	3H678
27	2026	後期	国際人間科学部	環境形成科学演習２C	太田 和宏	水4	3H679
28	2026	前期	国際人間科学部	環境形成科学演習１C	太田 和宏	水4	1H679
29	2026	前期	国際人間科学部	環境形成科学演習１B	松山　沙織	火3	1H677
30	2026	後期	国際人間科学部	環境形成科学演習２B	松山　沙織	金2	3H677
31	2026	後期	国際人間科学部	環境形成科学演習２B	坂井　晃介	金6	3H676
32	2026	前期	国際人間科学部	環境形成科学演習１B	坂井　晃介	金6	1H676
