No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	国際人間科学部	環境基礎科学演習１	桑村 雅隆	火5	1H635
2	2026	後期	国際人間科学部	環境基礎科学演習２	桑村 雅隆	火5	3H635
3	2026	前期	国際人間科学部	環境基礎科学演習１	エスカラ　エマソン	火5	1H639
4	2026	前期	国際人間科学部	環境基礎科学演習１	蘆田　弘樹	月5	1H647
5	2026	後期	国際人間科学部	環境基礎科学演習２	蘆田　弘樹	月5	3H647
6	2026	後期	国際人間科学部	環境基礎科学演習２	エスカラ　エマソン	火5	3H639
7	2026	前期	国際人間科学部	環境基礎科学演習１	大串　健一	月5	1H641
8	2026	前期	国際人間科学部	環境基礎科学演習１	源 利文	月5	1H643
9	2026	後期	国際人間科学部	環境基礎科学演習２	源 利文	月5	3H643
10	2026	前期	国際人間科学部	環境基礎科学演習１	長坂 耕作	火5	1H637
11	2026	後期	国際人間科学部	環境基礎科学演習２	長坂 耕作	火5	3H637
12	2026	前期	国際人間科学部	環境基礎科学演習１	周　怡	火5	1H638
13	2026	後期	国際人間科学部	環境基礎科学演習２	周　怡	火5	3H638
14	2026	前期	国際人間科学部	環境基礎科学演習１	近江戸 伸子	月5	1H642
15	2026	後期	国際人間科学部	環境基礎科学演習２	近江戸 伸子	月5	3H642
16	2026	前期	国際人間科学部	環境基礎科学演習１	谷　篤史	月5	1H651
17	2026	後期	国際人間科学部	環境基礎科学演習２	谷　篤史	月5	3H651
18	2026	前期	国際人間科学部	環境基礎科学演習１	小谷野　由紀	月5	1H653
19	2026	後期	国際人間科学部	環境基礎科学演習２	小谷野　由紀	月5	3H653
20	2026	前期	国際人間科学部	環境基礎科学演習１	佐藤　春実	月5	1H645
21	2026	後期	国際人間科学部	環境基礎科学演習２	大串　健一	月5	3H641
22	2026	前期	国際人間科学部	環境基礎科学演習１	江原 靖人	月5	1H644
23	2026	後期	国際人間科学部	環境基礎科学演習２	江原 靖人	月5	3H644
24	2026	後期	国際人間科学部	環境基礎科学演習２	佐藤　春実	月5	3H645
25	2026	後期	国際人間科学部	環境基礎科学演習２	黒澤　耕介	月5	3H652
26	2026	後期	国際人間科学部	環境基礎科学演習２	佐賀　達矢	月5	3H654
27	2026	前期	国際人間科学部	環境基礎科学演習１	佐賀　達矢	月5	1H654
28	2026	前期	国際人間科学部	環境基礎科学演習１	阪本　雄二	火5	1H636
29	2026	後期	国際人間科学部	環境基礎科学演習２	阪本　雄二	火5	3H636
30	2026	前期	国際人間科学部	環境基礎科学演習１	丑丸 敦史	月5	1H640
31	2026	後期	国際人間科学部	環境基礎科学演習２	丑丸 敦史	月5	3H640
32	2026	前期	国際人間科学部	環境基礎科学演習１	黒澤　耕介	月5	1H652
33	2026	前期	国際人間科学部	環境基礎科学演習１	高見　泰興	月5	1H648
34	2026	後期	国際人間科学部	環境基礎科学演習２	高見　泰興	月5	3H648
