No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	教養教育院	論理学	三輪　秦之	月1	1U004
2	2026	第1クォーター	教養教育院	倫理学	田中　祐理子	月1	1U011
3	2026	第1クォーター	教養教育院	文学Ａ	濱田　麻矢	月1	1U013
4	2026	第1クォーター	教養教育院	文学Ｂ	昆野　伸幸	月1	1U014
5	2026	第1クォーター	教養教育院	言語科学Ａ	南　佑亮	月1	1U017
6	2026	第1クォーター	教養教育院	芸術と文化Ａ	岸本 吉弘	月1	1U018
7	2026	第1クォーター	教養教育院	芸術と文化Ｂ	寺内　直子	月1	1U021
8	2026	第1クォーター	教養教育院	日本史Ａ	仲田　侑加	月1	1U024
9	2026	第1クォーター	教養教育院	西洋史Ａ	小澤　卓也	月1	1U030
10	2026	第1クォーター	教養教育院	芸術史Ａ	上田　香	月1	1U034
11	2026	第1クォーター	教養教育院	科学史Ａ	塚原 東吾	月1	1U036
12	2026	第1クォーター	教養教育院	科学技術と倫理	丸山　栄治	月1	1U037
13	2026	第1クォーター	教養教育院	生物学Ｂ	横井　雅幸	月1	1U072
14	2026	第1クォーター	教養教育院	Academic English Communication A1	Cakebread Andrews Oliver Patrick	月1	1U151
15	2026	第1クォーター	教養教育院	Academic English Communication A1	韋　恩琦	月1	1U152
16	2026	第1クォーター	教養教育院	Academic English Communication A1	岩井 麻紀	月1	1U153
17	2026	第1クォーター	教養教育院	Academic English Communication A1	大槻　有佳子	月1	1U154
18	2026	第1クォーター	教養教育院	Academic English Communication A1	山中　司	月1	1U155
19	2026	第1クォーター	教養教育院	Academic English Communication A1	木原　恵美子	月1	1U157
20	2026	第1クォーター	教養教育院	Academic English Literacy A1	張　応謙	月1	1U221
21	2026	第1クォーター	教養教育院	Academic English Literacy A1	南本　徹	月1	1U222
22	2026	第1クォーター	教養教育院	Academic English Literacy A1	池田　直樹	月1	1U223
23	2026	第1クォーター	教養教育院	Academic English Literacy A1	Stephen Horn	月1	1U224
24	2026	第1クォーター	教養教育院	Academic English Literacy A1	武内 正美	月1	1U225
25	2026	第1クォーター	教養教育院	Academic English Literacy A1	団野 恵美子	月1	1U226
26	2026	第1クォーター	教養教育院	Academic English Literacy A1	島津 厚久	月1	1U227
27	2026	第1クォーター	教養教育院	Academic English Literacy A1	中村　麻美	月1	1U228
28	2026	前期	教養教育院	健康・スポーツ科学実習基礎	武村 政徳	月1	1U666
29	2026	前期	教養教育院	健康・スポーツ科学実習基礎	港野　恵美	月1	1U667
30	2026	前期	教養教育院	健康・スポーツ科学実習基礎	中野　大輝	月1	1U668
31	2026	第1クォーター	教養教育院	心と行動	林 敦子	月1,2	1U726
32	2026	第1クォーター	教養教育院	基礎無機化学１	木村 行宏	月1	1U821
33	2026	第1クォーター	教養教育院	基礎無機化学１	梶並　昭彦	月1	1U822
34	2026	第2クォーター	教養教育院	論理学	三輪　秦之	月1	2U004
35	2026	第2クォーター	教養教育院	倫理学	田中　祐理子	月1	2U010
36	2026	第2クォーター	教養教育院	文学Ａ	濱田　麻矢	月1	2U013
37	2026	第2クォーター	教養教育院	文学Ｂ	昆野　伸幸	月1	2U014
38	2026	第2クォーター	教養教育院	言語科学Ａ	南　佑亮	月1	2U017
39	2026	第2クォーター	教養教育院	芸術と文化Ａ	岸本 吉弘	月1	2U018
40	2026	第2クォーター	教養教育院	日本史Ｂ	仲田　侑加	月1	2U025
41	2026	第2クォーター	教養教育院	西洋史Ｂ	小澤　卓也	月1	2U031
42	2026	第2クォーター	教養教育院	芸術史Ａ	上田　香	月1	2U034
43	2026	第2クォーター	教養教育院	科学史Ｂ	塚原 東吾	月1	2U036
44	2026	第2クォーター	教養教育院	科学技術と倫理	丸山　栄治	月1	2U037
45	2026	第2クォーター	教養教育院	社会生活と法	藤井　真一	月1	2U058
46	2026	第2クォーター	教養教育院	Academic English Communication A2	Cakebread Andrews Oliver Patrick	月1	2U151
47	2026	第2クォーター	教養教育院	Academic English Communication A2	韋　恩琦	月1	2U152
48	2026	第2クォーター	教養教育院	Academic English Communication A2	岩井 麻紀	月1	2U153
49	2026	第2クォーター	教養教育院	Academic English Communication A2	大槻　有佳子	月1	2U154
50	2026	第2クォーター	教養教育院	Academic English Communication A2	山中　司	月1	2U155
51	2026	第2クォーター	教養教育院	Academic English Communication A2	木原　恵美子	月1	2U157
52	2026	第2クォーター	教養教育院	Academic English Literacy A2	張　応謙	月1	2U221
53	2026	第2クォーター	教養教育院	Academic English Literacy A2	南本　徹	月1	2U222
54	2026	第2クォーター	教養教育院	Academic English Literacy A2	池田　直樹	月1	2U223
55	2026	第2クォーター	教養教育院	Academic English Literacy A2	Stephen Horn	月1	2U224
56	2026	第2クォーター	教養教育院	Academic English Literacy A2	武内 正美	月1	2U225
57	2026	第2クォーター	教養教育院	Academic English Literacy A2	団野 恵美子	月1	2U226
58	2026	第2クォーター	教養教育院	Academic English Literacy A2	島津 厚久	月1	2U227
59	2026	第2クォーター	教養教育院	Academic English Literacy A2	中村　麻美	月1	2U228
60	2026	第2クォーター	教養教育院	基礎無機化学２	木村 行宏	月1	2U821
61	2026	第2クォーター	教養教育院	基礎無機化学２	梶並　昭彦	月1	2U822
62	2026	第3クォーター	教養教育院	論理学	佐々木 崇	月1	3U007
63	2026	第3クォーター	教養教育院	芸術と文化Ａ	峯　恭子	月1	3U020
64	2026	第3クォーター	教養教育院	法学Ａ	松山　沙織	月1	3U035
65	2026	第3クォーター	教養教育院	法学Ｂ	中田　達也	月1	3U037
66	2026	第3クォーター	教養教育院	政治学Ａ	赤星　聖	月1	3U038
67	2026	第3クォーター	教養教育院	政治学Ｂ	安岡 正晴	月1	3U039
68	2026	第3クォーター	教養教育院	経済学Ｂ	橋本　賢一	月1	3U041
69	2026	第3クォーター	教養教育院	社会学	大川内　晋	月1	3U043
70	2026	第3クォーター	教養教育院	地理学	菊地　真	月1	3U045
71	2026	第3クォーター	教養教育院	文化人類学	岡田 浩樹	月1	3U047
72	2026	第3クォーター	教養教育院	経済社会の発展	綿貫　友子	月1	3U061
73	2026	第3クォーター	教養教育院	生物資源と農業Ｃ	鈴木 武志	月1	3U092
74	2026	第3クォーター	教養教育院	Academic English Communication B1	岩井 麻紀	月1	3U151
75	2026	第3クォーター	教養教育院	Academic English Communication B1	大槻　有佳子	月1	3U152
76	2026	第3クォーター	教養教育院	Academic English Communication B1	多賀谷 真吾	月1	3U153
77	2026	第3クォーター	教養教育院	Academic English Communication B1	土田　千愛	月1	3U154
78	2026	第3クォーター	教養教育院	Academic English Communication B1	Stephen Horn	月1	3U155
79	2026	第3クォーター	教養教育院	Academic English Communication B1	木原　恵美子	月1	3U156
80	2026	第3クォーター	教養教育院	Academic English Communication B1	山中　司	月1	3U157
81	2026	第3クォーター	教養教育院	Academic English Literacy B1	中村　麻美	月1	3U221
82	2026	第3クォーター	教養教育院	Academic English Literacy B1	教員未定	月1	3U222
83	2026	第3クォーター	教養教育院	Academic English Literacy B1	鈴木　朋子	月1	3U223
84	2026	第3クォーター	教養教育院	Academic English Literacy B1	南本　徹	月1	3U224
85	2026	第3クォーター	教養教育院	Academic English Literacy B1	池澤　匠	月1	3U225
86	2026	第3クォーター	教養教育院	Academic English Literacy B1	池田　直樹	月1	3U226
87	2026	第3クォーター	教養教育院	Academic English Literacy B1	武内 正美	月1	3U227
88	2026	第3クォーター	教養教育院	Academic English Literacy B1	団野 恵美子	月1	3U228
89	2026	第3クォーター	教養教育院	Academic English Literacy B1（ACE）	Cakebread Andrews Oliver Patrick	月1	3U301
90	2026	第3クォーター	教養教育院	Academic English Literacy B1（ACE）	張　応謙	月1	3U302
91	2026	第3クォーター	教養教育院	Academic English Literacy B1（ACE）	Gabriel TOMA	月1	3U303
92	2026	第3クォーター	教養教育院	基礎物理化学１	木村 行宏	月1	3U821
93	2026	第3クォーター	教養教育院	基礎物理化学１	福味　幸平	月1	3U822
94	2026	第3クォーター	教養教育院	基礎有機化学１	今田　泰嗣	月1	3U824
95	2026	第3クォーター	教養教育院	情報科学１	大寺　亮	月1	3U862
96	2026	第3クォーター	教養教育院	情報科学１	清光 英成	月1	3U863
97	2026	第4クォーター	教養教育院	論理学	佐々木 崇	月1	4U007
98	2026	第4クォーター	教養教育院	芸術と文化Ａ	峯　恭子	月1	4U020
99	2026	第4クォーター	教養教育院	法学Ｂ	中田　達也	月1	4U035
100	2026	第4クォーター	教養教育院	政治学Ｂ	安岡 正晴	月1	4U037
101	2026	第4クォーター	教養教育院	社会学	大川内　晋	月1	4U041
102	2026	第4クォーター	教養教育院	地理学	菊地　真	月1	4U043
103	2026	第4クォーター	教養教育院	文化人類学	岡田 浩樹	月1	4U045
104	2026	第4クォーター	教養教育院	経済社会の発展	藤岡　秀英	月1	4U058
105	2026	第4クォーター	教養教育院	生物資源と農業Ｄ	鈴木 武志	月1	4U086
106	2026	第4クォーター	教養教育院	Academic English Communication B2	岩井 麻紀	月1	4U151
107	2026	第4クォーター	教養教育院	Academic English Communication B2	大槻　有佳子	月1	4U152
108	2026	第4クォーター	教養教育院	Academic English Communication B2	多賀谷 真吾	月1	4U153
109	2026	第4クォーター	教養教育院	Academic English Communication B2	土田　千愛	月1	4U154
110	2026	第4クォーター	教養教育院	Academic English Communication B2	Stephen Horn	月1	4U155
111	2026	第4クォーター	教養教育院	Academic English Communication B2	木原　恵美子	月1	4U156
112	2026	第4クォーター	教養教育院	Academic English Communication B2	山中　司	月1	4U157
113	2026	第4クォーター	教養教育院	Academic English Literacy B2	中村　麻美	月1	4U221
114	2026	第4クォーター	教養教育院	Academic English Literacy B2	教員未定	月1	4U222
115	2026	第4クォーター	教養教育院	Academic English Literacy B2	鈴木　朋子	月1	4U223
116	2026	第4クォーター	教養教育院	Academic English Literacy B2	南本　徹	月1	4U224
117	2026	第4クォーター	教養教育院	Academic English Literacy B2	池澤　匠	月1	4U225
118	2026	第4クォーター	教養教育院	Academic English Literacy B2	池田　直樹	月1	4U226
119	2026	第4クォーター	教養教育院	Academic English Literacy B2	武内 正美	月1	4U227
