No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	海洋政策科学部	情報科学-1(海洋応用科学領域)	堀口 知也	月1	1Z051
2	2026	第1クォーター	海洋政策科学部	材料加工学-1（海洋応用科学領域）	野村 昌孝	月1	1Z108
3	2026	第1クォーター	海洋政策科学部	材料加工学-1（機関学領域）	野村 昌孝	月1	1Z122
4	2026	前期	海洋政策科学部	海のBDL（石橋　純一郎）	石橋　純一郎	月1	1ZZ12
5	2026	第2クォーター	海洋政策科学部	情報科学-2(海洋応用科学領域)	沖本　天太	月1	2Z051
6	2026	第2クォーター	海洋政策科学部	材料加工学-2（海洋応用科学領域）	野村 昌孝	月1	2Z106
7	2026	第2クォーター	海洋政策科学部	材料加工学-2（機関学領域）	野村 昌孝	月1	2Z119
8	2026	第3クォーター	海洋政策科学部	無機材料科学-1	蔵岡 孝治	月1	3Z024
9	2026	第3クォーター	海洋政策科学部	防災政策論-1	杉村　佳寿	月1	3Z083
10	2026	第3クォーター	海洋政策科学部	海上交通法-3	猪野　杏樹	月1	3Z121
11	2026	第4クォーター	海洋政策科学部	無機材料科学-2	蔵岡 孝治	月1	4Z024
12	2026	第4クォーター	海洋政策科学部	防災政策論-2	竹林 幹雄	月1	4Z082
13	2026	第1クォーター	海洋政策科学部	国際法-1(海洋ガバナンス領域)	本田　悠介	月2	1Z044
14	2026	第1クォーター	海洋政策科学部	工業熱力学-1(T・2024以前入学生)	柴原　誠	月2	1Z050
15	2026	第1クォーター	海洋政策科学部	工業熱力学-1(機関学領域)	柴原　誠	月2	1Z052
16	2026	第1クォーター	海洋政策科学部	国際法-1(航海学領域)	本田　悠介	月2	1Z060
17	2026	第1クォーター	海洋政策科学部	環境計測解析科学1-1	堀田 弘樹	月2	1Z099
18	2026	第1クォーター	海洋政策科学部	電気機器-1（海洋応用科学領域）	永野　健太	月2	1Z109
19	2026	第1クォーター	海洋政策科学部	電気機器-1（機関学領域）	永野　健太	月2	1Z123
20	2026	第1クォーター	海洋政策科学部	海上交通法-1(航海学領域)	藤本 昌志	月2	1Z137
21	2026	第1クォーター	海洋政策科学部	工業熱力学-1(T・2025以降入学生)	柴原　誠	月2	1Z169
22	2026	第2クォーター	海洋政策科学部	国際法-2(海洋ガバナンス領域)	本田　悠介	月2	2Z044
23	2026	第2クォーター	海洋政策科学部	工業熱力学-2(T・2024以前入学生)	柴原　誠	月2	2Z050
24	2026	第2クォーター	海洋政策科学部	工業熱力学-2(機関学領域)	柴原　誠	月2	2Z052
25	2026	第2クォーター	海洋政策科学部	環境計測解析科学1-2	蔵岡 孝治	月2	2Z096
26	2026	第2クォーター	海洋政策科学部	電気機器-2（海洋応用科学領域）	永野　健太	月2	2Z107
27	2026	第2クォーター	海洋政策科学部	電気機器-2 （機関学領域）	永野　健太	月2	2Z120
28	2026	第2クォーター	海洋政策科学部	海上交通法-2 （航海学領域）	藤本 昌志	月2	2Z130
29	2026	第2クォーター	海洋政策科学部	工業熱力学-2(T・2025以降入学生)	柴原　誠	月2	2Z162
30	2026	第3クォーター	海洋政策科学部	経営学基礎論1-1(海洋ガバナンス領域)	平田　燕奈	月2	3Z037
31	2026	第3クォーター	海洋政策科学部	経営学基礎論1-1（抽選登録用）	平田　燕奈	月2	3Z067
32	2026	第3クォーター	海洋政策科学部	海洋エネルギー科学3-1	三島　智和	月2	3Z092
33	2026	第3クォーター	海洋政策科学部	海洋波理論-1	笹　健児	月2	3Z099
34	2026	第3クォーター	海洋政策科学部	海事法規-1（航海学領域）	猪野　杏樹	月2	3Z111
35	2026	第3クォーター	海洋政策科学部	海事法規-1 （機関学領域）	猪野　杏樹	月2	3Z117
36	2026	第4クォーター	海洋政策科学部	経営学基礎論1-2（海洋ガバナンス領域）	平田　燕奈	月2	4Z037
37	2026	第4クォーター	海洋政策科学部	経営学基礎論1-2（抽選登録用）	平田　燕奈	月2	4Z067
38	2026	第4クォーター	海洋政策科学部	海洋エネルギー科学3-2	三島　智和	月2	4Z090
39	2026	第4クォーター	海洋政策科学部	海洋波理論-2	笹　健児	月2	4Z096
40	2026	第1クォーター	海洋政策科学部	海のテクノロジー	柴原　誠	月3	1Z001
41	2026	第1クォーター	海洋政策科学部	海技実習-1	小西　宗	月3,4,5	1Z061
42	2026	第1クォーター	海洋政策科学部	海洋環境学1-1	岡村　秀雄	月3	1Z100
43	2026	第1クォーター	海洋政策科学部	機関室資源管理-1	三輪 誠	月3	1Z124
44	2026	第1クォーター	海洋政策科学部	運用学実習-1	小西　宗	月3,4,5	1Z138
45	2026	前期	海洋政策科学部	エネルギープラント管理演習-2	尾崎　高司	月3,4,5	1Z152
46	2026	第1クォーター	海洋政策科学部	運用学実習-3	小西　宗	月3,4,5	1Z154
47	2026	第2クォーター	海洋政策科学部	海技実習-2	小西　宗	月3,4,5	2Z061
48	2026	第2クォーター	海洋政策科学部	海洋環境学1-2	岡村　秀雄	月3	2Z097
49	2026	第2クォーター	海洋政策科学部	機関室資源管理-2	三輪 誠	月3	2Z121
50	2026	第2クォーター	海洋政策科学部	運用学実習-2	小西　宗	月3,4,5	2Z131
51	2026	第2クォーター	海洋政策科学部	運用学実習-4	小西　宗	月3,4,5	2Z145
52	2026	第3クォーター	海洋政策科学部	国際物流論-1	平田　燕奈	月3	3Z084
53	2026	第3クォーター	海洋政策科学部	データベース論-1	森　亮太	月3	3Z100
54	2026	第3クォーター	海洋政策科学部	航海学演習-4	小西　宗	月3,4,5	3Z122
55	2026	第3クォーター	海洋政策科学部	材料力学-1(T・2024以前入学生)	阿部 晃久	月3	3Z137
56	2026	第3クォーター	海洋政策科学部	材料力学-1(機関学領域)	阿部 晃久	月3	3Z138
57	2026	後期	海洋政策科学部	地学実験	BRADAK-HAYASHI BALAZS	月3,4,5	3Z146
58	2026	第3クォーター	海洋政策科学部	材料力学-1(T・2025以降入学生)	阿部 晃久	月3	3Z147
59	2026	第4クォーター	海洋政策科学部	総合海洋ガバナンス論	竹林 幹雄	月3,4	4Z052
60	2026	第4クォーター	海洋政策科学部	国際物流論-2	平田　燕奈	月3	4Z083
61	2026	第4クォーター	海洋政策科学部	データベース論-2	森　亮太	月3	4Z097
62	2026	第4クォーター	海洋政策科学部	材料力学-2(T・2024以前入学生)	阿部 晃久	月3	4Z141
63	2026	第4クォーター	海洋政策科学部	材料力学-2(T・2025以降入学生)	阿部 晃久	月3	4Z143
64	2026	第4クォーター	海洋政策科学部	材料力学-2(E・2025以降入学生)	阿部 晃久	月3	4Z144
65	2026	第1クォーター	海洋政策科学部	多変量解析1-1（海洋基礎科学領域）	貝野　友祐	月4	1Z101
66	2026	第1クォーター	海洋政策科学部	多変量解析1-1（海洋応用科学領域）	貝野　友祐	月4	1Z110
67	2026	第1クォーター	海洋政策科学部	エネルギープラント保全論-1	石田　達朗	月4	1Z125
68	2026	第2クォーター	海洋政策科学部	多変量解析1-2（海洋基礎科学領域）	貝野　友祐	月4	2Z098
69	2026	第2クォーター	海洋政策科学部	多変量解析1-2（海洋応用科学領域）	貝野　友祐	月4	2Z108
70	2026	第2クォーター	海洋政策科学部	エネルギープラント保全論-2	石田　達朗	月4	2Z122
71	2026	第3クォーター	海洋政策科学部	海洋底資源学2-1	大澤 輝夫	月4,5	3Z090
72	2026	第3クォーター	海洋政策科学部	流体シミュレーション工学-1	勝井　辰博	月4	3Z102
73	2026	第4クォーター	海洋政策科学部	海洋底資源学2-2	大澤 輝夫	月4,5	4Z088
74	2026	第4クォーター	海洋政策科学部	流体シミュレーション工学-2	勝井　辰博	月4	4Z129
