No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	経済学部　昼間主コース	財政学(副：財政学（編入生）、財政学（高度教養科目）)	宮崎 智視	月1	1E328
2	2026	前期	経済学部　昼間主コース	財政学（編入生）(主：財政学)	宮崎 智視	月1	1E329
3	2026	前期	経済学部　昼間主コース	財政学（高度教養科目）(主：財政学)	宮崎 智視	月1	1E330
4	2026	前期	経済学部　昼間主コース	食料経済論(副：食料経済論（編入生）)	衣笠　智子	月1	1E337
5	2026	前期	経済学部　昼間主コース	食料経済論（編入生）(主：食料経済論)	衣笠　智子	月1	1E338
6	2026	前期	経済学部　昼間主コース	上級計量経済学A(主：計量経済学A)	難波　明生	月1	1E401
7	2026	後期	経済学部　昼間主コース	中級ミクロ経済学(副：中級ミクロ経済学Ⅰ、中級ミクロ経済学Ⅱ)	阪本　浩章	月1,金2	3E301
8	2026	第3クォーター	経済学部　昼間主コース	中級ミクロ経済学Ⅰ(主：中級ミクロ経済学)	清水　崇	月1,金2	3E302
9	2026	後期	経済学部　昼間主コース	産業組織論(副：産業組織論（編入生）)	水野 倫理	月1	3E322
10	2026	後期	経済学部　昼間主コース	産業組織論（編入生）(主：産業組織論)	水野 倫理	月1	3E323
11	2026	後期	経済学部　昼間主コース	上級マクロ経済学I(主：マクロ経済学１)	柳本　和春	月1,木2	3E330
12	2026	第4クォーター	経済学部　昼間主コース	中級ミクロ経済学Ⅱ(主：中級ミクロ経済学)	阪本　浩章	月1,金2	4E300
13	2026	前期	経済学部　昼間主コース	中級マクロ経済学(副：中級マクロ経済学Ⅰ、中級マクロ経済学Ⅱ)	胡 云芳	月2,金2	1E300
14	2026	第1クォーター	経済学部　昼間主コース	中級マクロ経済学Ⅰ(主：中級マクロ経済学)	小林　照義	月2,金2	1E301
15	2026	前期	経済学部　昼間主コース	エッセンシャルマクロ経済学(副：エッセンシャルマクロ経済学（高度教養科目）)	三宅　敦史	月2	1E304
16	2026	前期	経済学部　昼間主コース	エッセンシャルマクロ経済学（高度教養科目）(主：エッセンシャルマクロ経済学)	三宅　敦史	月2	1E305
17	2026	前期	経済学部　昼間主コース	経済体制論(副：経済体制論（編入学）)	鈴木　純	月2	1E357
18	2026	前期	経済学部　昼間主コース	経済体制論（編入学）(主：経済体制論)	鈴木　純	月2	1E358
19	2026	前期	経済学部　昼間主コース	上級中国経済論(主：中国経済論)	梶谷 懐	月2	1E406
20	2026	前期	経済学部　昼間主コース	Advanced Macroeconomic AnalysisⅠ(主：Macroeconomic AnalysisⅠ)	ZIERHUT, Michael	月2	1E409
21	2026	第2クォーター	経済学部　昼間主コース	中級マクロ経済学Ⅱ(主：中級マクロ経済学)	胡 云芳	月2,金2	2E300
22	2026	後期	経済学部　昼間主コース	国際経済学	橋本　賢一	月2	3E312
23	2026	後期	経済学部　昼間主コース	近現代日本経済史(副：近現代日本経済史（編入生）)	橋野　知子	月2	3E333
24	2026	後期	経済学部　昼間主コース	近現代日本経済史（編入生）(主：近現代日本経済史)	橋野　知子	月2	3E334
25	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	芦谷　政浩	月3	1E100
26	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	衣笠　智子	月3	1E104
27	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	金京 拓司	月3	1E105
28	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	胡 云芳	月3	1E106
29	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	小林　照義	月3	1E107
30	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	阪本　浩章	月3	1E108
31	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	末石　直也	月3	1E111
32	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	鈴木　純	月3	1E112
33	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	畳谷　整克	月3	1E113
34	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	WIERZBOWSKA, AGATA	月3	1E117
35	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	難波　明生	月3	1E118
36	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	西山　慎一	月3	1E119
37	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	橋野　知子	月3	1E120
38	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	古田　学	月3	1E122
39	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	松林　洋一	月3	1E124
40	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	宮川 栄一	月3	1E126
41	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	勇上 和史	月3	1E130
