No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	国際人間科学部	保健体育科教育論Ｄ	高見 和至	月1,集中	1H219
2	2026	前期	国際人間科学部	音楽科教育論Ｃ	森松　慶子	月1	1H222
3	2026	前期	国際人間科学部	数学科教育論Ａ	坂井　武司	月1	1H229
4	2026	前期	国際人間科学部	データマネージメント	清光 英成	月1	1H383
5	2026	前期	国際人間科学部	初等算数科教育論	岡部　恭幸	月1	1H713
6	2026	前期	国際人間科学部	初等学校教育相談	岸田　広平	月1	1H721
7	2026	第1クォーター	国際人間科学部	音楽科教育論Ｃ１	森松　慶子	月1	1HC22
8	2026	第1クォーター	国際人間科学部	数学科教育論Ａ１	坂井　武司	月1	1HC29
9	2026	第1クォーター	国際人間科学部	データマネージメント１	清光 英成	月1	1HD83
10	2026	第1クォーター	国際人間科学部	初等算数科教育論１	岡部　恭幸	月1	1HH13
11	2026	第1クォーター	国際人間科学部	初等学校教育相談１	岸田　広平	月1	1HH21
12	2026	第2クォーター	国際人間科学部	障害児保育演習	赤木　和重	月1	2H764
13	2026	第2クォーター	国際人間科学部	音楽科教育論Ｃ２	森松　慶子	月1	2HC22
14	2026	第2クォーター	国際人間科学部	数学科教育論Ａ２	坂井　武司	月1	2HC29
15	2026	第2クォーター	国際人間科学部	データマネージメント２	清光 英成	月1	2HD83
16	2026	第2クォーター	国際人間科学部	初等算数科教育論２	岡部　恭幸	月1	2HH13
17	2026	第2クォーター	国際人間科学部	初等学校教育相談２	岸田　広平	月1	2HH21
18	2026	第2クォーター	国際人間科学部	障害児保育演習１	赤木　和重	月1	2HH64
19	2026	後期	国際人間科学部	比較文化論	深町　悟	月1	3H346
20	2026	後期	国際人間科学部	越境文学論	深町　悟	月1	3H347
21	2026	第3クォーター	国際人間科学部	心の発達と教育３（教育・学校心理学２）	岸田　広平	月1	3H520
22	2026	第3クォーター	国際人間科学部	環境資源植物科学	近江戸 伸子	月1,2	3H621
23	2026	後期	国際人間科学部	初等体育科教育論	村瀬　瑠美	月1,集中	3H713
24	2026	第3クォーター	国際人間科学部	比較文化論１	深町　悟	月1	3HD46
25	2026	第3クォーター	国際人間科学部	初等体育科教育論１	村瀬　瑠美	月1,集中	3HH13
26	2026	第4クォーター	国際人間科学部	環境物質科学Ｂ	佐藤　春実	月1,2	4H603
27	2026	第4クォーター	国際人間科学部	比較文化論２	深町　悟	月1	4HD46
28	2026	第4クォーター	国際人間科学部	初等体育科教育論２	村瀬　瑠美	月1,集中	4HH13
29	2026	第1クォーター	国際人間科学部	Cultures and Societies in Japan A	ランカシャー	月2	1H084
30	2026	前期	国際人間科学部	数学科教育論Ｃ	稲葉　太一	月2	1H230
31	2026	前期	国際人間科学部	東南アジア政治文化論	貞好 康志	月2	1H339
32	2026	前期	国際人間科学部	多文化政治社会論	佐藤　良輔	月2	1H356
33	2026	前期	国際人間科学部	地域文化論基礎演習Ⅱ	深川　宏樹	月2	1H387
34	2026	前期	国際人間科学部	地域文化論基礎演習Ⅱ	深町　悟	月2	1H388
