No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	農学部	高度教養セミナー農学部応用植物学入門	藤本 龍	月1	1A103
2	2026	第1クォーター	農学部	高度教養セミナー農学部応用植物学入門	藤本 龍	月1	1A107
3	2026	前期	農学部	灌漑排水工学	多田 明夫	月1	1A373
4	2026	第2クォーター	農学部	食料政策	石田　章	月1,2	2A413
5	2026	後期	農学部	基礎植物病理学	池田　健一	月1	3A827
6	2026	前期	農学部	応用水文学Ⅰ	多田 明夫	月2	1A308
7	2026	前期	農学部	食品開発学	本田 和久	月2	1A551
8	2026	前期	農学部	森林保護学	東　若菜	月2	1A649
9	2026	前期	農学部	微生物機能化学II	竹中 慎治	月2	1A740
10	2026	第1クォーター	農学部	応用生命化学初年次セミナー	福田 伊津子	月2	1A768
11	2026	第1クォーター	農学部	防疫微生物学	池田　健一	月2,水2	1A824
12	2026	第1クォーター	農学部	応用機能生物学初年次セミナー	杉浦 真治	月2	1A835
13	2026	第2クォーター	農学部	土壌と環境	鈴木 武志	月2,水2	2A820
14	2026	第3クォーター	農学部	高度教養セミナー農学部応用動物学入門	實安 隆興	月2	3A113
15	2026	第3クォーター	農学部	高度教養セミナー農学部応用動物学入門	實安 隆興	月2	3A116
16	2026	後期	農学部	応用水文学II	多田 明夫	月2	3A311
17	2026	後期	農学部	ゲノム解析学	石川 周	月2	3A700
18	2026	前期	農学部	水理学Ⅰ	多田 明夫	月3	1A375
19	2026	前期	農学部	生物生産情報工学	伊藤 博通	月3	1A385
20	2026	前期	農学部	外国書講読Ａ	實安 隆興	月3	1A511
21	2026	第1クォーター	農学部	花卉園芸学１	宇野 雄一	月3	1A608
22	2026	第1クォーター	農学部	森林生態学	石井 弘明	月3,4	1A629
23	2026	第1クォーター	農学部	有機機能分子化学１	久世 雅樹	月3	1A751
24	2026	前期	農学部	動物資源利用化学	上田　修司	月3	1A763
25	2026	第2クォーター	農学部	花卉園芸学２	宇野 雄一	月3	2A608
26	2026	第2クォーター	農学部	有機機能分子化学２	久世 雅樹	月3	2A751
27	2026	第3クォーター	農学部	植物資源学	笹山 大輔	月3	3A111
28	2026	第3クォーター	農学部	高度教養セミナー農学部応用生命化学入門	金丸 研吾	月3	3A114
29	2026	第3クォーター	農学部	高度教養セミナー農学部応用生命化学入門	金丸 研吾	月3	3A117
30	2026	後期	農学部	地域環境工学実験法及び実験II	鈴木　麻里子	月3,4	3A353
31	2026	後期	農学部	外国書講読Ｂ	實安 隆興	月3	3A511
32	2026	後期	農学部	細胞内シグナル伝達機構	中嶋 昭雄	月3	3A546
33	2026	第3クォーター	農学部	分析化学Ｂ	久世 雅樹	月3	3A746
34	2026	後期	農学部	植物栄養学	三宅　親弘	月3	3A815
35	2026	第4クォーター	農学部	食品プロセス工学	井原 一高	月3	4A369
36	2026	第1クォーター	農学部	高度教養セミナー農学部応用機能生物学入門	鈴木 武志	月4	1A104
37	2026	第1クォーター	農学部	高度教養セミナー農学部応用機能生物学入門	鈴木 武志	月4	1A106
38	2026	前期	農学部	材料力学	鈴木　麻里子	月4	1A325
39	2026	第1クォーター	農学部	食料経済学	八木　浩平	月4,火4	1A409
40	2026	前期	農学部	動物分子遺伝学	万年 英之	月4	1A533
41	2026	前期	農学部	園芸食品加工学	宇野 雄一	月4	1A650
42	2026	第1クォーター	農学部	分析化学Ａ	山内 靖雄	月4	1A745
43	2026	後期	農学部	ミクロ経済学	八木　浩平	月4	2A425
44	2026	第2クォーター	農学部	国際植物防疫演習	石井 弘明	月4	2A613
45	2026	後期	農学部	放射線科学(副：放射線科学)	山内 靖雄	月4	3A120
46	2026	後期	農学部	機械力学	伊藤 博通	月4	3A381
47	2026	第2クォーター	農学部	マクロ経済学	石田　章	月4,火4	3A400
48	2026	後期	農学部	環境物質科学	今石 浩正	月4	3A711
49	2026	後期	農学部	細胞生物学	中屋敷 均	月4	3A717
50	2026	前期	農学部	地域計画論	長野　宇規	火1	1A358
51	2026	前期	農学部	組織管理論	中塚　雅也	火1	1A417
52	2026	前期	農学部	基礎微生物学	松尾 栄子	火1	1A542
53	2026	第1クォーター	農学部	野菜園芸学１	宇野 雄一	火1	1A635
54	2026	前期	農学部	園芸植物繁殖学	安田 剛志	火1	1A651
55	2026	前期	農学部	食品栄養化学	榊原　啓之	火1	1A767
56	2026	第2クォーター	農学部	野菜園芸学２	宇野 雄一	火1	2A635
57	2026	第3クォーター	農学部	食料と環境を支える工学	長野　宇規	火1	3A110
58	2026	後期	農学部	農村環境論	長野　宇規	火1	3A379
59	2026	後期	農学部	果樹園芸学	安田 剛志	火1	3A461
60	2026	第3クォーター	農学部	基礎生殖生物学１	原山 洋	火1	3A512
61	2026	後期	農学部	食資源循環学	本田 和久	火1	3A554
62	2026	後期	農学部	生物機能開発化学	山下 陽子	火1	3A724
63	2026	第3クォーター	農学部	分子生物学	金丸 研吾	火1,4	3A741
64	2026	第3クォーター	農学部	環境遺伝子工学	乾 秀之	火1,木1	3A802
65	2026	第4クォーター	農学部	基礎生殖生物学２	原山 洋	火1	4A512
66	2026	第4クォーター	農学部	基礎遺伝学Ⅱ	松岡　由浩	火1,4	4A760
67	2026	前期	農学部	土質工学Ⅱ	澤田 豊	火2	1A362
68	2026	第1クォーター	農学部	基礎制御工学	森本　英嗣	火2	1A383
69	2026	第1クォーター	農学部	途上国経済論	石田　章	火2,3	1A421
70	2026	前期	農学部	基礎遺伝学I	松岡　由浩	火2	1A713
71	2026	前期	農学部	食品生化学	山下 陽子	火2	1A759
72	2026	第1クォーター	農学部	基礎昆虫学Ａ	杉浦 真治	火2	1A808
73	2026	前期	農学部	進化生態学	前藤　薫	火2	1A817
74	2026	第2クォーター	農学部	基礎昆虫学Ｂ	坂本 克彦	火2	2A808
75	2026	後期	農学部	実験統計学	伊藤 博通	火2	3A328
76	2026	後期	農学部	生産環境工学技術倫理	澤田 豊	火2	3A386
77	2026	第3クォーター	農学部	応用免疫学１	佐伯　圭一	火2	3A507
78	2026	第3クォーター	農学部	園芸栽培学１	宇野 雄一	火2	3A639
79	2026	後期	農学部	栄養化学	橋本 堂史	火2	3A757
80	2026	後期	農学部	昆虫の構造と機能	坂本 克彦	火2	3A828
81	2026	第4クォーター	農学部	食料環境経済学演習Ⅰ	髙田　晋史	火2	4A424
82	2026	第4クォーター	農学部	応用免疫学２	佐伯　圭一	火2	4A507
83	2026	第4クォーター	農学部	公園・緑地環境学演習	石井 弘明	火2	4A612
84	2026	第4クォーター	農学部	園芸栽培学２	小山　竜平	火2	4A639
85	2026	前期	農学部	バイオシステム工学実験法及び実験 II	井原 一高	火3,4	1A303
86	2026	前期	農学部	地域環境工学実験法及び実験I	澤田 豊	火3,4	1A353
87	2026	通年	農学部	応用動物学実験	實安 隆興	火3,4,水3,4,木3,4	1A505
88	2026	前期	農学部	応用植物学専門実験 I	藤本 龍	火3,4,水3,4,木3,4	1A606
89	2026	前期	農学部	応用生命化学実験II	金丸 研吾	火3,4,水3,4,木3,4	1A708
90	2026	前期	農学部	応用機能生物学実験Ⅱ	鈴木 武志	火3,4,水3,4,木3,4	1A830
91	2026	後期	農学部	高度教養セミナー農学部応用生命化学	橋本 堂史	火3	3A124
92	2026	後期	農学部	高度教養セミナー農学部応用生命化学	橋本 堂史	火3	3A125
93	2026	後期	農学部	バイオシステム工学実験法及び実験 I	森本　英嗣	火3,4	3A302
94	2026	後期	農学部	土地改良法	井上 一哉	火3,4,5	3A365
95	2026	後期	農学部	応用植物学基礎実験	安田 剛志	火3,4,水3,4,木3,4	3A605
96	2026	後期	農学部	応用植物学専門実験 II	藤本 龍	火3,4,水3,4,金5	3A606
97	2026	後期	農学部	応用生命化学実験I	久世 雅樹	火3,4,水3,4,木3,4	3A707
98	2026	後期	農学部	応用生命化学実験III	金丸 研吾	火3,4,水3,4,木3,4	3A709
99	2026	後期	農学部	応用機能生物学実験Ⅰ	杉浦 真治	火3,4,水3,4,木3,4	3A826
100	2026	第4クォーター	農学部	機械要素設計及び製図演習	宮原 啓造	火3,4	4A316
101	2026	第4クォーター	農学部	応用動物データサイエンス演習	大山 憲二	火3,4	4A503
102	2026	前期	農学部	作物・樹木病害診断演習	足助　聡一郎	火5	1A813
103	2026	前期	農学部	測量学Ⅱ	長野　宇規	水1	1A390
104	2026	前期	農学部	生物分子計測科学	森垣 憲一	水1	1A818
105	2026	第3クォーター	農学部	水利施設工学3	井上 一哉	水1	3A342
106	2026	後期	農学部	地域調査論	中塚　雅也	水1	3A418
107	2026	第1クォーター	農学部	生産環境工学基礎英語１	井原 一高	水2	1A345
108	2026	第1クォーター	農学部	生物プロセス工学	井原 一高	水2	1A348
109	2026	第1クォーター	農学部	病態・感染機構学１	佐伯　圭一	水2	1A530
110	2026	前期	農学部	植物育種方法論	石川 亮	水2	1A648
111	2026	前期	農学部	応用生命化学基礎英語	久世 雅樹	水2	1A756
112	2026	前期	農学部	栄養機能化学	橋本 堂史	水2	1A764
113	2026	第1クォーター	農学部	バイオサイエンス基礎英語１	坂本 克彦	水2	1A801
114	2026	第2クォーター	農学部	生物科学英語リスニング演習	坂本 克彦	水2	2A107
115	2026	第2クォーター	農学部	生産環境工学基礎英語２	井原 一高	水2	2A345
116	2026	第2クォーター	農学部	農村発展論	中塚　雅也	水2,3	2A427
117	2026	第2クォーター	農学部	病態・感染機構学２	佐伯　圭一	水2	2A530
118	2026	第2クォーター	農学部	バイオサイエンス基礎英語２	坂本 克彦	水2	2A801
119	2026	後期	農学部	数値解析	井原 一高	水2	3A332
120	2026	後期	農学部	生殖生化学	李 智博	水2	3A545
121	2026	後期	農学部	動物形態機能学	横山 俊史	水2	3A555
122	2026	後期	農学部	植物機能化学	山内 靖雄	水2	3A720
123	2026	前期	農学部	農業計算学	中塚　雅也	水3	1A422
124	2026	前期	農学部	有機化学Ⅰ	久世 雅樹	水3	1A750
125	2026	後期	農学部	バイオシステム工学実験法及び実験 III	吉田　弦	水3,4	3A304
126	2026	後期	農学部	水理学Ⅱ	多田 明夫	水3	3A376
127	2026	後期	農学部	基礎植物栄養学	三宅　親弘	水3	3A714
128	2026	前期	農学部	食料生産管理学	中塚　雅也	水4	1A414
129	2026	後期	農学部	構造力学	井上 一哉	水4	3A377
130	2026	第3クォーター	農学部	環境遺伝子工学	乾 秀之	火1,木1	3A802
131	2026	前期	農学部	応用数学(副：応用数学I)	井上 一哉	木1	1A312
132	2026	前期	農学部	栄養生化学	實安 隆興	木1	1A536
133	2026	前期	農学部	食用作物学	深山 浩	木1	1A636
134	2026	前期	農学部	分子園芸植物繁殖学	藤本 龍	木1	1A652
135	2026	第1クォーター	農学部	バイオサイエンス研究法	金丸 研吾	木1,2	1A702
136	2026	前期	農学部	分子生命農学入門	上田　修司	木1	1A743
137	2026	第1クォーター	農学部	基礎土壌学	藤嶽 暢英	木1,2	1A810
138	2026	前期	農学部	応用数学I(主：応用数学)	井上 一哉	木1	1A901
139	2026	第2クォーター	農学部	生物物理化学	木村 行宏	木1,2	2A725
140	2026	後期	農学部	土質工学Ⅰ	澤田 豊	木1	3A360
141	2026	第3クォーター	農学部	基礎流体工学	庄司 浩一	木1	3A372
142	2026	第3クォーター	農学部	基礎発生工学	李 智博	木1	3A513
143	2026	第3クォーター	農学部	植物成長生理学１	東 哲司	木1	3A625
144	2026	第3クォーター	農学部	動物資源学１	白井 康仁	木1	3A733
145	2026	後期	農学部	有機化学Ⅱ	久世 雅樹	木1	3A750
146	2026	第4クォーター	農学部	食料産業論	髙田　晋史	木1,2	4A410
147	2026	第4クォーター	農学部	植物成長生理学２	深山 浩	木1	4A625
148	2026	第4クォーター	農学部	動物資源学２	白井 康仁	木1	4A733
149	2026	第4クォーター	農学部	土壌生化学	藤嶽 暢英	木1,2	4A822
150	2026	第1クォーター	農学部	プログラミング１	吉田　弦	木2	1A378
151	2026	第1クォーター	農学部	動物受精学	原山 洋	木2	1A526
152	2026	前期	農学部	量的遺伝学	大山 憲二	木2	1A549
153	2026	第1クォーター	農学部	熱帯有用植物学１	東 哲司	木2	1A631
154	2026	前期	農学部	作物進化学	吉田 康子	木2	1A637
155	2026	第2クォーター	農学部	プログラミング２	園田　悠介	木2	2A378
156	2026	第2クォーター	農学部	応用動物繁殖学	原山 洋	木2	2A506
157	2026	第2クォーター	農学部	熱帯有用植物学２	深山 浩	木2	2A631
158	2026	後期	農学部	測量学Ⅰ	長野　宇規	木2	3A340
159	2026	後期	農学部	熱力学及び伝熱工学	井原 一高	木2	3A367
160	2026	後期	農学部	家畜ゲノム学	笹崎 晋史	木2	3A534
161	2026	後期	農学部	植物育種学	石井 尊生	木2	3A638
162	2026	後期	農学部	植物天然物化学	水谷　正治	木2	3A755
163	2026	後期	農学部	有機反応化学	久世 雅樹	木2	3A762
164	2026	第1クォーター	農学部	水利施設工学1	井上 一哉	木3	1A342
165	2026	前期	農学部	農業機械学	庄司 浩一	木3	1A389
166	2026	前期	農学部	食料環境経済学演習Ⅱ	中塚　雅也	木3	1A433
167	2026	第2クォーター	農学部	水利施設工学2	井上 一哉	木3	2A342
168	2026	第3クォーター	農学部	バイオシステム工学特別講義Ｂ	森本　英嗣	木3,4	3A306
169	2026	後期	農学部	測量学実習	長野　宇規	木3,4	3A341
