No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	医学部保健学科理学療法学専攻	地域理学療法学	小野 くみ子	集中	1M058
2	2026	前期	医学部保健学科理学療法学専攻	臨床実習IV	小野 くみ子	集中	1M062
3	2026	前期	医学部保健学科理学療法学専攻	臨床実習Ⅴ	前重 伯壮	集中	1M063
4	2026	前期	医学部保健学科理学療法学専攻	理学療法研究法演習	藤野 英己	集中	1M065
5	2026	通年	医学部保健学科理学療法学専攻	理学療法地域医療実習	小野 くみ子	集中	1M123
6	2026	前期	医学部保健学科理学療法学専攻	臨床実習I	藤野 英己	集中	1M159
7	2026	前期	医学部保健学科理学療法学専攻	理学療法総合評価学	藤野 英己	集中	1M204
8	2026	前期	医学部保健学科理学療法学専攻	初期体験実習(主：初期体験実習)	田中　貴士	集中	1M303
9	2026	前期	医学部保健学科理学療法学専攻	保健医療英語(主：保健医療英語)	亀岡 正典	集中	1M328
10	2026	通年	医学部保健学科理学療法学専攻	グローバルヘルスフィールド演習(主：グローバルヘルスフィールド演習)	井澤 和大	集中	1M331
11	2026	通年	医学部保健学科理学療法学専攻	卒業研究	藤野 英己	集中	1M333
12	2026	後期	医学部保健学科理学療法学専攻	ＩＰＷ統合演習(主：ＩＰＷ統合演習)	小野 くみ子	集中	3M067
13	2026	後期	医学部保健学科理学療法学専攻	理学療法研究法	藤野 英己	集中	3M145
14	2026	後期	医学部保健学科理学療法学専攻	臨床実習II	森山 英樹	集中	3M146
15	2026	後期	医学部保健学科理学療法学専攻	臨床実習III	井澤 和大	集中	3M147
16	2026	後期	医学部保健学科理学療法学専攻	理学療法管理学	小野 くみ子	集中	3M149
17	2026	後期	医学部保健学科理学療法学専攻	生活環境学	前重 伯壮	集中	3M201
18	2026	後期	医学部保健学科理学療法学専攻	臨床解剖学実習	田中　貴士	集中	3M206
19	2026	前期	医学部保健学科理学療法学専攻	病理学Ⅰ(主：病理学)	狛　雄一朗	火1	1M011
20	2026	前期	医学部保健学科理学療法学専攻	リハビリテーション工学・福祉用具学(副：保健福祉工学、リハビリテーション工学・福祉用具学、保健福祉工学)	野田 和惠	火1	1M054
21	2026	前期	医学部保健学科理学療法学専攻	保健福祉工学(主：リハビリテーション工学・福祉用具学)	野田 和惠	火1	1M128
22	2026	後期	医学部保健学科理学療法学専攻	病理学II(主：病理学Ⅱ)	狛　雄一朗	火1	3M009
23	2026	前期	医学部保健学科理学療法学専攻	保健行政論(主：保健行政論)	中澤 港	火2	1M015
24	2026	前期	医学部保健学科理学療法学専攻	運動学(副：運動学)	藤野 英己	火2	1M052
