No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第3クォーター	理学部数学科	解析学特論２	高岡 秀夫	月1,2	3S121
2	2026	後期	理学部数学科	確率論	村山　拓也	月2	3S119
3	2026	前期	理学部数学科	代数学１・同演習	吉岡 康太	月3,4	1S102
4	2026	後期	理学部数学科	代数学２	佐野　太郎	月3	3S104
5	2026	前期	理学部数学科	計算数学２	首藤 信通	火1	1S119
6	2026	後期	理学部数学科	計算数学１・同演習	岩政　勇仁	火1,2	3S115
7	2026	前期	理学部数学科	解析学６	高岡 秀夫	火2	1S116
8	2026	前期	理学部数学科	特別講義　保険数理	中川　大輔	火2	1S159
9	2026	前期	理学部数学科	幾何学２・同演習	佐治 健太郎	火3,4	1S108
10	2026	後期	理学部数学科	代数学４	森本　和輝	火3	3S122
11	2026	後期	理学部数学科	幾何学４	佐治 健太郎	火4	3S118
12	2026	前期	理学部数学科	解析学５・同演習	福山 克司	水1,2	1S115
13	2026	第2クォーター	理学部数学科	解析学特論１	太田 泰広	水1,2	2S106
14	2026	後期	理学部数学科	幾何学３	和田　康載	水2	3S117
15	2026	前期	理学部数学科	解析学３・同演習	檜垣　充朗	水3,4	1S113
16	2026	前期	理学部数学科	解析学８	伊藤 健一	水3	1S120
17	2026	後期	理学部数学科	解析学７・同演習	伊藤 健一	水3,4	3S116
18	2026	前期	理学部数学科	確率論入門	村山　拓也	木1	1S103
19	2026	後期	理学部数学科	解析学４・同演習	高岡 秀夫	木1,2	3S112
20	2026	前期	理学部数学科	線形代数５	森本　和輝	木2	1S112
21	2026	前期	理学部数学科	代数学３・同演習	谷口 隆	木3,4	1S118
22	2026	後期	理学部数学科	数学演義	ラスマン ウェイン	木3	3S109
23	2026	前期	理学部数学科	数学通論	谷口 隆	金1	1S101
24	2026	前期	理学部数学科	数学要論２・同演習	福山 克司	金1,2	1S105
25	2026	後期	理学部数学科	数学要論１	佐藤 進	金1	3S110
26	2026	後期	理学部数学科	幾何学１・同演習	和田　康載	金1,2	3S113
27	2026	前期	理学部数学科	解析学１	佐野　太郎	金2	1S104
28	2026	後期	理学部数学科	解析学２	高岡 秀夫	金2	3S101
29	2026	通年	理学部数学科	数学講究	谷口 隆	集中	1S123
30	2026	前期	理学部数学科	特別講義　整数論A	関　真一朗	集中	1S160
