No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	医学部保健学科作業療法学専攻	整形外科学(主：整形外科学)	秋末 敏宏	月1	1M080
2	2026	前期	医学部保健学科作業療法学専攻	発達障害作業療法学実習I	石岡　俊之	月1,5	1M118
3	2026	後期	医学部保健学科作業療法学専攻	国際保健(主：国際保健)	中澤 港	月1	3M004
4	2026	後期	医学部保健学科作業療法学専攻	スポーツ医学(主：スポーツ医学)	三浦 靖史	月1,2	3M082
5	2026	後期	医学部保健学科作業療法学専攻	国際保健(主：国際保健)	中澤 港	月1	3M323
6	2026	前期	医学部保健学科作業療法学専攻	作業療法原書講読	古和　久朋	月2	1M183
7	2026	前期	医学部保健学科作業療法学専攻	統計学(主：統計学)	駒井　浩一郎	月2	1M300
8	2026	後期	医学部保健学科作業療法学専攻	職業・社会リハビリテーション	四本 かやの	月2	3M033
9	2026	後期	医学部保健学科作業療法学専攻	臨床運動学(主：臨床運動学)	小野 くみ子	月2	3M188
10	2026	後期	医学部保健学科作業療法学専攻	総合画像診断学	安田 尚史	月2	3M327
11	2026	前期	医学部保健学科作業療法学専攻	基礎作業学実習II(副：作業学実習Ⅱ)	長尾 徹	月3,4	1M074
12	2026	前期	医学部保健学科作業療法学専攻	作業学実習Ⅱ(主：基礎作業学実習II)	長尾 徹	月3,4	1M099
13	2026	前期	医学部保健学科作業療法学専攻	生理学実習II(主：生理学実習II)	橘　吉寿	月3,4,5	1M108
14	2026	後期	医学部保健学科作業療法学専攻	身体障害作業療法学実習Ⅱ	石岡　俊之	月3,4	3M049
15	2026	後期	医学部保健学科作業療法学専攻	解剖学実習III(主：解剖学実習III)	田中　貴士	月3,4,5	3M095
16	2026	前期	医学部保健学科作業療法学専攻	病理学Ⅰ(主：病理学)	狛　雄一朗	火1	1M012
17	2026	前期	医学部保健学科作業療法学専攻	リハビリテーション工学・福祉用具学(主：リハビリテーション工学・福祉用具学)	野田 和惠	火1	1M055
18	2026	前期	医学部保健学科作業療法学専攻	保健福祉工学(主：リハビリテーション工学・福祉用具学)	野田 和惠	火1	1M129
19	2026	後期	医学部保健学科作業療法学専攻	病理学II(主：病理学Ⅱ)	狛　雄一朗	火1	3M010
20	2026	後期	医学部保健学科作業療法学専攻	在宅援助論	野田 和惠	火1	3M076
21	2026	前期	医学部保健学科作業療法学専攻	保健行政論(主：保健行政論)	中澤 港	火2	1M016
22	2026	前期	医学部保健学科作業療法学専攻	運動学(主：運動学)	藤野 英己	火2	1M053
23	2026	後期	医学部保健学科作業療法学専攻	精神障害作業療法評価学	四本 かやの	火2	3M106
24	2026	後期	医学部保健学科作業療法学専攻	身体障害作業療法学実習Ⅲ	石岡　俊之	火2	3M324
25	2026	前期	医学部保健学科作業療法学専攻	精神保健作業療法学I実習	四本 かやの	火3,4,5,金3,4	1M047
26	2026	前期	医学部保健学科作業療法学専攻	身体障害作業療法評価学実習	長尾 徹	火3,4,5,金3,4	1M070
27	2026	前期	医学部保健学科作業療法学専攻	現代医療と生命倫理(主：現代医療と生命倫理)	柱本 照	火3	1M308
28	2026	前期	医学部保健学科作業療法学専攻	解剖学実習Ⅱ(主：解剖学実習Ⅱ)	田中　貴士	火3,4,金2	1M339
29	2026	後期	医学部保健学科作業療法学専攻	生活技術論実習	野田 和惠	火3,4	3M016
30	2026	後期	医学部保健学科作業療法学専攻	精神医学II	毛利　健太朗	火3	3M039
31	2026	後期	医学部保健学科作業療法学専攻	身体障害作業療法学	石岡　俊之	火4	3M107
32	2026	前期	医学部保健学科作業療法学専攻	精神医学I(主：精神医学I)	毛利　健太朗	水1	1M061
33	2026	前期	医学部保健学科作業療法学専攻	外科学概論(主：外科学概論)	山下　公大	水1	1M082
34	2026	後期	医学部保健学科作業療法学専攻	内部障害学(主：臨床医学総論II)	伊藤　光宏	水1	3M015
35	2026	前期	医学部保健学科作業療法学専攻	臨床心理学	林 敦子	水2	1M022
36	2026	前期	医学部保健学科作業療法学専攻	作業療法管理学Ⅰ	長尾 徹	水2	1M135
37	2026	前期	医学部保健学科作業療法学専攻	老年期障害学(主：老年期障害学)	安田 尚史	水2	1M147
38	2026	後期	医学部保健学科作業療法学専攻	精神障害リハビリテーション論	毛利　健太朗	水2	3M027
39	2026	後期	医学部保健学科作業療法学専攻	作業療法管理学Ⅱ	石岡　俊之	水2	3M034
40	2026	後期	医学部保健学科作業療法学専攻	画像診断解析学(主：画像診断解析学)	安田 尚史	水2	3M048
41	2026	前期	医学部保健学科作業療法学専攻	災害保健(主：災害保健)	和泉　比佐子	水3,4	1M038
42	2026	前期	医学部保健学科作業療法学専攻	臨床神経学I(主：臨床神経学I)	古和　久朋	水3	1M103
43	2026	前期	医学部保健学科作業療法学専攻	保健医療福祉論(主：保健医療福祉論)	野田 和惠	水5	1M134
44	2026	前期	医学部保健学科作業療法学専攻	発達障害作業療法学(副：発達障害作業療法学)	石岡　俊之	木1	1M095
45	2026	前期	医学部保健学科作業療法学専攻	発達障害作業療法学(主：発達障害作業療法学)	石岡　俊之	木1	1M096
46	2026	後期	医学部保健学科作業療法学専攻	発達障害作業療法学実習Ⅱ(副：発達障害作業療法学実習)	石岡　俊之	木1,2	3M006
47	2026	後期	医学部保健学科作業療法学専攻	発達障害作業療法学実習(主：発達障害作業療法学実習Ⅱ)	石岡　俊之	木1,2	3M325
48	2026	前期	医学部保健学科作業療法学専攻	精神保健作業療法学II(副：精神保健作業療法学II)	四本 かやの	木2	1M028
49	2026	前期	医学部保健学科作業療法学専攻	精神保健作業療法学II(主：精神保健作業療法学II)	四本 かやの	木2	1M033
50	2026	後期	医学部保健学科作業療法学専攻	身体障害作業療法評価学	長尾 徹	木2	3M104
51	2026	前期	医学部保健学科作業療法学専攻	作業療法研究法	林 敦子	木3	1M182
52	2026	前期	医学部保健学科作業療法学専攻	身体障害作業療法学実習Ⅰ	石岡　俊之	木3,4,5	1M187
53	2026	前期	医学部保健学科作業療法学専攻	精神保健作業療法学I	四本 かやの	木3	1M343
54	2026	後期	医学部保健学科作業療法学専攻	精神保健作業療法学II実習	四本 かやの	木3,4	3M087
55	2026	前期	医学部保健学科作業療法学専攻	健康と栄養(主：健康と栄養)	三好 真琴	木4	1M125
56	2026	前期	医学部保健学科作業療法学専攻	生活技術論	野田 和惠	金1	1M184
57	2026	前期	医学部保健学科作業療法学専攻	生理学基礎(主：生理学基礎)	橘　吉寿	金1	1M334
58	2026	前期	医学部保健学科作業療法学専攻	薬と生体反応(主：薬と生体反応)	靱　千恵	金1	1M341
59	2026	後期	医学部保健学科作業療法学専攻	ﾘﾊﾋﾞﾘﾃｰｼｮﾝ工学・福祉用具学実習(副：保健福祉工学実習)	野田 和惠	金1,2	3M022
60	2026	後期	医学部保健学科作業療法学専攻	解剖学II(主：解剖学II)	田中　貴士	金1	3M304
61	2026	後期	医学部保健学科作業療法学専攻	保健福祉工学実習(主：ﾘﾊﾋﾞﾘﾃｰｼｮﾝ工学・福祉用具学実習)	野田 和惠	金1,2	3M326
62	2026	前期	医学部保健学科作業療法学専攻	臨床神経学III(副：臨床神経学III)	古和　久朋	金2	1M104
63	2026	前期	医学部保健学科作業療法学専攻	臨床神経学III(主：臨床神経学III)	古和　久朋	金2	1M112
64	2026	前期	医学部保健学科作業療法学専攻	作業療法概論	野田 和惠	金2	1M314
65	2026	後期	医学部保健学科作業療法学専攻	臨床神経学II(主：臨床神経学II)	古和　久朋	金2	3M025
66	2026	後期	医学部保健学科作業療法学専攻	生理学II(主：生理学II)	橘　吉寿	金2	3M307
67	2026	前期	医学部保健学科作業療法学専攻	基礎作業学	長尾 徹	金3	1M027
68	2026	前期	医学部保健学科作業療法学専攻	作業学	長尾 徹	金3	1M120
69	2026	前期	医学部保健学科作業療法学専攻	保健学概論(主：保健学概論)	野田 和惠	金3	1M185
70	2026	後期	医学部保健学科作業療法学専攻	老年期障害作業療法学	野田 和惠	金3	3M060
71	2026	後期	医学部保健学科作業療法学専攻	動作解析学実習(主：動作解析学実習)	森山 英樹	金3,4	3M197
72	2026	後期	医学部保健学科作業療法学専攻	作業療法統合実習	長尾 徹	金3,4,5	3M250
73	2026	後期	医学部保健学科作業療法学専攻	解剖学III(主：解剖学III)	田中　貴士	金3	3M314
74	2026	前期	医学部保健学科作業療法学専攻	運動学実習(主：運動学実習)	井澤 和大	金4,5	1M142
75	2026	前期	医学部保健学科作業療法学専攻	ＩＰＷ概論(主：ＩＰＷ概論)	三浦 靖史	金4	1M318
76	2026	後期	医学部保健学科作業療法学専攻	人間発達学(主：人間発達学)	林 敦子	金4	3M311
77	2026	前期	医学部保健学科作業療法学専攻	リハビリテーション概論(主：リハビリテーション概論)	三浦 靖史	金5	1M324
78	2026	後期	医学部保健学科作業療法学専攻	小児疾病論(主：小児疾病論)	西村　範行	金5	3M031
79	2026	後期	医学部保健学科作業療法学専攻	作業療法理論	長尾 徹	金5	3M315
80	2026	後期	医学部保健学科作業療法学専攻	作業療法基礎	四本 かやの	金5	3M316
81	2026	通年	医学部保健学科作業療法学専攻	臨床実習Ⅳ	四本 かやの	集中	1M101
82	2026	通年	医学部保健学科作業療法学専攻	臨床実習Ⅴ	石岡　俊之	集中	1M110
83	2026	前期	医学部保健学科作業療法学専攻	臨床実習I	野田 和惠	集中	1M164
84	2026	前期	医学部保健学科作業療法学専攻	作業療法フィールド実習	野田 和惠	集中	1M180
85	2026	前期	医学部保健学科作業療法学専攻	初期体験実習(主：初期体験実習)	林 敦子	集中	1M304
86	2026	前期	医学部保健学科作業療法学専攻	保健医療英語(主：保健医療英語)	亀岡 正典	集中	1M329
87	2026	通年	医学部保健学科作業療法学専攻	グローバルヘルスフィールド演習(主：グローバルヘルスフィールド演習)	野田 和惠	集中	1M337
88	2026	後期	医学部保健学科作業療法学専攻	臨床実習II	四本 かやの	集中	3M058
89	2026	後期	医学部保健学科作業療法学専攻	臨床実習III	長尾 徹	集中	3M059
90	2026	後期	医学部保健学科作業療法学専攻	ＩＰＷ統合演習(主：ＩＰＷ統合演習)	古和　久朋	集中	3M075
