No.    年度    開講区分    所属    科目名    成績入力担当    曜日・時限    時間割コード
1    2026    第1クォーター    教養教育院    社会と人権Ａ    武　寛子    集中    1U090
2    2026    第1クォーター    教養教育院    神戸大学研究最前線    鶴田 宏樹    集中    1U103
3    2026    第1クォーター    教養教育院    Academic English Communication A1【遠隔クラス】    ショルト グレゴリー ポール    集中    1U214
4    2026    第1クォーター    教養教育院    Academic English Communication A1【遠隔クラス】    佐藤　健    集中    1U215
5    2026    第1クォーター    教養教育院    Academic English Communication B1【遠隔クラス】    石川 慎一郎    集中    1U216
6    2026    第1クォーター    教養教育院    Academic English Literacy A1【遠隔クラス】    横川 博一    集中    1U284
7    2026    第1クォーター    教養教育院    Academic English Literacy A1【遠隔クラス】    鈴木　朋子    集中    1U285
8    2026    第1クォーター    教養教育院    Academic English Literacy B1【遠隔クラス】    石川 慎一郎    集中    1U286
9    2026    前期    教養教育院    健康・スポーツ科学実習基礎    高田 義弘    集中    1U696
10    2026    第1クォーター    教養教育院    教養とは何か    佐藤　健    集中    1U7U1
11    2026    第1クォーター    教養教育院    多言語と多文化の世界    佐藤　健    集中    1U7U2
12    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：ラオス日本センター/インターンシップ/前期/ラオス）    西川　太郎    集中    1UG01
13    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：インターンシップ/前期/モンゴル）    西川　太郎    集中    1UG03
14    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：K-Pop & K-Drama/サマースクール/前期/韓国 ）    余　玟欣    集中    1UG04
15    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：エコロジー/文化歴史研修/前期/オーストラリア）    余　玟欣    集中    1UG05
16    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：カナダ/トロントの多文化社会研究:トロント大学コース/フィールドワーク/前期/カナダ）    田中 順子    集中    1UG07
17    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：イタリア言語文化/言語研修/前期/イタリア ）    林 良子    集中    1UG08
18    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：キルギス　スタディーツアー：国際協力の現場を訪ねる/フィールドワーク型/前期/キルギス ）    武田　和代    集中    1UG09
19    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：Nanyang/Sciコース/言語研修/前期/シンガポール）    富永 圭介    集中    1UG12
20    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：IITボンベイ/Sciコース/サマースクール/前期/インド）    富永 圭介    集中    1UG13
21    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：フランス言語文化プログラム、言語研修型、前期、フランス）    Christophe Garrabet    集中    1UG15
22    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：ドイツ言語文化プログラム/言語研修/前期/ドイツ）    芹澤　円    集中    1UG17
23    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：ワシントン大学研修/言語研修/前期/アメリカ）    木原　恵美子    集中    1UG18
24    2026    前期    教養教育院    グローバルチャレンジ実習（神戸GCP：オタワ大学英語体験プログラム・サマースクール型・前期・カナダ）    余　玟欣    集中    1UG19
25    2026    第2クォーター    教養教育院    外国語セミナーＥ（フランス語）(主：外国語セミナーＥ（フランス語）)    廣田　大地    集中    2G542
26    2026    第2クォーター    教養教育院    数学Ｃ    岡部　恭幸    集中    2U078
27    2026    第2クォーター    教養教育院    社会と人権Ｂ    武　寛子    集中    2U091
28    2026    第2クォーター    教養教育院    海への誘い    廣野 康平    集中    2U097
29    2026    第2クォーター    教養教育院    瀬戸内海学入門    奥田　昇    集中    2U098
30    2026    第2クォーター    教養教育院    社会基礎学    鶴田 宏樹    集中    2U111
31    2026    第2クォーター    教養教育院    価値創造論Ｃ    鶴田 宏樹    集中    2U114
32    2026    第2クォーター    教養教育院    Academic English Communication A2【遠隔クラス】    ショルト グレゴリー ポール    集中    2U214
33    2026    第2クォーター    教養教育院    Academic English Communication A2【遠隔クラス】    佐藤　健    集中    2U215
34    2026    第2クォーター    教養教育院    Academic English Communication B2【遠隔クラス】    石川 慎一郎    集中    2U216
35    2026    第2クォーター    教養教育院    Academic English Literacy A2【遠隔クラス】    横川 博一    集中    2U284
36    2026    第2クォーター    教養教育院    Academic English Literacy A2【遠隔クラス】    鈴木　朋子    集中    2U285
37    2026    第2クォーター    教養教育院    Academic English Literacy B2【遠隔クラス】    石川 慎一郎    集中    2U286
38    2026    第2クォーター    教養教育院    外国語セミナーＥ（フランス語）(副：外国語セミナーＥ（フランス語）)    廣田　大地    集中    2U542
39    2026    第2クォーター    教養教育院    健康・スポーツ科学実習１    本間 正信    集中    2U697
40    2026    第2クォーター    教養教育院    健康・スポーツ科学実習２    本間 正信    集中    2U698
41    2026    第3クォーター    教養教育院    外国語セミナーＤ（英語）【遠隔クラス】(主：外国語セミナーＤ（英語）【遠隔クラス】)    保田　幸子    集中    3G313
42    2026    第3クォーター    教養教育院    数学Ｄ    メヒア　ディエゴ    集中    3U074
43    2026    第3クォーター    教養教育院    Academic English Communication A1【遠隔クラス】    石川 慎一郎    集中    3U216
44    2026    第3クォーター    教養教育院    Academic English Literacy B1【遠隔クラス】    横川 博一    集中    3U284
45    2026    第3クォーター    教養教育院    Academic English Literacy A1【遠隔クラス】    石川 慎一郎    集中    3U286
46    2026    第3クォーター    教養教育院    外国語セミナーＤ（英語）【遠隔クラス】(副：外国語セミナーＤ（英語）【遠隔クラス】)    保田　幸子    集中    3U313
47    2026    第3クォーター    教養教育院    健康・スポーツ科学実習１    高見 和至    集中    3U682
48    2026    第3クォーター    教養教育院    教養とは何か    佐藤　健    集中    3U7U1
49    2026    第3クォーター    教養教育院    多言語と多文化の世界    佐藤　健    集中    3U7U2
