No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	海洋政策科学部	物理学実験(海洋基礎科学領域)	岩本 雄二	集中	1Z034
2	2026	通年	海洋政策科学部	化学実験(S)	堀田 弘樹	集中	1Z035
3	2026	通年	海洋政策科学部	材料加工・機械製図(S・2024以前入学生)	野村 昌孝	集中	1Z036
4	2026	前期	海洋政策科学部	物理学実験(T・2024以前入学生)	岩本 雄二	集中	1Z041
5	2026	前期	海洋政策科学部	化学実験(T・2024以前入学生)	堀田 弘樹	集中	1Z042
6	2026	通年	海洋政策科学部	材料加工・機械製図(T・2024以前入学生)	野村 昌孝	集中	1Z043
7	2026	前期	海洋政策科学部	物理学実験(E・2024以前入学生)	岩本 雄二	集中	1Z057
8	2026	前期	海洋政策科学部	化学実験(E・2024以前入学生)	堀田 弘樹	集中	1Z058
9	2026	通年	海洋政策科学部	材料加工・機械製図(E・2024以前入学生)	野村 昌孝	集中	1Z059
10	2026	前期	海洋政策科学部	船舶運航概論	猪野　杏樹	集中	1Z068
11	2026	前期	海洋政策科学部	船舶機関概論	尾崎　高司	集中	1Z069
12	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（竹林　幹雄）	竹林 幹雄	集中	1Z083
13	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（西村　悦子）	西村 悦子	集中	1Z084
14	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（秋田　直也）	秋田 直也	集中	1Z087
15	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（石黒　一彦）	石黒 一彦	集中	1Z088
16	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（本田　悠介）	本田　悠介	集中	1Z089
17	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（酒井　裕規）	酒井　裕規	集中	1Z090
18	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（平田　燕奈）	平田　燕奈	集中	1Z091
19	2026	第1クォーター	海洋政策科学部	海洋ガバナンス特殊講義-1（杉村　佳寿）	杉村　佳寿	集中	1Z092
20	2026	集中	海洋政策科学部	船舶実践運航論	小西　宗	集中	1Z156
21	2026	前期	海洋政策科学部	物理学実験(T・2025以降入学生)	岩本 雄二	集中	1Z173
22	2026	前期	海洋政策科学部	化学実験(T・2025以降入学生)	堀田 弘樹	集中	1Z174
23	2026	前期	海洋政策科学部	物理学実験(E・2025以降入学生)	岩本 雄二	集中	1Z175
24	2026	前期	海洋政策科学部	化学実験(E・2025以降入学生)	堀田 弘樹	集中	1Z176
25	2026	集中	海洋政策科学部	海技士総合ゼミ（阿部　晃久）	阿部 晃久	集中	1ZE01
26	2026	集中	海洋政策科学部	海技士総合ゼミ（藤本　岳洋）	藤本 岳洋	集中	1ZE03
27	2026	集中	海洋政策科学部	海技士総合ゼミ（野村　昌孝）	野村 昌孝	集中	1ZE04
28	2026	集中	海洋政策科学部	海技士総合ゼミ（宋　明良）	宋 明良	集中	1ZE05
29	2026	集中	海洋政策科学部	海技士総合ゼミ（尾崎　高司）	尾崎　高司	集中	1ZE08
30	2026	集中	海洋政策科学部	海技士総合ゼミ（三輪　誠）	三輪 誠	集中	1ZE09
31	2026	集中	海洋政策科学部	海技士総合ゼミ（柴原　誠）	柴原　誠	集中	1ZE10
32	2026	集中	海洋政策科学部	海技士総合ゼミ（段　智久）	段 智久	集中	1ZE12
33	2026	集中	海洋政策科学部	海技士総合ゼミ（山本　茂広）	山本 茂広	集中	1ZE14
34	2026	集中	海洋政策科学部	海技士総合ゼミ（石田　達朗）	石田　達朗	集中	1ZE24
35	2026	集中	海洋政策科学部	海技士総合ゼミ（高見　朋希）	高見　朋希	集中	1ZE25
36	2026	通年	海洋政策科学部	特別研究A（西村　悦子）	西村 悦子	集中	1ZG01
37	2026	通年	海洋政策科学部	特別研究A（竹林　幹雄）	竹林 幹雄	集中	1ZG02
38	2026	通年	海洋政策科学部	特別研究A（石黒　一彦）	石黒 一彦	集中	1ZG03
39	2026	通年	海洋政策科学部	特別研究A（酒井　裕規）	酒井　裕規	集中	1ZG05
40	2026	通年	海洋政策科学部	特別研究A（秋田　直也）	秋田 直也	集中	1ZG06
41	2026	通年	海洋政策科学部	特別研究A（本田　悠介）	本田　悠介	集中	1ZG07
42	2026	通年	海洋政策科学部	特別研究A（平田　燕奈）	平田　燕奈	集中	1ZG08
43	2026	通年	海洋政策科学部	特別研究A（杉村　佳寿）	杉村　佳寿	集中	1ZG10
44	2026	通年	海洋政策科学部	特別研究A（中田　達也）	中田　達也	集中	1ZK01
45	2026	集中	海洋政策科学部	特別研究B（中田　達也）	中田　達也	集中	1ZK51
46	2026	通年	海洋政策科学部	特別研究A（本間　正信）	本間 正信	集中	1ZN06
47	2026	通年	海洋政策科学部	特別研究A（牧野　秀成）	牧野　秀成	集中	1ZN08
48	2026	集中	海洋政策科学部	特別研究B（藤本・猪野）	猪野　杏樹	集中	1ZN31
49	2026	集中	海洋政策科学部	特別研究B（渕　真輝）	渕 真輝	集中	1ZN32
50	2026	集中	海洋政策科学部	特別研究B（廣野　康平）	廣野 康平	集中	1ZN33
51	2026	集中	海洋政策科学部	特別研究B（世良　亘）	世良 亘	集中	1ZN34
52	2026	集中	海洋政策科学部	特別研究B（本間　正信）	本間 正信	集中	1ZN36
53	2026	集中	海洋政策科学部	特別研究B（ルックス　マシュー）	ルックス マシュー	集中	1ZN37
54	2026	集中	海洋政策科学部	特別研究B（牧野　秀成）	牧野　秀成	集中	1ZN38
55	2026	集中	海洋政策科学部	特別研究B（小西　宗）	小西　宗	集中	1ZN39
56	2026	集中	海洋政策科学部	特別研究B（前島　康光）	前島　康光	集中	1ZN40
57	2026	集中	海洋政策科学部	海技士総合ゼミ（藤本・猪野）	猪野　杏樹	集中	1ZN61
58	2026	集中	海洋政策科学部	海技士総合ゼミ（渕　真輝）	渕 真輝	集中	1ZN62
59	2026	集中	海洋政策科学部	海技士総合ゼミ（廣野　康平）	廣野 康平	集中	1ZN63
60	2026	集中	海洋政策科学部	海技士総合ゼミ（世良　亘）	世良 亘	集中	1ZN64
61	2026	集中	海洋政策科学部	海技士総合ゼミ（本間　正信）	本間 正信	集中	1ZN66
62	2026	集中	海洋政策科学部	海技士総合ゼミ（ルックス　マシュー）	ルックス マシュー	集中	1ZN67
63	2026	集中	海洋政策科学部	海技士総合ゼミ（牧野　秀成）	牧野　秀成	集中	1ZN68
64	2026	集中	海洋政策科学部	海技士総合ゼミ（小西　宗）	小西　宗	集中	1ZN69
65	2026	集中	海洋政策科学部	海技士総合ゼミ（前島　康光）	前島　康光	集中	1ZN70
66	2026	通年	海洋政策科学部	特別研究A（山内・金崎）	山内 知也	集中	1ZS01
67	2026	通年	海洋政策科学部	特別研究A（山地　一代）	山地　一代	集中	1ZS02
68	2026	通年	海洋政策科学部	特別研究A（蔵岡　孝治）	蔵岡 孝治	集中	1ZS03
69	2026	通年	海洋政策科学部	特別研究A（大澤　輝夫）	大澤 輝夫	集中	1ZS04
70	2026	通年	海洋政策科学部	特別研究A（谷池　晃）	谷池 晃	集中	1ZS06
71	2026	通年	海洋政策科学部	特別研究A（堀田　弘樹）	堀田 弘樹	集中	1ZS10
72	2026	通年	海洋政策科学部	特別研究A（GOMEZ CHRISTOPHER）	GOMEZ CHRISTOPHER	集中	1ZS11
73	2026	通年	海洋政策科学部	特別研究A（林　美鶴）	林 美鶴	集中	1ZS12
74	2026	通年	海洋政策科学部	特別研究A（堀江　好文）	堀江　好文	集中	1ZS13
75	2026	通年	海洋政策科学部	特別研究A（井尻　暁）	井尻　暁	集中	1ZS15
76	2026	通年	海洋政策科学部	特別研究A（藤原　泰）	藤原　泰	集中	1ZS16
77	2026	通年	海洋政策科学部	特別研究A（武田・前川）	武田 実	集中	1ZS18
78	2026	通年	海洋政策科学部	特別研究A（BRADAK-HAYASHI）	BRADAK-HAYASHI BALAZS	集中	1ZS21
79	2026	通年	海洋政策科学部	特別研究A（貝野　友祐）	貝野　友祐	集中	1ZS23
80	2026	集中	海洋政策科学部	特別研究B（林　美鶴）	林 美鶴	集中	1ZS62
81	2026	通年	海洋政策科学部	特別研究A（阿部　晃久）	阿部 晃久	集中	1ZT01
82	2026	通年	海洋政策科学部	特別研究A（若林　正彦）	若林 正彦	集中	1ZT02
83	2026	通年	海洋政策科学部	特別研究A（藤本　岳洋）	藤本 岳洋	集中	1ZT03
84	2026	通年	海洋政策科学部	特別研究A（野村　昌孝）	野村 昌孝	集中	1ZT04
85	2026	通年	海洋政策科学部	特別研究A（宋　明良）	宋 明良	集中	1ZT05
86	2026	通年	海洋政策科学部	特別研究A（勝井　辰博）	勝井　辰博	集中	1ZT07
87	2026	通年	海洋政策科学部	特別研究A（尾崎　高司）	尾崎　高司	集中	1ZT08
88	2026	通年	海洋政策科学部	特別研究A（三輪　誠）	三輪 誠	集中	1ZT09
89	2026	通年	海洋政策科学部	特別研究A（柴原　誠）	柴原　誠	集中	1ZT10
90	2026	通年	海洋政策科学部	特別研究A（劉　秋生）	劉 秋生	集中	1ZT11
91	2026	通年	海洋政策科学部	特別研究A（段　智久）	段 智久	集中	1ZT12
92	2026	通年	海洋政策科学部	特別研究A（佐俣　博章）	佐俣 博章	集中	1ZT13
93	2026	通年	海洋政策科学部	特別研究A（山本　茂広）	山本 茂広	集中	1ZT14
94	2026	通年	海洋政策科学部	特別研究A（元井　直樹）	元井 直樹	集中	1ZT15
95	2026	通年	海洋政策科学部	特別研究A（若林　伸和）	若林 伸和	集中	1ZT17
96	2026	通年	海洋政策科学部	特別研究A（堀口　知也）	堀口 知也	集中	1ZT18
97	2026	通年	海洋政策科学部	特別研究A（長松　隆）	長松 隆	集中	1ZT19
98	2026	通年	海洋政策科学部	特別研究A（平山　勝敏）	平山 勝敏	集中	1ZT20
99	2026	通年	海洋政策科学部	特別研究A（沖本　天太）	沖本　天太	集中	1ZT21
100	2026	通年	海洋政策科学部	特別研究A（笹　健児）	笹　健児	集中	1ZT22
101	2026	通年	海洋政策科学部	特別研究A（森　亮太）	森　亮太	集中	1ZT23
102	2026	通年	海洋政策科学部	特別研究A（石田　達朗）	石田　達朗	集中	1ZT24
103	2026	通年	海洋政策科学部	特別研究A（高見　朋希）	高見　朋希	集中	1ZT25
104	2026	集中	海洋政策科学部	特別研究B（阿部　晃久）	阿部 晃久	集中	1ZT51
105	2026	集中	海洋政策科学部	特別研究B（藤本　岳洋）	藤本 岳洋	集中	1ZT53
106	2026	集中	海洋政策科学部	特別研究B（野村　昌孝）	野村 昌孝	集中	1ZT54
107	2026	集中	海洋政策科学部	特別研究B（宋　明良）	宋 明良	集中	1ZT55
108	2026	集中	海洋政策科学部	特別研究B（尾崎　高司）	尾崎　高司	集中	1ZT58
109	2026	集中	海洋政策科学部	特別研究B（三輪　誠）	三輪 誠	集中	1ZT59
110	2026	集中	海洋政策科学部	特別研究B（柴原　誠）	柴原　誠	集中	1ZT60
111	2026	集中	海洋政策科学部	特別研究B（段　智久）	段 智久	集中	1ZT62
112	2026	集中	海洋政策科学部	特別研究B（石田　達朗）	石田　達朗	集中	1ZT74
113	2026	集中	海洋政策科学部	特別研究B（高見　朋希）	高見　朋希	集中	1ZT75
114	2026	集中	海洋政策科学部	セーリング	渕 真輝	集中	2Z069
115	2026	第2クォーター	海洋政策科学部	海のインターンシップ	阿部 晃久	集中	2Z078
116	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（竹林　幹雄）	竹林 幹雄	集中	2Z082
117	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（西村　悦子）	西村 悦子	集中	2Z083
118	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（秋田　直也）	秋田 直也	集中	2Z086
119	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（石黒　一彦）	石黒 一彦	集中	2Z087
120	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（本田　悠介）	本田　悠介	集中	2Z088
121	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（酒井　裕規）	酒井　裕規	集中	2Z089
122	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（平田　燕奈）	平田　燕奈	集中	2Z090
123	2026	第2クォーター	海洋政策科学部	海洋ガバナンス特殊講義-2（杉村　佳寿）	杉村　佳寿	集中	2Z091
124	2026	後期	海洋政策科学部	船舶運航実習	猪野　杏樹	集中	3Z050
125	2026	後期	海洋政策科学部	運用実務演習	小西　宗	集中	3Z072
126	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（竹林　幹雄）	竹林 幹雄	集中	3Z073
127	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（西村　悦子）	西村 悦子	集中	3Z074
128	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（秋田　直也）	秋田 直也	集中	3Z077
129	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（石黒　一彦）	石黒 一彦	集中	3Z078
130	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（本田　悠介）	本田　悠介	集中	3Z079
131	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（酒井　裕規）	酒井　裕規	集中	3Z080
132	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（平田　燕奈）	平田　燕奈	集中	3Z081
133	2026	第3クォーター	海洋政策科学部	海洋ガバナンス特殊講義-3（杉村　佳寿）	杉村　佳寿	集中	3Z082
134	2026	後期	海洋政策科学部	船舶実習-1(航海学領域)	牧野　秀成	集中	3Z142
135	2026	後期	海洋政策科学部	船舶実習-1(機関学領域)	阿部 晃久	集中	3Z143
136	2026	後期	海洋政策科学部	船舶実習-2（航海学領域）	本間 正信	集中	3Z144
137	2026	後期	海洋政策科学部	船舶実習-2（機関学領域）	劉 秋生	集中	3Z145
138	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（竹林　幹雄）	竹林 幹雄	集中	4Z072
139	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（西村　悦子）	西村 悦子	集中	4Z073
140	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（秋田　直也）	秋田 直也	集中	4Z076
141	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（石黒　一彦）	石黒 一彦	集中	4Z077
142	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（本田　悠介）	本田　悠介	集中	4Z078
143	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（酒井　裕規）	酒井　裕規	集中	4Z079
144	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（平田　燕奈）	平田　燕奈	集中	4Z080
145	2026	第4クォーター	海洋政策科学部	海洋ガバナンス特殊講義-4（杉村　佳寿）	杉村　佳寿	集中	4Z081
146	2026	第4クォーター	海洋政策科学部	航海学演習-5	小西　宗	集中	4Z128
