No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	システム情報学部	設計工学	坪倉　誠	月1	1X058
2	2026	後期	システム情報学部	人工知能1	滝口 哲也	月1	3X007
3	2026	後期	システム情報学部	制御工学2	浦久保 孝光	月1	3X009
4	2026	後期	システム情報学部	ソフトウェア工学1	藤井　信忠	月2	3X070
5	2026	前期	システム情報学部	アルゴリズムとデータ構造	大川 剛直	月3	1X007
6	2026	後期	システム情報学部	システムモデル	小林 太	月3	3X004
7	2026	後期	システム情報学部	数理論理学	ブレンドレ　ヤーグ	月3	3X055
8	2026	前期	システム情報学部	基礎解析	佐野 英樹	月4	1X004
9	2026	前期	システム情報学部	信号処理1(副：信号処理Ⅰ)	的場 修	月4	1X010
10	2026	後期	システム情報学部	代数・幾何演習2	仁田 功一	月4	3X052
11	2026	後期	システム情報学部	解析演習2	仁田 功一	月4	3X053
12	2026	後期	システム情報学部	情報セキュリティ	永田 真	月4	3X064
13	2026	後期	システム情報学部	データ解析	上﨑　麻衣子	火1	3X003
14	2026	前期	システム情報学部	離散数学	國谷　紀良	火2	1X051
15	2026	後期	システム情報学部	信号処理2(副：信号処理Ⅱ)	滝口 哲也	火2	3X060
16	2026	前期	システム情報学部	線形代数	菊池 誠	火3	1X003
17	2026	前期	システム情報学部	最適化理論1	玉置 久	火3	1X008
18	2026	後期	システム情報学部	実験1	國領　大介	火3,4,水3,4	3X011
19	2026	前期	システム情報学部	常微分方程式論	佐野 英樹	火4	1X055
20	2026	前期	システム情報学部	システム情報学入門	仁田 功一	水1	1X016
21	2026	前期	システム情報学部	知能ロボティクス	全　昌勤	水1	1X059
22	2026	後期	システム情報学部	数値解析1	和泉 慎太郎	水1	3X005
23	2026	前期	システム情報学部	コンピュータシステム3	Finnerty Patrick Martin	水2	1X013
24	2026	後期	システム情報学部	計算論	倉橋　太志	水2	3X056
25	2026	後期	システム情報学部	HCI	熊本　悦子	水2	3X067
26	2026	前期	システム情報学部	物理基礎	臼井 英之	水3	1X005
27	2026	前期	システム情報学部	情報通信工学	太田 能	水4	1X014
28	2026	前期	システム情報学部	代数・幾何演習1	小林 太	木1	1X052
29	2026	前期	システム情報学部	解析演習1	小林 太	木1	1X053
30	2026	前期	システム情報学部	並列コンピューティング	三宅　洋平	木1	1X062
31	2026	前期	システム情報学部	人工知能2	小松　瑞果	木2	1X015
32	2026	第3クォーター	システム情報学部	数理情報英語C	小林 太	木2	3X065
33	2026	後期	システム情報学部	電子回路	川口 博	木2	3X066
34	2026	第4クォーター	システム情報学部	数理情報英語D	浦久保 孝光	木2	4X065
35	2026	前期	システム情報学部	制御工学1	羅 志偉	木3	1X009
36	2026	後期	システム情報学部	演習2	システム情報学部教員	木3	3X017
37	2026	前期	システム情報学部	確率・統計・情報	澤　正憲	木4	1X006
38	2026	前期	システム情報学部	複素関数論	増淵 泉	木4	1X056
39	2026	後期	システム情報学部	コンピュータシステム2	鳩野　逸生	木4	3X012
40	2026	後期	システム情報学部	数値解析3	上島　基之	木4	3X062
41	2026	前期	システム情報学部	幾何概論	桔梗 宏孝	金1	1X054
42	2026	第1クォーター	システム情報学部	数理情報英語A	ブレンドレ　ヤーグ	金1	1X065
43	2026	第2クォーター	システム情報学部	数理情報英語B	仁田 功一	金1	2X065
44	2026	後期	システム情報学部	物理数学	古賀　朱門	金1	3X002
45	2026	前期	システム情報学部	演習1	システム情報学部教員	金2	1X017
46	2026	後期	システム情報学部	代数概論	桔梗 宏孝	金2	3X051
47	2026	後期	システム情報学部	最適化理論2	國領　大介	金2	3X057
48	2026	前期	システム情報学部	演習3	システム情報学部教員	金3	1X018
49	2026	前期	システム情報学部	コンピュータシステム1	竹内　尚輝	金4	1X012
50	2026	前期	システム情報学部	偏微分方程式	佐野 英樹	集中	1X057
51	2026	前期	システム情報学部	画像工学	仁田 功一	集中	1X060
52	2026	前期	システム情報学部	量子デバイス	三木　拓司	集中	1X064
53	2026	前期	システム情報学部	ソフトウェア工学2	坂本　尚久	集中	1X070
54	2026	後期	システム情報学部	計測工学	中本 裕之	集中	3X059
55	2026	後期	システム情報学部	光情報工学	仁田 功一	集中	3X061
56	2026	後期	システム情報学部	HPC	陰山 聡	集中	3X063
57	2026	後期	システム情報学部	量子コンピューティング	天能 精一郎	集中	3X090
