No.    年度    開講区分    所属    科目名    成績入力担当    曜日・時限    時間割コード
1    2026    第1クォーター    教養教育院    芸術と文化Ｂ    大橋　完太郎    木1    1U022
2    2026    第1クォーター    教養教育院    法学Ｂ    馬場　健一    木1    1U039
3    2026    第1クォーター    教養教育院    健康科学Ａ    安田 尚史    木1    1U069
4    2026    第1クォーター    教養教育院    生物学Ａ    石崎 公庸    木1    1U070
5    2026    第1クォーター    教養教育院    生物学Ｃ    坂山 英俊    木1    1U073
6    2026    第1クォーター    教養教育院    数学Ａ    ラスマン ウェイン    木1    1U075
7    2026    第1クォーター    教養教育院    物理学Ａ    松野　研    木1    1U079
8    2026    第1クォーター    教養教育院    惑星学Ｂ    山崎 和仁    木1    1U083
9    2026    第1クォーター    教養教育院    情報学Ａ    浦久保 孝光    木1    1U085
10    2026    第1クォーター    教養教育院    食と健康Ａ    金丸 研吾    木1    1U092
11    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    衣笠　太朗    木1    1U411
12    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    新川　匠郎    木1    1U412
13    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    柴　亜矢子    木1    1U413
14    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    横田 一哉    木1    1U436
15    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    橋木 郁子    木1    1U437
16    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    Bjoern Kasper    木1    1U438
17    2026    第1クォーター    教養教育院    第三外国語（ドイツ語）Ｔ１    衣笠　太朗    木1    1U460
18    2026    第1クォーター    教養教育院    フランス語初級Ａ１    中畑　寛之    木1    1U490
19    2026    第1クォーター    教養教育院    フランス語初級Ａ１    池田　信虎    木1    1U491
20    2026    第1クォーター    教養教育院    フランス語初級Ｂ１    川口 陽子    木1    1U511
21    2026    第1クォーター    教養教育院    フランス語初級Ｂ１    武内 英公子    木1    1U512
22    2026    第1クォーター    教養教育院    フランス語初級Ｂ１    釣 馨    木1    1U513
23    2026    第1クォーター    教養教育院    第三外国語（フランス語）Ｔ１    中畑　寛之    木1    1U534
24    2026    第1クォーター    教養教育院    中国語初級Ｂ１    付 瑞    木1    1U594
25    2026    第1クォーター    教養教育院    中国語初級Ｂ１    畢　奇    木1    1U595
26    2026    第1クォーター    教養教育院    中国語初級Ｂ１    傍島　史奈    木1    1U596
27    2026    第1クォーター    教養教育院    中国語初級Ｂ１    夏　麒    木1    1U597
28    2026    第1クォーター    教養教育院    中国語初級Ｂ１    陳　凱僑    木1    1U598
29    2026    第1クォーター    教養教育院    中国語初級Ｂ１    高　茜    木1    1U599
30    2026    第1クォーター    教養教育院    中国語初級Ｂ１    陳　迪    木1    1U601
31    2026    第1クォーター    教養教育院    中国語初級Ｂ１    桂　小蘭    木1    1U602
32    2026    第1クォーター    教養教育院    中国語初級Ｂ１    姫　梅    木1    1U603
