No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	海洋政策科学部	環境分析化学-1	堀田 弘樹	木1	1Z029
2	2026	第1クォーター	海洋政策科学部	航海航法-1	廣野 康平	木1	1Z066
3	2026	第1クォーター	海洋政策科学部	洋上プラント安全論-1	石田　達朗	木1	1Z133
4	2026	前期	海洋政策科学部	海域観測実習	林 美鶴	木1,2	1Z151
5	2026	第2クォーター	海洋政策科学部	環境分析化学-2	堀田 弘樹	木1	2Z029
6	2026	第2クォーター	海洋政策科学部	航海航法-2	廣野 康平	木1	2Z066
7	2026	第2クォーター	海洋政策科学部	洋上プラント安全論-2	石田　達朗	木1	2Z128
8	2026	第3クォーター	海洋政策科学部	会計学基礎論-1(海洋ガバナンス領域)	酒井　裕規	木1	3Z041
9	2026	第3クォーター	海洋政策科学部	会計学基礎論-1（抽選登録用）	酒井　裕規	木1	3Z071
10	2026	第3クォーター	海洋政策科学部	海洋環境学3-1	小林　格	木1	3Z095
11	2026	第3クォーター	海洋政策科学部	確率モデル-1	沖本　天太	木1	3Z106
12	2026	第3クォーター	海洋政策科学部	海事英語（船舶実務）-3	ルックス マシュー	木1	3Z127
13	2026	第4クォーター	海洋政策科学部	会計学基礎論-2（海洋ガバナンス領域）	酒井　裕規	木1	4Z051
14	2026	第4クォーター	海洋政策科学部	会計学基礎論-2（抽選登録用）	酒井　裕規	木1	4Z071
15	2026	第4クォーター	海洋政策科学部	海洋環境学3-2	小林　格	木1	4Z093
16	2026	第4クォーター	海洋政策科学部	確率モデル-2	沖本　天太	木1	4Z106
17	2026	第1クォーター	海洋政策科学部	交通政策概論-1(海洋ガバナンス領域)	秋田 直也	木2	1Z048
18	2026	第1クォーター	海洋政策科学部	交通政策概論-1(抽選登録用)	秋田 直也	木2	1Z080
19	2026	第1クォーター	海洋政策科学部	海運経営論-1	松田　琢磨	木2	1Z097
20	2026	第1クォーター	海洋政策科学部	実用海事機関英語-1	若林 正彦	木2	1Z134
21	2026	第1クォーター	海洋政策科学部	航海航法-4	廣野 康平	木2	1Z145
22	2026	第2クォーター	海洋政策科学部	交通政策概論-2(海洋ガバナンス領域)	秋田 直也	木2	2Z048
23	2026	第2クォーター	海洋政策科学部	交通政策概論-2（抽選登録用）	秋田 直也	木2	2Z081
24	2026	第2クォーター	海洋政策科学部	実用海事機関英語-2	若林 正彦	木2	2Z129
25	2026	第2クォーター	海洋政策科学部	航海航法-5	廣野 康平	木2	2Z137
