No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	後期	経済学部　昼間主コース	上級マクロ経済学I(主：マクロ経済学１)	柳本　和春	月1,木2	3E330
2	2026	前期	経済学部　昼間主コース	経済史の潮流(副：経済史の潮流（編入生）)	中岡　俊介	木1	1E339
3	2026	前期	経済学部　昼間主コース	経済史の潮流（編入生）(主：経済史の潮流)	中岡　俊介	木1	1E340
4	2026	前期	経済学部　昼間主コース	開発経済学(副：開発経済学（編入生）)	古田　学	木1	1E354
5	2026	前期	経済学部　昼間主コース	開発経済学（編入生）(主：開発経済学)	古田　学	木1	1E355
6	2026	後期	経済学部　昼間主コース	中国経済論(副：中国経済論（編入生）)	梶谷 懐	木1	3E324
7	2026	後期	経済学部　昼間主コース	中国経済論（編入生）(主：中国経済論)	梶谷 懐	木1	3E325
8	2026	後期	経済学部　昼間主コース	Advanced Microeconomic AnalysisⅠ(主：Microeconomic AnalysisⅠ)	山縣　昂平	木1	3E347
9	2026	前期	経済学部　昼間主コース	International Economy and Finance	KRAWCZYK, Mariusz Konrad	木2	1E348
10	2026	前期	経済学部　昼間主コース	ジェンダーと家族の経済学(副：ジェンダーと家族の経済学（編入生）)	井上　ちひろ	木2	1E368
11	2026	前期	経済学部　昼間主コース	ジェンダーと家族の経済学（編入生）(主：ジェンダーと家族の経済学)	井上　ちひろ	木2	1E369
12	2026	前期	経済学部　昼間主コース	Advanced Public Finance(主：Public Finance)	宮崎 智視	木2	1E404
13	2026	後期	経済学部　昼間主コース	日本経済論	佐野 晋平	木2	3E313
14	2026	後期	経済学部　昼間主コース	国際経済政策(副：国際経済政策（編入生）)	橋本　賢一	木2	3E320
15	2026	後期	経済学部　昼間主コース	国際経済政策（編入生）(主：国際経済政策)	橋本　賢一	木2	3E321
16	2026	後期	経済学部　昼間主コース	Advanced Econometric AnalysisⅠ(主：Econometric AnalysisⅠ)	山縣　昂平	木2	3E348
17	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	岩壷 健太郎	木3	1E101
18	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	大坪　陽一	木3	1E102
19	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	梶谷 懐	木3	1E103
20	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	佐野 晋平	木3	1E109
21	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	中岡　俊介	木3	1E115
22	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	中村 健太	木3	1E116
23	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	宮崎 智視	木3	1E127
24	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	茂木　快治	木3	1E128
25	2026	通年	経済学部　昼間主コース	研究指導Ⅰ	山岡　淳	木3	1E129
26	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	岩壷 健太郎	木4	1E141
27	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	大坪　陽一	木4	1E142
28	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	梶谷 懐	木4	1E143
29	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	中村 健太	木4	1E156
30	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	藤岡　秀英	木4	1E163
31	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	茂木　快治	木4	1E168
32	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	山岡　淳	木4	1E169
33	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	綿貫　友子	木4	1E171
34	2026	通年	経済学部　昼間主コース	研究指導Ⅱ	胡 云芳	木4	1E172
35	2026	前期	経済学部　昼間主コース	IFEEK特別演習Ⅰ	WIERZBOWSKA, AGATA	木4	1E331
36	2026	前期	経済学部　昼間主コース	計量経済学(副：計量経済学（編入生）)	松林　洋一	木5	1E332
37	2026	前期	経済学部　昼間主コース	計量経済学（編入生）(主：計量経済学)	松林　洋一	木5	1E333
