No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第3クォーター	国際人間科学部	環境高分子化学	佐藤　春実	水1,木1	3H623
2	2026	第3クォーター	国際人間科学部	環境生命化学	江原 靖人	水2,木2	3H624
3	2026	前期	国際人間科学部	グローバル文化特別演習Ⅱ	西澤 晃彦	木1	1H453
4	2026	前期	国際人間科学部	グローバル文化特別演習Ⅱ	青山 薫	木1	1H454
5	2026	前期	国際人間科学部	グローバル文化特別演習Ⅱ	小笠原 博毅	木1	1H455
6	2026	第2クォーター	国際人間科学部	環境形成科学実験Ｃ	福田 博也	木1,2	2H659
7	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	長 志珠絵	木1	3H425
8	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	梅屋　潔	木1	3H437
9	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	西澤 晃彦	木1	3H453
10	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	青山 薫	木1	3H454
11	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	小笠原 博毅	木1	3H455
12	2026	後期	国際人間科学部	初等理科教育論	山口　悦司	木1	3H709
13	2026	後期	国際人間科学部	グローバル教育演習（教育制度）	ラッシラ エルッキ タピオ	木1	3H726
14	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	長 志珠絵	木1	3HE25
15	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	梅屋　潔	木1	3HE37
16	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	西澤 晃彦	木1	3HE53
17	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	青山 薫	木1	3HE54
18	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	小笠原 博毅	木1	3HE55
19	2026	第3クォーター	国際人間科学部	初等理科教育論１	山口　悦司	木1	3HH09
20	2026	第3クォーター	国際人間科学部	グローバル教育演習（教育制度）１	ラッシラ エルッキ タピオ	木1	3HH26
21	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	長 志珠絵	木1	4HE25
22	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	梅屋　潔	木1	4HE37
23	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	西澤 晃彦	木1	4HE53
24	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	青山 薫	木1	4HE54
25	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	小笠原 博毅	木1	4HE55
26	2026	第4クォーター	国際人間科学部	初等理科教育論２	山口　悦司	木1	4HH09
27	2026	第4クォーター	国際人間科学部	グローバル教育演習（教育制度）２	ラッシラ エルッキ タピオ	木1	4HH26
28	2026	前期	国際人間科学部	アメリカ文化論	西谷　拓哉	木2	1H341
29	2026	前期	国際人間科学部	ジェンダー社会文化論	青山 薫	木2	1H364
30	2026	前期	国際人間科学部	近現代アート論	髙田　映介	木2	1H367
31	2026	前期	国際人間科学部	文化環境形成論	髙田　映介	木2	1H368
32	2026	前期	国際人間科学部	グローバル文化特別演習Ⅱ	大石　侑香	木2	1H435
