No.    年度    開講区分    所属    科目名    成績入力担当    曜日・時限    時間割コード
1    2026    第1クォーター    教養教育院    心理学Ａ    野口　泰基    火1    1U001
2    2026    第1クォーター    教養教育院    教育学Ａ    山下　晃一    火1    1U007
3    2026    第1クォーター    教養教育院    文学Ｂ    米田　恵子    火1    1U015
4    2026    第1クォーター    教養教育院    芸術と文化Ａ    板倉　史明    火1    1U019
5    2026    第1クォーター    教養教育院    東洋史Ａ    村井　恭子    火1    1U027
6    2026    第1クォーター    教養教育院    アジア史Ａ    貞好 康志    火1    1U028
7    2026    第1クォーター    教養教育院    考古学Ａ    伊藤 淳史    火1    1U033
8    2026    第1クォーター    教養教育院    芸術史Ｂ    平芳 裕子    火1    1U035
9    2026    第1クォーター    教養教育院    数学Ａ    倉橋　太志    火1    1U074
10    2026    第1クォーター    教養教育院    数学Ｄ    桑村 雅隆    火1    1U078
11    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    安田　麗    火1    1U401
12    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    田村　豪    火1    1U402
13    2026    第1クォーター    教養教育院    ドイツ語初級Ａ１    石田　圭子    火1    1U403
14    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    芹澤　円    火1    1U426
15    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    永谷 益朗    火1    1U427
16    2026    第1クォーター    教養教育院    ドイツ語初級Ｂ１    ADEBAHR David    火1    1U428
17    2026    第1クォーター    教養教育院    第三外国語（ドイツ語）Ｔ１    石田　圭子    火1    1U456
18    2026    第1クォーター    教養教育院    フランス語初級Ａ１    馬場　智也    火1    1U481
19    2026    第1クォーター    教養教育院    フランス語初級Ａ１    植村　実江    火1    1U482
20    2026    第1クォーター    教養教育院    フランス語初級Ｂ１    川上　紘史    火1    1U501
21    2026    第1クォーター    教養教育院    フランス語初級Ｂ１    梶原　久梨子    火1    1U502
22    2026    第1クォーター    教養教育院    中国語初級Ａ１    中野　尚美    火1    1U551
23    2026    第1クォーター    教養教育院    中国語初級Ａ１    馮　時    火1    1U552
24    2026    第1クォーター    教養教育院    中国語初級Ａ１    易　星星    火1    1U553
25    2026    第1クォーター    教養教育院    中国語初級Ａ１    陳　迪    火1    1U554
26    2026    第1クォーター    教養教育院    中国語初級Ａ１    付 瑞    火1    1U555
27    2026    第1クォーター    教養教育院    中国語初級Ａ１    陳　凱僑    火1    1U556
28    2026    第1クォーター    教養教育院    中国語初級Ａ１    アルチャ    火1    1U557
29    2026    第1クォーター    教養教育院    中国語初級Ａ１    阿　栄娜    火1    1U558
30    2026    第1クォーター    教養教育院    ロシア語初級Ａ１    中野　悠希    火1    1U641
31    2026    前期    教養教育院    健康・スポーツ科学実習基礎    小坂　美保    火1    1U673
32    2026    前期    教養教育院    健康・スポーツ科学実習基礎    益冨 真子    火1    1U674
33    2026    前期    教養教育院    健康・スポーツ科学実習基礎    早田　亘輝    火1    1U675
