No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	海洋政策科学部	航海計器-1	廣野 康平	火1	1Z062
2	2026	第1クォーター	海洋政策科学部	海域由来災害科学1-1	笹　健児	火1	1Z102
3	2026	第1クォーター	海洋政策科学部	材料強度学-1（海洋応用科学領域）	藤本 岳洋	火1	1Z111
4	2026	第1クォーター	海洋政策科学部	材料強度学-1 （機関学領域）	藤本 岳洋	火1	1Z126
5	2026	第1クォーター	海洋政策科学部	流体力学-1(E開講・基礎推奨科目)	大澤 輝夫	火1	1Z165
6	2026	第1クォーター	海洋政策科学部	流体力学-1(S・2025以降入学生)	大澤 輝夫	火1	1Z170
7	2026	第2クォーター	海洋政策科学部	航海計器-2	廣野 康平	火1	2Z062
8	2026	第2クォーター	海洋政策科学部	海域由来災害科学1-2	笹　健児	火1	2Z099
9	2026	第2クォーター	海洋政策科学部	材料強度学-2（海洋応用科学領域）	藤本 岳洋	火1	2Z109
10	2026	第2クォーター	海洋政策科学部	材料強度学-2（機関学領域）	藤本 岳洋	火1	2Z123
11	2026	第2クォーター	海洋政策科学部	流体力学-2(E開講・基礎推奨科目)	大澤 輝夫	火1	2Z157
12	2026	第2クォーター	海洋政策科学部	流体力学-2(S・2025以降入学生)	大澤 輝夫	火1	2Z163
13	2026	第3クォーター	海洋政策科学部	電子回路-1(海洋応用科学領域)	佐俣 博章	火1	3Z031
14	2026	第3クォーター	海洋政策科学部	電子回路-1(機関学領域)	佐俣 博章	火1	3Z042
15	2026	第3クォーター	海洋政策科学部	航海計器-3	廣野 康平	火1	3Z045
16	2026	第3クォーター	海洋政策科学部	海運経済論-1	石黒 一彦	火1	3Z085
17	2026	第3クォーター	海洋政策科学部	海洋エネルギー科学2-1	武田 実	火1	3Z091
18	2026	第4クォーター	海洋政策科学部	電子回路-2(海洋応用科学領域)	佐俣 博章	火1	4Z031
19	2026	第4クォーター	海洋政策科学部	海運経済論-2	石黒 一彦	火1	4Z084
20	2026	第4クォーター	海洋政策科学部	海洋エネルギー科学2-2	武田 実	火1	4Z089
21	2026	第1クォーター	海洋政策科学部	地球進化学-1(海洋基礎科学領域)	BRADAK-HAYASHI BALAZS	火2	1Z030
22	2026	第1クォーター	海洋政策科学部	流体力学-1(T・2024以前入学生)	勝井　辰博	火2	1Z037
23	2026	第1クォーター	海洋政策科学部	流体力学-1(機関学領域)	宋 明良	火2	1Z053
