No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	経済学部　昼間主コース	ファイナンス(副：ファイナンス（編入生）、ファイナンス（高度教養科目）)	岩壷 健太郎	火1	1E345
2	2026	前期	経済学部　昼間主コース	ファイナンス（編入生）(主：ファイナンス)	岩壷 健太郎	火1	1E346
3	2026	前期	経済学部　昼間主コース	ファイナンス（高度教養科目）(主：ファイナンス)	岩壷 健太郎	火1	1E347
4	2026	前期	経済学部　昼間主コース	医療経済学(副：医療経済学（編入生）)	片山　由将	火1	1E370
5	2026	前期	経済学部　昼間主コース	医療経済学（編入生）(主：医療経済学)	片山　由将	火1	1E371
6	2026	前期	経済学部　昼間主コース	上級ミクロ経済学I(主：ミクロ経済学１)	糟谷　祐介	火1,金2	1E400
7	2026	後期	経済学部　昼間主コース	法経連携演習(副：特別講義法経連携演習)	髙橋　樹生	火1	3E317
8	2026	後期	経済学部　昼間主コース	上級計量経済学B(主：計量経済学B)	末石　直也	火1	3E329
9	2026	後期	経済学部　昼間主コース	国際金融論(副：国際金融論（編入生）)	岩壷 健太郎	火1	3E341
10	2026	後期	経済学部　昼間主コース	国際金融論（編入生）(主：国際金融論)	岩壷 健太郎	火1	3E342
11	2026	前期	経済学部　昼間主コース	問題解決実践研究(副：特別講義問題解決実践研究)	髙橋　樹生	火2	1E312
12	2026	前期	経済学部　昼間主コース	ＥＳＤ演習Ｉ（環境経済学Ｉ）	小島　理沙	火2	1E313
13	2026	前期	経済学部　昼間主コース	ＥＳＤ演習Ⅰ（環境経済学Ⅰ）	小島　理沙	火2	1E314
14	2026	前期	経済学部　昼間主コース	経済政策基礎論	藤岡　秀英	火2	1E318
15	2026	前期	経済学部　昼間主コース	Advanced Comparative Economic History(主：Comparative Economic History)	橋野　知子	火2	1E405
16	2026	後期	経済学部　昼間主コース	プログラミング基礎	中島　忠博	火2	3E308
17	2026	後期	経済学部　昼間主コース	社会コミュニケーション入門	小島　理沙	火2	3E326
18	2026	後期	経済学部　昼間主コース	現代技術論(副：現代技術論（編入生）)	中村 健太	火2	3E331
19	2026	後期	経済学部　昼間主コース	現代技術論（編入生）(主：現代技術論)	中村 健太	火2	3E332
20	2026	後期	経済学部　昼間主コース	Advanced Finance(主：Finance)	大坪　陽一	火2	3E352
21	2026	前期	経済学部　昼間主コース	初級経済学	畳谷　整克	火3	1E303
22	2026	前期	経済学部　昼間主コース	国際貿易論(副：国際貿易論（編入生）、国際貿易論（高度教養科目）)	小澤　駿弥	火3	1E350
23	2026	前期	経済学部　昼間主コース	国際貿易論（編入生）(主：国際貿易論)	小澤　駿弥	火3	1E351
24	2026	前期	経済学部　昼間主コース	国際貿易論（高度教養科目）(主：国際貿易論)	小澤　駿弥	火3	1E352
25	2026	前期	経済学部　昼間主コース	上級ELS課題研究（脱炭素の地域づくり）(主：ELS-M課題研究（脱炭素社会の地域づくり）)	島村　健	火3	1E410
26	2026	後期	経済学部　昼間主コース	経済統計学(副：経済統計学（編入生）)	松林　洋一	火3	3E327
27	2026	後期	経済学部　昼間主コース	経済統計学（編入生）(主：経済統計学)	松林　洋一	火3	3E328
28	2026	後期	経済学部　昼間主コース	Advanced Monetary Economics(主：Monetary Economics)	西山　慎一	火3	3E349
29	2026	前期	経済学部　昼間主コース	アセットマネジメントの理論と実務	大坪　陽一	火4	1E310
30	2026	前期	経済学部　昼間主コース	ゲーム理論(副：ゲーム理論（編入生）、ゲーム理論（高度教養科目）)	芦谷　政浩	火4	1E334
31	2026	前期	経済学部　昼間主コース	ゲーム理論（編入生）(主：ゲーム理論)	芦谷　政浩	火4	1E335
32	2026	前期	経済学部　昼間主コース	ゲーム理論（高度教養科目）(主：ゲーム理論)	芦谷　政浩	火4	1E336
33	2026	前期	経済学部　昼間主コース	上級経済数学(主：経済数学)	清水　崇	火4	1E402
34	2026	後期	経済学部　昼間主コース	ヨーロッパ経済論(副：ヨーロッパ経済論（編入生）)	WIERZBOWSKA, AGATA	火4	3E339
35	2026	後期	経済学部　昼間主コース	ヨーロッパ経済論（編入生）(主：ヨーロッパ経済論)	WIERZBOWSKA, AGATA	火4	3E340
36	2026	第1クォーター	経済学部　昼間主コース	Special Seminar on Global Communication	WIERZBOWSKA, AGATA	火5	1E353
37	2026	第2クォーター	経済学部　昼間主コース	Special Seminar on Comparative Analysis	奥西　孝至	火5	2E302
