No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	国際人間科学部	音楽科教育論Ａ	森松　慶子	火1	1H221
2	2026	前期	国際人間科学部	越境文化形成論	井上　弘貴	火1	1H322
3	2026	前期	国際人間科学部	初等国語論	目黒 強	火1	1H723
4	2026	前期	国際人間科学部	子どもの保健と健康	古谷　真樹	火1	1H762
5	2026	第1クォーター	国際人間科学部	音楽科教育論Ａ１	森松　慶子	火1	1HC21
6	2026	第1クォーター	国際人間科学部	初等国語論１	目黒 強	火1	1HH23
7	2026	第1クォーター	国際人間科学部	子どもの保健と健康１	古谷　真樹	火1	1HH62
8	2026	第2クォーター	国際人間科学部	音楽科教育論Ａ２	森松　慶子	火1	2HC21
9	2026	第2クォーター	国際人間科学部	初等国語論２	目黒 強	火1	2HH23
10	2026	第2クォーター	国際人間科学部	子どもの保健と健康２	古谷　真樹	火1	2HH62
11	2026	第3クォーター	国際人間科学部	情報リテラシー演習１	村尾 元	火1	3H302
12	2026	後期	国際人間科学部	グローバル文化特別演習Ⅰ	板倉　史明	火1	3H424
13	2026	後期	国際人間科学部	社会教育計画論	津田 英二	火1	3H508
14	2026	後期	国際人間科学部	バイオメカニクス実験	前田 正登	火1,2	3H558
15	2026	第3クォーター	国際人間科学部	環境生理学	源 利文	火1,2	3H622
16	2026	第3クォーター	国際人間科学部	グローバル文化特別演習Ａ	板倉　史明	火1	3HE24
17	2026	第3クォーター	国際人間科学部	社会教育計画論１	津田 英二	火1	3HF08
18	2026	第3クォーター	国際人間科学部	バイオメカニクス実験１	前田 正登	火1,2	3HF58
19	2026	第4クォーター	国際人間科学部	情報リテラシー演習２	村尾 元	火1	4H302
20	2026	第4クォーター	国際人間科学部	乳幼児と環境	岡部　恭幸	火1	4H757
21	2026	第4クォーター	国際人間科学部	グローバル文化特別演習Ｂ	板倉　史明	火1	4HE24
22	2026	第4クォーター	国際人間科学部	社会教育計画論２	津田 英二	火1	4HF08
23	2026	第4クォーター	国際人間科学部	バイオメカニクス実験２	前田 正登	火1,2	4HF58
24	2026	前期	国際人間科学部	グローバル文化特別演習Ⅱ	新川　匠郎	火2	1H445
25	2026	前期	国際人間科学部	健康教育論	加藤　佳子	火2	1H559
26	2026	前期	国際人間科学部	計算代数Ｂ	長坂 耕作	火2	1H626
