No.    年度    開講区分    所属    科目名    成績入力担当    曜日・時限    時間割コード
1    2026    第1クォーター    教養教育院    法学Ｂ    福山　好典    水1    1U038
2    2026    第1クォーター    教養教育院    政治学Ａ    太田 和宏    水1    1U041
3    2026    第1クォーター    教養教育院    経済学Ｂ    LUONG Anh Dung    水1    1U045
4    2026    第1クォーター    教養教育院    地理学    中川　祐希    水1    1U048
5    2026    第1クォーター    教養教育院    文化人類学    ラミレズ　亜望    水1    1U053
6    2026    第1クォーター    教養教育院    現代社会論Ａ    山下　泰幸    水1    1U054
7    2026    第1クォーター    教養教育院    国家と法    吉原　司    水1    1U063
8    2026    第1クォーター    教養教育院    現代の経済Ｂ    岡島　成治    水1    1U066
9    2026    第1クォーター    教養教育院    国際協力の現状と課題Ａ    河村　有介    水1    1U091
10    2026    第1クォーター    教養教育院    Academic English Communication A1    深川　宏樹    水1    1U182
11    2026    第1クォーター    教養教育院    Academic English Communication A1    伊藤 友美    水1    1U183
12    2026    第1クォーター    教養教育院    Academic English Communication A1    岡本　佳子    水1    1U184
13    2026    第1クォーター    教養教育院    Academic English Communication A1    鈴木　朋子    水1    1U185
14    2026    第1クォーター    教養教育院    Academic English Communication A1    Tim　Greer    水1    1U186
15    2026    第1クォーター    教養教育院    Academic English Communication A1    土田　千愛    水1    1U187
16    2026    第1クォーター    教養教育院    Academic English Communication A1    佐藤　健    水1    1U188
17    2026    第1クォーター    教養教育院    Academic English Communication A1    Beaton Jason    水1    1U189
18    2026    第1クォーター    教養教育院    Academic English Literacy A1    BELARGA OLIVER    水1    1U253
19    2026    第1クォーター    教養教育院    Academic English Literacy A1    Stephen Horn    水1    1U254
20    2026    第1クォーター    教養教育院    Academic English Literacy A1    LIPEDE ADEBOYE OLADIPO GABIOLA    水1    1U255
21    2026    第1クォーター    教養教育院    Academic English Literacy A1    牧田　快    水1    1U256
22    2026    第1クォーター    教養教育院    Academic English Literacy A1    池田　直樹    水1    1U257
23    2026    第1クォーター    教養教育院    Academic English Literacy A1    合原　織部    水1    1U258
24    2026    第1クォーター    教養教育院    Academic English Literacy A1    Mullin Bertram    水1    1U259
25    2026    第1クォーター    教養教育院    Academic English Literacy A1    TAN JOY ANN FAITH FRANCISCO    水1    1U260
26    2026    前期    教養教育院    健康・スポーツ科学実習基礎    伊賀野　大    水1    1U680
27    2026    前期    教養教育院    健康・スポーツ科学実習基礎    益冨 真子    水1    1U681
28    2026    前期    教養教育院    健康・スポーツ科学実習基礎    久永　将太    水1    1U682
29    2026    第1クォーター    教養教育院    基礎地学１    三木 雅子    水1    1U851
30    2026    第1クォーター    教養教育院    情報基礎    大寺　亮    水1    1U8M1
31    2026    第1クォーター    教養教育院    情報基礎    副島　尭史    水1    1U8M2
32    2026    第2クォーター    教養教育院    法学Ａ    柴田　潤子    水1    2U039
