No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	第1クォーター	海洋政策科学部	経済学基礎論1-1(海洋ガバナンス領域)	安田　昌平	水1	1Z046
2	2026	第1クォーター	海洋政策科学部	経済学基礎論1-1(抽選登録用)	安田　昌平	水1	1Z079
3	2026	第1クォーター	海洋政策科学部	交通経営論-1(海洋ガバナンス領域)	酒井　裕規	水1	1Z095
4	2026	第1クォーター	海洋政策科学部	応用電気回路-1	山本 茂広	水1	1Z116
5	2026	第1クォーター	海洋政策科学部	運動科学-1（機関学領域）	本間 正信	水1	1Z130
6	2026	第1クォーター	海洋政策科学部	運動科学-1 （航海学領域）	本間 正信	水1	1Z143
7	2026	第2クォーター	海洋政策科学部	経済学基礎論1-2(海洋ガバナンス領域)	安田　昌平	水1	2Z046
8	2026	第2クォーター	海洋政策科学部	経済学基礎論1-2（抽選登録用）	安田　昌平	水1	2Z080
9	2026	第2クォーター	海洋政策科学部	交通経営論-2 （海洋ガバナンス領域）	酒井　裕規	水1	2Z093
10	2026	第2クォーター	海洋政策科学部	応用電気回路-2	山本 茂広	水1	2Z114
11	2026	第2クォーター	海洋政策科学部	アクアティックアクティビティ演習	本間 正信	水1,2	2Z136
12	2026	第3クォーター	海洋政策科学部	港湾政策概論-1(海洋ガバナンス領域)	西村 悦子	水1	3Z040
13	2026	第3クォーター	海洋政策科学部	港湾政策概論-1（抽選登録用）	西村 悦子	水1	3Z070
14	2026	第3クォーター	海洋政策科学部	多変量解析2（海洋基礎科学領域）	高坂 良史	水1	3Z093
15	2026	第3クォーター	海洋政策科学部	多変量解析2（海洋応用科学領域）	高坂 良史	水1	3Z103
16	2026	第3クォーター	海洋政策科学部	海事法規-2（機関学領域）	三輪 誠	水1	3Z119
17	2026	第3クォーター	海洋政策科学部	海事法規-2（航海学領域）	猪野　杏樹	水1	3Z125
18	2026	第4クォーター	海洋政策科学部	港湾政策概論-2（海洋ガバナンス領域）	西村 悦子	水1	4Z040
19	2026	第4クォーター	海洋政策科学部	港湾政策概論-2（抽選登録用）	西村 悦子	水1	4Z070
20	2026	第4クォーター	海洋政策科学部	多変量解析3（海洋基礎科学領域）	高坂 良史	水1	4Z091
21	2026	第4クォーター	海洋政策科学部	多変量解析3(海洋応用科学領域)	高坂 良史	水1	4Z103
22	2026	第1クォーター	海洋政策科学部	応用数学1-1(基礎・ガバナンス・航海)	上田　好寛	水2	1Z025
23	2026	第1クォーター	海洋政策科学部	応用数学1-1(応用・機関)	高坂 良史	水2	1Z026
24	2026	第1クォーター	海洋政策科学部	海洋底資源学1-1	井尻　暁	水2	1Z104
25	2026	第1クォーター	海洋政策科学部	応用電子工学-1	佐俣 博章	水2	1Z117
26	2026	第1クォーター	海洋政策科学部	運動科学-2 （機関学領域）	本間 正信	水2	1Z131
27	2026	第1クォーター	海洋政策科学部	運動科学-2 （航海学領域）	本間 正信	水2	1Z144
28	2026	前期	海洋政策科学部	海のBDL（石田　達朗）	石田　達朗	水2	1ZZ10
29	2026	第2クォーター	海洋政策科学部	応用数学1-2(基礎・ガバナンス・航海)	上田　好寛	水2	2Z025
30	2026	第2クォーター	海洋政策科学部	応用数学1-2(応用・機関)	高坂 良史	水2	2Z026
31	2026	第2クォーター	海洋政策科学部	海洋底資源学1-2	井尻　暁	水2	2Z101
32	2026	第2クォーター	海洋政策科学部	応用電子工学-2	佐俣 博章	水2	2Z115
33	2026	第3クォーター	海洋政策科学部	応用数学3-1	上田　好寛	水2	3Z023
34	2026	第3クォーター	海洋政策科学部	海域由来災害科学2-1	GOMEZ CHRISTOPHER	水2	3Z094
35	2026	第3クォーター	海洋政策科学部	情報ネットワーク論-1	若林 伸和	水2	3Z104
36	2026	第3クォーター	海洋政策科学部	載貨論	齋藤 勝彦	水2	3Z126
37	2026	第3クォーター	海洋政策科学部	材料力学-2(E・2024以前入学生)	阿部 晃久	水2	3Z141
38	2026	第4クォーター	海洋政策科学部	応用数学3-2	上田　好寛	水2	4Z023
39	2026	第4クォーター	海洋政策科学部	海域由来災害科学2-2	GOMEZ CHRISTOPHER	水2	4Z092
40	2026	第4クォーター	海洋政策科学部	情報ネットワーク論-2	若林 伸和	水2	4Z104
41	2026	第1クォーター	海洋政策科学部	海洋学-1（S/Gクラス）	藤原　泰	水3	1Z031
42	2026	第1クォーター	海洋政策科学部	国際海洋法-1 (海洋ガバナンス領域)	本田　悠介	水3	1Z096
43	2026	第1クォーター	海洋政策科学部	浮体運動学-1（海洋応用科学領域）	笹　健児	水3	1Z118
44	2026	第1クォーター	海洋政策科学部	浮体運動学-1 （機関学領域）	笹　健児	水3	1Z132
45	2026	第1クォーター	海洋政策科学部	海洋学-2（N/G/E/Tクラス）	林 美鶴	水3	1Z158
46	2026	第2クォーター	海洋政策科学部	海洋学-2（S/Gクラス）	藤原　泰	水3	2Z031
47	2026	第2クォーター	海洋政策科学部	国際海洋法-2 （海洋ガバナンス領域）	本田　悠介	水3	2Z094
48	2026	第2クォーター	海洋政策科学部	浮体運動学-2（海洋応用科学領域）	笹　健児	水3	2Z116
49	2026	第2クォーター	海洋政策科学部	浮体運動学-2 （機関学領域）	笹　健児	水3	2Z127
50	2026	第2クォーター	海洋政策科学部	船舶衛生-1 （機関学領域）	高橋　健太郎	水3	2Z142
51	2026	第2クォーター	海洋政策科学部	船舶衛生-1（航海学領域）	高橋　健太郎	水3	2Z146
52	2026	第2クォーター	海洋政策科学部	海洋学-1（N/G/E/Tクラス）	林 美鶴	水3	2Z150
53	2026	第3クォーター	海洋政策科学部	電磁気学-1	谷池 晃	水3	3Z022
54	2026	第3クォーター	海洋政策科学部	人工知能-1	堀口 知也	水3	3Z105
55	2026	第4クォーター	海洋政策科学部	電磁気学-2	谷池 晃	水3	4Z022
56	2026	第4クォーター	海洋政策科学部	人工知能-2	堀口 知也	水3	4Z105
57	2026	前期	海洋政策科学部	海事産業社会事情	猪野　杏樹	水4	1Z005
58	2026	第1クォーター	海洋政策科学部	海上保険概説-1(海洋ガバナンス領域)	新谷　哲之介	水4	1Z047
59	2026	第1クォーター	海洋政策科学部	海上保険概説-1(航海学領域)	新谷　哲之介	水4	1Z065
60	2026	第2クォーター	海洋政策科学部	海上保険概説-2(海洋ガバナンス領域)	新谷　哲之介	水4	2Z047
61	2026	第2クォーター	海洋政策科学部	海上保険概説-2(航海学領域)	新谷　哲之介	水4	2Z065
62	2026	第2クォーター	海洋政策科学部	船舶衛生-2 （機関学領域）	高橋　健太郎	水4	2Z143
63	2026	第2クォーター	海洋政策科学部	船舶衛生-2（航海学領域）	高橋　健太郎	水4	2Z147
64	2026	第1クォーター	海洋政策科学部	現代海事産業概論-1	杉村　佳寿	水5	1Z004
65	2026	第2クォーター	海洋政策科学部	現代海事産業概論-2	杉村　佳寿	水5	2Z004
66	2026	第2クォーター	海洋政策科学部	国際船舶管理法論　（航海学領域）	中田　達也	水5	2Z068
