No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
1	2026	前期	経済学部　昼間主コース	Advanced Seminar for Economics Studies(主：Seminar for Economics Studies)	片山　三男	水1	1E309
2	2026	前期	経済学部　昼間主コース	経済数学(副：経済数学Ⅰ、経済数学Ⅱ)	大坪　陽一	水1	1E315
3	2026	第1クォーター	経済学部　昼間主コース	経済数学Ⅰ(主：経済数学)	大坪　陽一	水1	1E316
4	2026	第2クォーター	経済学部　昼間主コース	経済数学Ⅱ(主：経済数学)	大坪　陽一	水1	2E301
5	2026	後期	経済学部　昼間主コース	経済倫理と思想	髙橋　樹生	水1	3E303
6	2026	第3クォーター	経済学部　昼間主コース	経済倫理と思想Ⅰ	髙橋　樹生	水1	3E304
7	2026	後期	経済学部　昼間主コース	Advanced Seminar for Economics Studies(主：Seminar for Economics Studies)	片山　三男	水1	3E307
8	2026	第4クォーター	経済学部　昼間主コース	経済倫理と思想Ⅱ	鈴木　純	水1	4E301
9	2026	前期	経済学部　昼間主コース	日本語論文作成演習	片山　三男	水2	1E308
10	2026	前期	経済学部　昼間主コース	Economics of European Integration (Lecture)(副：Economics of European Integration (Lecture)（高度教養科目）)	花田　エバ	水2	1E366
11	2026	前期	経済学部　昼間主コース	Economics of European Integration (Lecture)（高度教養科目）(主：Economics of European Integration (Lecture))	花田　エバ	水2	1E367
12	2026	前期	経済学部　昼間主コース	上級機械学習(主：機械学習)	小山田　創哲	水2	1E403
13	2026	後期	経済学部　昼間主コース	Economics of European Integration (Seminar)	花田　エバ	水2	3E316
14	2026	後期	経済学部　昼間主コース	修了研究	髙橋　樹生	水2	3E318
15	2026	後期	経済学部　昼間主コース	経済政策原理(副：経済政策原理（編入生）)	永合　位行	水2	3E345
16	2026	後期	経済学部　昼間主コース	経済政策原理（編入生）(主：経済政策原理)	永合　位行	水2	3E346
17	2026	後期	経済学部　昼間主コース	上級応用機械学習(主：応用機械学習)	小山田　創哲	水2	3E355
18	2026	前期	経済学部　昼間主コース	法経総合概論(副：法経総合概論（高度教養科目）)	山岡　淳	水3,4	1E359
19	2026	前期	経済学部　昼間主コース	法経総合概論（高度教養科目）(主：法経総合概論)	山岡　淳	水3,4	1E360
20	2026	前期	経済学部　昼間主コース	社会とビジネスにおけるデータ活用入門	奥村　拓史	水3,4	1E372
21	2026	前期	経済学部　昼間主コース	Advanced History and Development Paths(主：History and Development Paths)	大塚　啓二郎	水3	1E408
22	2026	後期	経済学部　昼間主コース	エッセンシャルミクロ経済学(副：エッセンシャルミクロ経済学（高度教養科目）)	丸山　貴之	水3	3E309
23	2026	後期	経済学部　昼間主コース	エッセンシャルミクロ経済学（高度教養科目）(主：エッセンシャルミクロ経済学)	丸山　貴之	水3	3E310
24	2026	第3クォーター	経済学部　昼間主コース	FinTech×デザインシンキング(副：高度教養セミナー経済学部（FinTech×デザインシンキング）)	嶋本　麻菜美	水3	3E335
25	2026	第3クォーター	経済学部　昼間主コース	高度教養セミナー経済学部（FinTech×デザインシンキング）(主：FinTech×デザインシンキング)	嶋本　麻菜美	水3	3E336
26	2026	第4クォーター	経済学部　昼間主コース	社会経済データを用いたPBL演習	中谷　明史	水3	4E302
27	2026	前期	経済学部　昼間主コース	上級空間経済学(主：空間経済学)	浜口　伸明	水4	1E407
28	2026	後期	経済学部　昼間主コース	IT・デジタルが牽引する金融の世界と社会的価値の創造	大坪　陽一	水4	3E315
